Name,Position,Date of Birth,Age,Nationality,Market Value
Jonas Omlin,Goalkeeper,"Jan 10, 1994",29,Switzerland,€9.00m
Yann Sommer,Goalkeeper,"Dec 17, 1988",34,Switzerland,€5.00m
Jan Olschowsky,Goalkeeper,"Nov 18, 2001",21,Germany,€800k
Tobias Sippel,Goalkeeper,"Mar 22, 1988",35,Germany,€400k
Moritz Nicolas,Goalkeeper,"Oct 21, 1997",25,Germany,€350k
Florian Dimmer,Goalkeeper,"Jan 15, 2005",18,Germany,€100k
Maximilian Brüll,Goalkeeper,"Aug 26, 2002",20,Germany,€75k
Nico Elvedi,Centre-Back,"Sep 30, 1996",26,Switzerland,€18.00m
Jordan Beyer,Centre-Back,"May 19, 2000",23,Germany,€16.00m
Ko Itakura,Centre-Back,"Jan 27, 1997",26,Japan,€12.00m
Marvin Friedrich,Centre-Back,"Dec 13, 1995",27,Germany,€4.00m
Tony Jantschke,Centre-Back,"Apr 7, 1990",33,Germany,€600k
Mamadou Doucouré,Centre-Back,"May 21, 1998",25,France,€100k
Ramy Bensebaini,Left-Back,"Apr 16, 1995",28,Algeria,€20.00m
Luca Netz,Left-Back,"May 15, 2003",20,Germany,€6.50m
Joe Scally,Right-Back,"Dec 31, 2002",20,United States,€12.00m
Stefan Lainer,Right-Back,"Aug 27, 1992",30,Austria,€3.00m
Simon Walde,Right-Back,"Jan 4, 2005",18,Germany,€500k
Julian Weigl,Defensive Midfield,"Sep 8, 1995",27,Germany,€10.00m
Christoph Kramer,Defensive Midfield,"Feb 19, 1991",32,Germany,€2.50m
Manu Koné,Central Midfield,"May 17, 2001",22,France,€40.00m
Florian Neuhaus,Central Midfield,"Mar 16, 1997",26,Germany,€12.00m
Oscar Fraulo,Central Midfield,"Dec 6, 2003",19,Denmark,€2.00m
Rocco Reitz,Central Midfield,"May 29, 2002",21,Germany,€800k
Torben Müsel,Central Midfield,"Jul 25, 1999",23,Germany,€200k
Jonas Hofmann,Attacking Midfield,"Jul 14, 1992",30,Germany,€13.00m
Lars Stindl,Attacking Midfield,"Aug 26, 1988",34,Germany,€1.00m
Conor Noß,Attacking Midfield,"Jan 1, 2001",22,Ireland,€400k
Hannes Wolf,Left Winger,"Apr 16, 1999",24,Austria,€3.00m
Yvandro Borges Sanches,Left Winger,"May 24, 2004",19,Luxembourg,€1.50m
Nathan Ngoumou,Right Winger,"Mar 14, 2000",23,France,€5.00m
Patrick Herrmann,Right Winger,"Feb 12, 1991",32,Germany,€1.50m
Marcus Thuram,Centre-Forward,"Aug 6, 1997",25,France,€32.00m
Alassane Plea,Centre-Forward,"Mar 10, 1993",30,France,€8.00m
Semir Telalovic,Centre-Forward,"Dec 23, 1999",23,Germany,€350k
