Name,Position,Date of Birth,Age,Nationality,Market Value
Oliver Christensen,Goalkeeper,"Mar 22, 1999",24,Denmark,€4.00m
Tjark Ernst,Goalkeeper,"Mar 15, 2003",20,Germany,€400k
Rune Jarstein,Goalkeeper,"Sep 29, 1984",38,Norway,€300k
Robert Kwasigroch,Goalkeeper,"Jun 26, 2004",19,Germany,€200k
Marc Oliver Kempf,Centre-Back,"Jan 28, 1995",28,Germany,€3.50m
Márton Dárdai,Centre-Back,"Feb 12, 2002",21,Hungary,€3.50m
Linus Gechter,Centre-Back,"Feb 27, 2004",19,Germany,€2.50m
Filip Uremovic,Centre-Back,"Feb 11, 1997",26,Croatia,€2.00m
Agustín Rogel,Centre-Back,"Oct 17, 1997",25,Uruguay,€1.50m
Dedryck Boyata,Centre-Back,"Nov 28, 1990",32,Belgium,€1.00m
Joel da Silva Kiala,Centre-Back,"Jan 21, 2004",19,Germany,€250k
Maximilian Mittelstädt,Left-Back,"Mar 18, 1997",26,Germany,€2.00m
Marvin Plattenhardt,Left-Back,"Jan 26, 1992",31,Germany,€1.00m
Lukas Ullrich,Left-Back,"Mar 16, 2004",19,Germany,€750k
Jonjoe Kenny,Right-Back,"Mar 15, 1997",26,England,€3.00m
Deyovaisio Zeefuik,Right-Back,"Mar 11, 1998",25,Netherlands,€1.20m
Peter Pekarík,Right-Back,"Oct 30, 1986",36,Slovakia,€500k
Julian Eitschberger,Right-Back,"Mar 5, 2004",19,Germany,€350k
Lucas Tousart,Defensive Midfield,"Apr 29, 1997",26,France,€9.00m
Ivan Sunjic,Defensive Midfield,"Oct 9, 1996",26,Croatia,€1.50m
Tolga Ciğerci,Defensive Midfield,"Mar 23, 1992",31,Türkiye,€700k
Pascal Klemens,Defensive Midfield,"Feb 23, 2005",18,Germany,€300k
Veit Stange,Defensive Midfield,"Feb 8, 2004",19,Germany,€250k
Suat Serdar,Central Midfield,"Apr 11, 1997",26,Germany,€4.50m
Vladimír Darida,Central Midfield,"Aug 8, 1990",32,Czech Republic,€1.50m
Marco Richter,Attacking Midfield,"Nov 24, 1997",25,Germany,€5.00m
Jean-Paul Boëtius,Attacking Midfield,"Mar 22, 1994",29,Netherlands,€1.50m
Kevin-Prince Boateng,Attacking Midfield,"Mar 6, 1987",36,Ghana,€700k
Ibrahim Maza,Attacking Midfield,"Nov 24, 2005",17,Germany,€600k
Tony Rölke,Attacking Midfield,"Jan 22, 2003",20,Germany,€200k
Chidera Ejuke,Left Winger,"Jan 2, 1998",25,Nigeria,€5.50m
Myziane Maolida,Left Winger,"Feb 14, 1999",24,Comoros,€1.50m
Dodi Lukébakio,Right Winger,"Sep 24, 1997",25,Belgium,€12.00m
Kelian Nsona,Right Winger,"May 11, 2002",21,France,€800k
Krzysztof Piatek,Centre-Forward,"Jul 1, 1995",27,Poland,€7.00m
Jessic Ngankam,Centre-Forward,"Jul 20, 2000",22,Germany,€5.00m
Wilfried Kanga,Centre-Forward,"Feb 21, 1998",25,Cote d'Ivoire,€3.00m
Davie Selke,Centre-Forward,"Jan 20, 1995",28,Germany,€2.50m
Stevan Jovetic,Centre-Forward,"Nov 2, 1989",33,Montenegro,€1.50m
Florian Niederlechner,Centre-Forward,"Oct 24, 1990",32,Germany,€800k
Derry Scherhant,Centre-Forward,"Nov 10, 2002",20,Germany,€700k
