Name,Position,Date of Birth,Age,Nationality,Market Value
Mark Flekken,Goalkeeper,"Jun 13, 1993",30,Netherlands,€10.00m
Noah Atubolu,Goalkeeper,"May 25, 2002",21,Germany,€3.50m
Benjamin Uphoff,Goalkeeper,"Aug 8, 1993",29,Germany,€500k
Philipp Lienhart,Centre-Back,"Jul 11, 1996",26,Austria,€20.00m
Matthias Ginter,Centre-Back,"Jan 19, 1994",29,Germany,€18.00m
Keven Schlotterbeck,Centre-Back,"Apr 28, 1997",26,Germany,€3.00m
Kenneth Schmidt,Centre-Back,"Jun 3, 2002",21,Germany,€3.00m
Manuel Gulde,Centre-Back,"Feb 12, 1991",32,Germany,€1.50m
Christian Günter,Left-Back,"Feb 28, 1993",30,Germany,€7.50m
Kimberly Ezekwem,Left-Back,"Jun 19, 2001",22,Germany,€350k
Kiliann Sildillia,Right-Back,"May 16, 2002",21,France,€12.00m
Hugo Siquet,Right-Back,"Jul 9, 2002",20,Belgium,€3.30m
Lukas Kübler,Right-Back,"Aug 30, 1992",30,Germany,€2.50m
Yannik Keitel,Defensive Midfield,"Feb 15, 2000",23,Germany,€4.00m
Nicolas Höfler,Defensive Midfield,"Mar 9, 1990",33,Germany,€2.50m
Maximilian Eggestein,Central Midfield,"Dec 8, 1996",26,Germany,€10.00m
Merlin Röhl,Central Midfield,"Jul 5, 2002",20,Germany,€2.00m
Robert Wagner,Central Midfield,"Jul 14, 2003",19,Germany,€1.40m
Jonathan Schmid,Right Midfield,"Jun 22, 1990",33,France,€900k
Daniel-Kofi Kyereh,Attacking Midfield,"Mar 8, 1996",27,Ghana,€8.00m
Woo-yeong Jeong,Attacking Midfield,"Sep 20, 1999",23,"Korea, South",€3.50m
Vincenzo Grifo,Left Winger,"Apr 7, 1993",30,Italy,€12.00m
Noah Weißhaupt,Left Winger,"Sep 20, 2001",21,Germany,€4.00m
Kevin Schade,Right Winger,"Nov 27, 2001",21,Germany,€25.00m
Ritsu Doan,Right Winger,"Jun 16, 1998",25,Japan,€18.00m
Roland Sallai,Right Winger,"May 22, 1997",26,Hungary,€10.00m
Michael Gregoritsch,Centre-Forward,"Apr 18, 1994",29,Austria,€8.00m
Lucas Höler,Centre-Forward,"Jul 10, 1994",28,Germany,€5.00m
Nils Petersen,Centre-Forward,"Dec 6, 1988",34,Germany,€1.50m
