Name,Position,Date of Birth,Age,Nationality,Market Value
Alexander Schwolow,Goalkeeper,"Jun 2, 1992",31,Germany,€900k
Ralf Fährmann,Goalkeeper,"Sep 27, 1988",34,Germany,€400k
Justin Heekeren,Goalkeeper,"Nov 27, 2000",22,Germany,€250k
Michael Langer,Goalkeeper,"Jan 6, 1985",38,Austria,€50k
Malick Thiaw,Centre-Back,"Aug 8, 2001",21,Germany,€20.00m
Moritz Jenz,Centre-Back,"Apr 30, 1999",24,Germany,€7.50m
Sepp van den Berg,Centre-Back,"Dec 20, 2001",21,Netherlands,€5.00m
Leo Greiml,Centre-Back,"Jul 3, 2001",21,Austria,€1.20m
Maya Yoshida,Centre-Back,"Aug 24, 1988",34,Japan,€900k
Marcin Kaminski,Centre-Back,"Jan 15, 1992",31,Poland,€700k
Timothée Kolodziejczak,Centre-Back,"Oct 1, 1991",31,France,€400k
Ibrahima Cissé,Centre-Back,"Feb 15, 2001",22,Mali,€200k
Julius Schell,Centre-Back,"Jan 10, 2000",23,Germany,€125k
Jere Uronen,Left-Back,"Jul 13, 1994",28,Finland,€1.00m
Kerim Calhanoglu,Left-Back,"Aug 26, 2002",20,Germany,€800k
Joey Müller,Left-Back,"Aug 30, 2000",22,Germany,€175k
Cédric Brunner,Right-Back,"Feb 17, 1994",29,Switzerland,€1.80m
Mehmet Aydın,Right-Back,"Feb 9, 2002",21,Türkiye,€1.50m
Henning Matriciani,Right-Back,"Mar 14, 2000",23,Germany,€1.20m
Alex Král,Defensive Midfield,"May 19, 1998",25,Czech Republic,€7.00m
Éder Balanta,Defensive Midfield,"Feb 28, 1993",30,Colombia,€2.00m
Florian Flick,Defensive Midfield,"May 1, 2000",23,Germany,€1.50m
Niklas Tauer,Defensive Midfield,"Feb 17, 2001",22,Germany,€1.20m
Tom Krauß,Central Midfield,"Jun 22, 2001",22,Germany,€7.00m
Rodrigo Zalazar,Central Midfield,"Aug 12, 1999",23,Uruguay,€4.00m
Danny Latza,Central Midfield,"Dec 7, 1989",33,Germany,€500k
Nassim Boujellab,Central Midfield,"Jun 20, 1999",24,Morocco,€400k
Thomas Ouwejan,Left Midfield,"Sep 30, 1996",26,Netherlands,€2.00m
Tobias Mohr,Left Midfield,"Aug 24, 1995",27,Germany,€1.20m
Florent Mollet,Attacking Midfield,"Nov 19, 1991",31,France,€2.00m
Dominick Drexler,Attacking Midfield,"May 26, 1990",33,Germany,€750k
Soichiro Kozuki,Attacking Midfield,"Dec 22, 2000",22,Japan,€600k
Blendi Idrizi,Attacking Midfield,"May 2, 1998",25,Kosovo,€400k
Marius Bülter,Left Winger,"Mar 29, 1993",30,Germany,€3.00m
Andreas Ivan,Left Winger,"Jan 10, 1995",28,Romania,€125k
Tim Skarke,Right Winger,"Sep 7, 1996",26,Germany,€1.20m
Sidi Sané,Right Winger,"Apr 21, 2003",20,Germany,€200k
Jordan Larsson,Centre-Forward,"Jun 20, 1997",26,Sweden,€3.00m
Michael Frey,Centre-Forward,"Jul 19, 1994",28,Switzerland,€2.00m
Kenan Karaman,Centre-Forward,"Mar 5, 1994",29,Türkiye,€1.40m
Simon Terodde,Centre-Forward,"Mar 2, 1988",35,Germany,€900k
Sebastian Polter,Centre-Forward,"Apr 1, 1991",32,Germany,€800k
Keke Topp,Centre-Forward,"Mar 25, 2004",19,Germany,€500k
