Name,Position,Date of Birth,Age,Nationality,Market Value
Oliver Baumann,Goalkeeper,"Jun 2, 1990",33,Germany,€4.00m
Philipp Pentke,Goalkeeper,"May 1, 1985",38,Germany,€300k
Luca Philipp,Goalkeeper,"Nov 28, 2000",22,Germany,€300k
Nahuel Noll,Goalkeeper,"Mar 17, 2003",20,Germany,€250k
Ozan Kabak,Centre-Back,"Mar 25, 2000",23,Türkiye,€10.00m
Stanley Nsoki,Centre-Back,"Apr 9, 1999",24,France,€5.50m
Kevin Akpoguma,Centre-Back,"Apr 19, 1995",28,Nigeria,€3.50m
Kevin Vogt,Centre-Back,"Sep 23, 1991",31,Germany,€2.50m
Eduardo Quaresma,Centre-Back,"Mar 2, 2002",21,Portugal,€2.50m
John Brooks,Centre-Back,"Jan 28, 1993",30,United States,€2.00m
Ermin Bicakcic,Centre-Back,"Jan 24, 1990",33,Bosnia-Herzegovina,€700k
Joshua Quarshie,Centre-Back,"Jul 26, 2004",18,Germany,€250k
Benjamin Hübner,Centre-Back,"Jul 4, 1989",33,Germany,-
Angeliño,Left-Back,"Jan 4, 1997",26,Spain,€12.00m
Stefan Posch,Right-Back,"May 14, 1997",26,Austria,€14.00m
Pavel Kaderabek,Right-Back,"Apr 25, 1992",31,Czech Republic,€3.00m
Justin Che,Right-Back,"Nov 18, 2003",19,United States,€1.50m
Diadié Samassékou,Defensive Midfield,"Jan 11, 1996",27,Mali,€7.00m
Angelo Stiller,Defensive Midfield,"Apr 4, 2001",22,Germany,€5.00m
Sebastian Rudy,Defensive Midfield,"Feb 28, 1990",33,Germany,€1.00m
Melayro Bogarde,Defensive Midfield,"May 28, 2002",21,Netherlands,€700k
Dennis Geiger,Central Midfield,"Jun 10, 1998",25,Germany,€8.00m
Grischa Prömel,Central Midfield,"Jan 9, 1995",28,Germany,€7.00m
Finn Ole Becker,Central Midfield,"Jun 8, 2000",23,Germany,€2.50m
Thomas Delaney,Central Midfield,"Sep 3, 1991",31,Denmark,€2.00m
Umut Tohumcu,Central Midfield,"Aug 11, 2004",18,Germany,€1.50m
Robert Skov,Left Midfield,"May 20, 1996",27,Denmark,€6.50m
Christoph Baumgartner,Attacking Midfield,"Aug 1, 1999",23,Austria,€24.00m
Tom Bischof,Attacking Midfield,"Jun 28, 2005",18,Germany,€3.50m
Muhammed Damar,Attacking Midfield,"Apr 9, 2004",19,Germany,€1.00m
Jacob Bruun Larsen,Left Winger,"Sep 19, 1998",24,Denmark,€3.00m
Georginio Rutter,Centre-Forward,"Apr 20, 2002",21,France,€18.00m
Andrej Kramaric,Centre-Forward,"Jun 19, 1991",32,Croatia,€8.00m
Ihlas Bebou,Centre-Forward,"Apr 23, 1994",29,Togo,€7.00m
Kasper Dolberg,Centre-Forward,"Oct 6, 1997",25,Denmark,€7.00m
Munas Dabbur,Centre-Forward,"May 14, 1992",31,Israel,€3.00m
Fisnik Asllani,Centre-Forward,"Aug 8, 2002",20,Germany,€800k
