Name,Position,Date of Birth,Age,Nationality,Market Value
Frederik Rönnow,Goalkeeper,"Aug 4, 1992",30,Denmark,€5.50m
Lennart Grill,Goalkeeper,"Jan 25, 1999",24,Germany,€1.00m
Jakob Busk,Goalkeeper,"Sep 12, 1993",29,Denmark,€250k
Yannic Stein,Goalkeeper,"Sep 17, 2004",18,Germany,€200k
Danilho Doekhi,Centre-Back,"Jun 30, 1998",25,Netherlands,€17.00m
Diogo Leite,Centre-Back,"Jan 23, 1999",24,Portugal,€15.00m
Paul Jaeckel,Centre-Back,"Jul 22, 1998",24,Germany,€5.00m
Robin Knoche,Centre-Back,"May 22, 1992",31,Germany,€5.00m
Timo Baumgartl,Centre-Back,"Mar 4, 1996",27,Germany,€3.00m
Dominique Heintz,Centre-Back,"Aug 15, 1993",29,Germany,€1.20m
Jérôme Roussillon,Left-Back,"Jan 6, 1993",30,Guadeloupe,€3.00m
Tymoteusz Puchacz,Left-Back,"Jan 23, 1999",24,Poland,€1.20m
Niko Gießelmann,Left-Back,"Sep 26, 1991",31,Germany,€1.00m
Julian Ryerson,Right-Back,"Nov 17, 1997",25,Norway,€13.00m
Josip Juranovic,Right-Back,"Aug 16, 1995",27,Croatia,€12.00m
Christopher Trimmel,Right-Back,"Feb 24, 1987",36,Austria,€800k
Rani Khedira,Defensive Midfield,"Jan 27, 1994",29,Germany,€10.00m
Aljoscha Kemlein,Defensive Midfield,"Aug 2, 2004",18,Germany,€250k
Janik Haberer,Central Midfield,"Apr 2, 1994",29,Germany,€7.00m
Aïssa Laïdouni,Central Midfield,"Dec 13, 1996",26,Tunisia,€7.00m
Morten Thorsby,Central Midfield,"May 5, 1996",27,Norway,€5.50m
András Schäfer,Central Midfield,"Apr 13, 1999",24,Hungary,€5.00m
Paul Seguin,Central Midfield,"Mar 29, 1995",28,Germany,€2.50m
Kevin Möhwald,Central Midfield,"Jul 3, 1993",29,Germany,€600k
Milos Pantovic,Attacking Midfield,"Jul 7, 1996",26,Serbia,€1.50m
Genki Haraguchi,Attacking Midfield,"May 9, 1991",32,Japan,€1.00m
Levin Öztunali,Left Winger,"Mar 15, 1996",27,Germany,€1.20m
Jamie Leweling,Right Winger,"Feb 26, 2001",22,Germany,€3.00m
Tim Skarke,Right Winger,"Sep 7, 1996",26,Germany,€1.20m
Tim Maciejewski,Right Winger,"Mar 5, 2001",22,Germany,€350k
Sheraldo Becker,Centre-Forward,"Feb 9, 1995",28,Suriname,€17.00m
Jordan,Centre-Forward,"Apr 26, 1996",27,United States,€7.00m
Kevin Behrens,Centre-Forward,"Feb 3, 1991",32,Germany,€2.00m
Sven Michel,Centre-Forward,"Jul 15, 1990",32,Germany,€900k
Andreas Voglsammer,Centre-Forward,"Jan 9, 1992",31,Germany,€800k
Malick Sanogo,Centre-Forward,"Jun 30, 2004",19,United States,-
