Name,Position,Date of Birth,Age,Nationality,Market Value
Koen Casteels,Goalkeeper,"Jun 25, 1992",31,Belgium,€8.00m
Pavao Pervan,Goalkeeper,"Nov 13, 1987",35,Austria,€400k
Philipp Schulze,Goalkeeper,"Jan 29, 2003",20,Germany,€200k
Niklas Klinger,Goalkeeper,"Oct 13, 1995",27,Germany,€100k
Micky van de Ven,Centre-Back,"Apr 19, 2001",22,Netherlands,€30.00m
Maxence Lacroix,Centre-Back,"Apr 6, 2000",23,France,€17.00m
Sebastiaan Bornauw,Centre-Back,"Mar 22, 1999",24,Belgium,€8.50m
David Odogu,Centre-Back,"Jun 3, 2006",17,Germany,-
Paulo Otávio,Left-Back,"Nov 23, 1994",28,Brazil,€4.00m
Nicolas Cozza,Left-Back,"Jan 8, 1999",24,France,€3.50m
Jérôme Roussillon,Left-Back,"Jan 6, 1993",30,Guadeloupe,€3.00m
Ridle Baku,Right-Back,"Apr 8, 1998",25,Germany,€13.00m
Kilian Fischer,Right-Back,"Oct 12, 2000",22,Germany,€2.00m
Bartol Franjic,Defensive Midfield,"Jan 14, 2000",23,Croatia,€3.00m
Josuha Guilavogui,Defensive Midfield,"Sep 19, 1990",32,France,€2.00m
Mattias Svanberg,Central Midfield,"Jan 5, 1999",24,Sweden,€18.00m
Felix Nmecha,Central Midfield,"Oct 10, 2000",22,Germany,€15.00m
Maximilian Arnold,Central Midfield,"May 27, 1994",29,Germany,€14.00m
Aster Vranckx,Central Midfield,"Oct 4, 2002",20,Belgium,€8.50m
Yannick Gerhardt,Central Midfield,"Mar 13, 1994",29,Germany,€6.00m
Kevin Paredes,Left Midfield,"May 7, 2003",20,United States,€5.00m
Jakub Kaminski,Left Winger,"Jun 5, 2002",21,Poland,€12.00m
Josip Brekalo,Left Winger,"Jun 23, 1998",25,Croatia,€5.00m
Lukas Ambros,Left Winger,"Jun 5, 2004",19,Czech Republic,€200k
Patrick Wimmer,Right Winger,"May 30, 2001",22,Austria,€18.00m
Maximilian Philipp,Second Striker,"Mar 1, 1994",29,Germany,€2.00m
Max Kruse,Second Striker,"Mar 19, 1988",35,Germany,€900k
Jonas Wind,Centre-Forward,"Feb 7, 1999",24,Denmark,€14.00m
Lukas Nmecha,Centre-Forward,"Dec 14, 1998",24,Germany,€12.00m
Omar Marmoush,Centre-Forward,"Feb 7, 1999",24,Egypt,€6.00m
Bartosz Bialek,Centre-Forward,"Nov 11, 2001",21,Poland,€3.00m
Luca Waldschmidt,Centre-Forward,"May 19, 1996",27,Germany,€3.00m
Dzenan Pejcinovic,Centre-Forward,"Feb 15, 2005",18,Germany,€1.00m
