Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
78,Rafal Gikiewicz,1730,Augsburg,35, GK  ,23,2070,0,0.0,44.5,71.0,0.0,9.6,0.0,6.8,0,3,0,0.0,0.3,3,0.0,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.2,0.0,0.0,0
88,Ermedin Demirovic,1730,Augsburg,25," AM(L),FW  ",30,2383,4,1.0,16.8,51.0,0.2,0.1,0.1,6.76,8,7,1,2.1,2.2,2,0.6,1.0,0.4,1.1,1.8,1.0,0.5,1.6,0.0,1.2,0.4,0.1,0
109,Mërgim Berisha,1730,Augsburg,25," AM(C),FW  ",20(3),1688,4,0.9,11.4,54.0,0.8,0.3,0.0,6.69,9,7,1,2.4,1.7,4,0.2,1.3,0.7,1.2,1.8,0.5,0.0,1.2,0.0,0.8,0.4,0.0,0
146,Jeffrey Gouweleeuw,1730,Augsburg,31, D(C)  ,32,2797,1,0.4,45.5,70.7,0.1,4.3,0.1,6.62,0,12,0,0.5,2.5,0,0.4,0.3,0.1,0.2,0.8,1.3,1.6,1.1,0.7,4.3,0.8,0.7,1
168,Rubén Vargas,1730,Augsburg,24," AM(CLR),FW  ",13(10),1137,4,0.7,13.2,63.8,0.3,0.3,0.0,6.57,3,4,0,0.9,0.6,0,0.9,0.7,0.1,0.4,1.3,0.7,0.3,0.7,0.0,0.7,0.3,0.1,0
169,Dion Beljo,1730,Augsburg,21, FW  ,16(2),1140,2,0.8,13.4,65.1,0.1,0.3,0.0,6.57,3,2,0,0.7,2.6,1,0.4,0.6,0.4,1.3,1.8,0.4,0.1,1.4,0.1,0.8,0.6,0.1,0
179,Felix Uduokhai,1730,Augsburg,25, D(C)  ,16(3),1449,1,0.2,38.3,76.3,0.0,2.2,0.0,6.53,0,3,1,0.2,2.3,1,0.3,0.7,0.0,0.3,0.5,1.6,1.5,1.1,0.3,3.2,0.7,0.7,0
202,Arne Engels,1730,Augsburg,19, M(C)  ,18,1446,3,1.3,28.3,72.1,1.4,1.7,0.1,6.48,0,5,0,0.9,0.6,1,0.2,1.1,0.0,0.4,0.4,1.1,0.8,1.4,0.0,0.6,0.6,0.3,0
208,Arne Maier,1730,Augsburg,24, M(CR)  ,24(6),1972,1,0.7,19.4,69.4,0.5,0.9,0.0,6.46,5,3,0,0.9,0.4,1,0.5,0.6,0.1,0.9,1.3,1.0,0.5,0.4,0.1,0.6,0.3,0.0,0
221,Iago,1730,Augsburg,26," D(L),M(L)  ",19(3),1605,2,0.5,21.9,64.3,0.5,1.4,0.0,6.42,0,4,1,0.4,0.6,0,0.7,0.6,0.0,0.5,1.2,1.5,0.8,0.6,0.4,2.2,0.8,0.2,0
225,Mads Pedersen,1730,Augsburg,26," D(L),M(CL)  ",20(8),1840,0,0.5,17.3,73.8,0.3,0.9,0.0,6.41,0,6,0,0.3,0.3,0,0.6,0.8,0.0,0.5,1.2,1.6,0.7,0.8,0.2,1.2,0.4,0.3,0
231,Elvis Rexhbecaj,1730,Augsburg,25, M(C)  ,30(1),2536,0,0.4,28.6,69.8,0.0,1.0,0.0,6.39,0,6,0,0.5,1.2,0,0.2,1.6,0.0,0.4,1.1,1.6,0.5,0.9,0.1,1.0,1.0,0.4,1
242,Robert Gumny,1730,Augsburg,25, D(CLR)  ,23(6),2021,2,0.3,20.7,66.7,0.1,1.2,0.0,6.37,1,5,1,0.3,1.6,0,0.2,0.6,0.0,0.4,0.6,1.2,0.9,1.1,0.2,2.0,0.6,0.2,0
254,Maximilian Bauer,1730,Augsburg,23, D(C)  ,20(7),1845,1,0.1,27.7,73.1,0.0,2.0,0.0,6.33,0,8,0,0.3,2.6,0,0.1,0.9,0.0,0.2,0.4,1.1,0.9,0.9,0.5,2.9,0.6,0.3,0
256,Fredrik Jensen,1730,Augsburg,25," AM(CL),FW  ",8(12),922,1,0.7,12.3,58.8,0.3,0.8,0.0,6.33,2,1,0,0.6,1.0,0,0.2,0.4,0.2,1.0,1.2,0.8,0.2,0.8,0.1,0.6,0.3,0.3,0
