Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
9,Vincenzo Grifo,50,Freiburg,30, AM(CL)  ,30(3),2427,5,1.7,35.7,78.8,1.0,2.3,0.2,7.26,15,2,0,2.0,0.5,5,1.3,0.9,0.2,0.8,1.3,0.9,0.6,0.2,0.0,0.4,0.5,0.0,0
20,Michael Gregoritsch,50,Freiburg,29," AM(CR),FW  ",27(3),2173,4,0.8,17.3,56.6,0.0,0.2,0.0,7.11,10,6,0,2.2,4.7,5,0.4,1.4,0.4,0.7,1.7,0.6,0.2,0.8,0.0,0.3,0.6,0.1,0
42,Matthias Ginter,50,Freiburg,29," D(CR),DMC  ",34,3060,1,0.4,55.4,82.9,0.0,4.3,0.0,6.95,4,3,0,0.6,3.5,1,0.1,0.8,0.0,0.1,0.4,1.3,1.0,0.7,0.3,4.4,0.4,0.7,0
49,Ritsu Doan,50,Freiburg,25," AM(CLR),FW  ",30(3),2445,4,0.8,17.9,72.2,0.3,0.5,0.0,6.9,5,3,0,1.7,0.3,0,1.5,1.6,0.2,1.6,2.3,1.8,0.4,0.9,0.0,0.3,0.9,0.0,0
64,Lucas Höler,50,Freiburg,28," AM(CLR),FW  ",16(10),1508,2,0.5,18.0,66.3,0.0,0.3,0.0,6.84,5,1,0,1.2,2.7,2,0.4,1.4,0.3,0.5,1.1,0.7,0.4,0.8,0.0,0.7,0.6,0.2,0
74,Philipp Lienhart,50,Freiburg,26, D(C)  ,27(2),2498,0,0.1,54.9,85.4,0.0,4.1,0.0,6.81,1,3,0,0.6,2.2,1,0.1,1.1,0.0,0.0,0.7,1.0,1.2,0.6,0.3,3.2,0.5,0.5,0
75,Lukas Kübler,50,Freiburg,30," D(CR),M(R)  ",19(3),1648,1,0.3,30.7,70.1,0.3,1.8,0.0,6.81,2,1,0,0.4,1.1,0,0.2,0.7,0.0,0.1,0.6,1.7,1.3,0.8,0.1,2.1,0.5,0.5,0
79,Mark Flekken,50,Freiburg,30, GK  ,34,3060,0,0.1,39.4,68.5,0.0,9.7,0.0,6.8,0,0,0,0.0,0.2,2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0
81,Nicolas Höfler,50,Freiburg,33," D(C),DMC  ",32,2822,1,0.2,43.1,83.2,0.0,1.5,0.0,6.79,0,9,1,0.7,2.2,1,0.5,1.6,0.0,0.4,1.0,2.1,1.8,2.1,0.1,1.4,1.1,0.4,0
114,Maximilian Eggestein,50,Freiburg,26, M(CR)  ,27(4),2459,2,0.8,27.4,77.5,0.1,0.7,0.1,6.68,1,6,0,0.5,1.9,0,0.3,0.7,0.0,0.7,0.7,1.6,1.2,1.0,0.0,0.8,0.6,0.3,0
131,Christian Günter,50,Freiburg,30," D(L),M(L)  ",31(2),2749,4,1.8,29.4,76.3,1.8,1.8,0.0,6.65,1,5,0,0.8,0.4,1,0.3,0.4,0.2,0.4,0.5,0.9,0.5,1.0,0.2,1.0,0.9,0.1,0
134,Roland Sallai,50,Freiburg,26," M(CLR),FW  ",10(9),1003,3,0.9,15.7,74.5,0.6,0.3,0.0,6.64,1,6,0,1.7,1.1,1,0.6,1.6,0.2,0.5,1.1,0.6,0.1,1.5,0.0,0.6,0.3,0.1,0
215,Kiliann Sildillia,50,Freiburg,21," D(CR),M(R)  ",23(4),1977,2,0.4,32.9,74.1,0.2,1.2,0.0,6.43,0,2,1,0.4,1.6,0,0.4,0.2,0.1,0.6,0.8,1.2,0.8,1.4,0.2,1.6,0.4,0.3,0
259,Noah Weißhaupt,50,Freiburg,21, Midfielder  ,3(15),419,1,0.4,7.9,73.4,0.2,0.2,0.1,6.32,0,0,0,0.1,0.2,0,0.4,1.1,0.1,0.2,0.7,0.6,0.3,0.1,0.0,0.4,0.3,0.0,0
266,Yannik Keitel,50,Freiburg,23, DMC  ,8(14),678,2,0.2,11.0,78.4,0.0,0.6,0.0,6.28,0,4,0,0.2,0.6,0,0.2,0.1,0.0,0.2,0.3,0.5,0.6,1.0,0.0,0.4,0.1,0.1,0
280,Jeong Woo-Yeong,50,Freiburg,23," AM(CR),FW  ",4(22),641,1,0.2,9.0,80.8,0.1,0.2,0.0,6.2,1,2,0,0.5,0.1,0,0.3,0.3,0.0,0.3,0.5,0.3,0.0,0.5,0.0,0.3,0.1,0.0,0
284,Nils Petersen,50,Freiburg,34, FW  ,0(27),257,0,0.0,2.7,44.6,0.0,0.0,0.0,6.1,1,1,0,0.3,0.5,0,0.0,0.1,0.1,0.1,0.6,0.2,0.0,0.2,0.0,0.2,0.1,0.1,0
