Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
19,Jeremie Frimpong,36,Leverkusen,22," D(R),M(R)  ",32(2),2723,7,1.3,27.5,81.2,0.5,0.5,0.0,7.12,8,4,0,1.1,0.4,4,2.5,1.7,0.2,1.4,2.6,1.6,0.5,0.6,0.1,0.9,0.6,0.1,0
26,Moussa Diaby,36,Leverkusen,23," M(CLR),FW  ",33,2716,8,1.8,26.4,79.2,0.7,0.8,0.2,7.06,9,4,0,2.4,0.1,3,1.5,0.7,0.3,1.3,1.9,0.4,0.2,0.5,0.0,0.1,0.2,0.0,0
55,Robert Andrich,36,Leverkusen,28, M(C)  ,28(1),2409,2,0.6,49.8,83.9,0.1,1.8,0.0,6.87,2,8,0,1.0,1.9,0,0.2,0.7,0.0,0.1,0.7,2.1,1.4,1.2,0.1,1.8,0.7,0.3,1
70,Exequiel Palacios,36,Leverkusen,24, M(C)  ,19(6),1656,2,0.6,47.4,85.4,0.1,1.3,0.0,6.82,4,4,0,0.8,0.5,3,0.4,1.6,0.0,1.0,0.8,2.4,1.3,0.9,0.0,1.0,0.8,0.1,0
105,Kerem Demirbay,36,Leverkusen,29, M(C)  ,17(8),1548,3,1.2,38.7,82.5,0.9,1.7,0.1,6.69,4,5,0,1.2,0.4,2,0.3,0.9,0.0,0.8,1.0,1.4,0.6,1.2,0.0,0.4,0.6,0.2,0
108,Amine Adli,36,Leverkusen,23," AM(CLR),FW  ",16(10),1443,3,0.8,20.6,78.1,0.2,0.3,0.0,6.69,5,2,2,1.4,1.1,1,1.0,1.8,0.2,0.7,2.0,0.7,0.2,1.5,0.0,0.2,0.5,0.1,0
121,Piero Hincapié,36,Leverkusen,21," D(CL),M(L)  ",27(3),2466,1,0.3,55.7,83.2,0.1,1.9,0.1,6.66,1,9,3,0.6,2.0,0,0.5,1.2,0.0,0.3,0.7,1.7,1.0,1.3,0.4,2.5,0.4,0.7,0
135,Edmond Tapsoba,36,Leverkusen,24, D(C)  ,32(1),2872,0,0.2,66.4,85.8,0.0,3.9,0.2,6.64,1,5,0,0.5,1.7,1,0.5,0.5,0.1,0.4,0.5,1.5,1.1,0.8,0.6,3.0,0.4,0.5,1
161,Jonathan Tah,36,Leverkusen,27, D(C)  ,28(5),2487,0,0.2,49.4,89.1,0.0,2.0,0.0,6.58,1,6,0,0.3,1.7,1,0.2,0.1,0.1,0.3,0.2,0.8,1.2,0.7,0.6,3.5,0.2,0.5,0
180,Lukás Hrádecký,36,Leverkusen,33, GK  ,33,2970,0,0.0,28.9,67.9,0.0,5.4,0.0,6.53,0,0,1,0.0,0.3,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0
193,Adam Hlozek,36,Leverkusen,20," AM(CL),FW  ",16(13),1290,3,0.6,10.9,74.4,0.2,0.3,0.0,6.5,5,2,0,1.0,0.8,2,0.3,0.7,0.0,0.8,1.5,0.3,0.2,0.7,0.0,0.3,0.2,0.1,0
194,Odilon Kossounou,36,Leverkusen,22, D(CR)  ,17(7),1520,1,0.1,38.7,82.8,0.0,1.2,0.0,6.5,0,3,0,0.1,1.3,0,0.3,0.2,0.0,0.5,0.7,0.9,1.0,0.7,0.1,2.3,0.3,0.5,0
213,Sardar Azmoun,36,Leverkusen,28," AM(C),FW  ",8(15),917,1,0.6,10.6,66.0,0.0,0.5,0.1,6.44,4,1,0,1.2,1.0,0,0.3,0.0,0.3,0.4,1.0,0.3,0.1,0.7,0.0,0.6,0.3,0.0,0
222,Nadiem Amiri,36,Leverkusen,26, M(CLR)  ,9(16),970,1,0.6,19.4,85.3,0.3,1.0,0.1,6.42,4,6,0,1.0,0.0,0,0.7,1.0,0.2,0.4,0.6,0.6,0.2,0.6,0.0,0.2,0.4,0.0,0
237,Mitchel Bakker,36,Leverkusen,23," D(L),M(L)  ",19(9),1657,2,0.6,27.8,78.3,0.1,1.1,0.0,6.38,3,4,1,0.6,0.4,0,0.4,0.5,0.1,0.5,0.8,0.6,0.5,0.6,0.1,0.6,0.3,0.1,0
