Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
31,Borna Sosa,41,Stuttgart,25," D(L),M(L)  ",22(3),1961,7,2.7,41.0,82.2,3.2,1.8,0.0,7.01,2,5,0,0.6,0.6,2,0.7,0.5,0.0,0.6,0.8,1.1,0.8,0.5,0.2,1.4,0.4,0.2,0
33,Konstantinos Mavropanos,41,Stuttgart,25, D(CR)  ,26(2),2288,1,0.5,49.7,83.5,0.1,5.7,0.0,7.0,2,7,1,1.7,2.9,2,0.6,0.8,0.0,0.2,1.1,1.8,2.3,0.9,0.5,3.5,0.4,0.6,0
40,Wataru Endo,41,Stuttgart,30, DMC  ,33,2925,4,1.4,44.3,79.7,0.1,2.5,0.2,6.97,5,3,0,1.4,2.3,1,0.8,1.7,0.1,1.6,1.7,2.1,0.8,1.2,0.0,1.8,1.4,0.2,0
86,Serhou Guirassy,41,Stuttgart,27," AM(L),FW  ",20(2),1653,0,0.9,20.0,74.3,0.0,0.4,0.0,6.76,11,2,1,2.2,1.9,1,0.6,2.0,0.5,0.9,2.4,0.2,0.0,0.8,0.0,0.6,0.0,0.1,0
106,Hiroki Ito,41,Stuttgart,24, D(CL)  ,29(1),2563,1,0.7,66.0,83.0,0.5,6.1,0.0,6.69,1,5,0,0.7,1.3,0,0.2,0.6,0.1,0.2,0.7,1.3,1.3,0.5,0.5,2.8,0.6,0.6,0
130,Chris Führich,41,Stuttgart,25," M(CLR),FW  ",21(12),1892,2,0.7,19.1,82.3,0.4,0.7,0.0,6.65,5,2,0,1.3,0.1,1,1.5,0.3,0.1,0.9,1.1,1.1,0.2,0.2,0.0,0.3,0.6,0.1,0
148,Silas Katompa Mvumpa,41,Stuttgart,24," M(CLR),FW  ",23(7),2004,2,0.6,11.8,79.2,0.2,0.2,0.0,6.62,5,4,0,1.4,0.6,2,1.6,0.7,0.5,1.5,2.3,0.8,0.3,1.3,0.1,0.0,0.5,0.1,0
153,Atakan Karazor,41,Stuttgart,26," D(C),DMC  ",22(7),1961,1,0.5,38.3,85.0,0.0,1.7,0.0,6.6,0,10,0,0.2,1.7,1,0.5,1.1,0.0,0.6,0.7,1.7,1.1,0.8,0.0,1.5,0.8,0.4,0
171,Waldemar Anton,41,Stuttgart,26," D(CR),DMC  ",34,2940,2,0.3,55.5,80.0,0.2,3.1,0.0,6.57,1,4,0,0.7,1.6,0,0.6,0.9,0.0,0.5,0.7,1.4,1.1,0.9,0.2,3.6,0.7,0.5,0
195,Tiago Tomás,41,Stuttgart,21," AM(CLR),FW  ",16(11),1295,3,0.7,10.6,63.1,0.5,0.2,0.1,6.49,3,2,0,1.3,0.3,1,0.7,1.8,0.1,0.9,1.6,0.4,0.0,0.5,0.0,0.2,0.2,0.1,0
210,Josha Vagnoman,41,Stuttgart,22," D(LR),M(R)  ",16(7),1477,2,0.5,20.5,79.7,0.1,0.6,0.0,6.44,2,1,1,1.1,1.0,0,1.0,0.4,0.1,0.8,1.5,1.1,0.3,0.8,0.1,1.0,0.5,0.1,0
219,Enzo Millot,41,Stuttgart,20, AM(C)  ,9(14),885,1,0.5,15.9,82.2,0.2,0.1,0.0,6.42,0,3,0,0.7,0.3,1,0.9,0.8,0.0,0.6,0.8,1.0,0.5,0.7,0.0,0.3,0.3,0.1,0
277,Florian Müller,41,Stuttgart,25, GK  ,19,1710,0,0.1,33.3,78.7,0.0,6.3,0.0,6.21,0,0,0,0.0,0.2,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0
282,Luca Pfeiffer,41,Stuttgart,26, FW  ,6(13),692,0,0.6,10.5,64.3,0.1,0.4,0.1,6.17,0,1,1,0.6,1.6,0,0.1,0.5,0.1,0.3,0.7,0.1,0.1,0.7,0.0,0.3,0.1,0.0,0
