,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
15,Bruno Guimarães,23,Newcastle,25,DM,32,2735,5,1.3,51.0,84.6,0.1,3.2,0.3,7.21,4,7,0,0.9,0.6,1,1.4,2.6,0.0,1.9,1.4,2.4,1.1,1.4,0.0,0.6,0.8,0.1,0
16,Casemiro,32,Manchester United,31,DM,28,2126,3,1.0,50.4,78.5,0.1,3.4,0.3,7.17,4,7,2,1.2,2.0,5,0.3,0.9,0.0,0.5,0.6,3.2,1.2,1.7,0.0,2.1,1.6,0.4,0
50,Rúben Neves,161,Wolves,26,DM,35,3022,1,0.9,58.1,84.0,0.3,6.1,0.1,6.95,6,12,0,1.9,0.7,5,0.5,0.5,0.0,0.4,0.6,2.3,1.4,1.1,0.0,2.3,1.2,0.6,0
55,João Palhinha,170,Fulham,27,DM,35,3113,0,0.2,36.2,83.0,0.0,2.5,0.0,6.93,3,14,0,1.1,2.1,2,0.4,1.4,0.0,0.8,1.1,4.2,1.3,1.4,0.0,1.7,1.8,0.1,1
59,Moisés Caicedo,211,Brighton,21,DM,37,3141,1,1.2,59.7,88.8,0.2,2.4,0.1,6.92,1,10,0,0.8,1.0,0,0.8,1.5,0.0,0.6,1.1,2.7,1.5,1.8,0.0,0.7,0.8,0.2,0
85,Tomás Soucek,29,West Ham,28,DM,36,2820,3,0.4,27.1,72.1,0.2,1.1,0.0,6.8,2,3,0,0.9,3.2,1,0.1,0.4,0.1,0.5,0.6,2.1,1.5,1.4,0.0,1.9,0.8,0.5,0
118,Cheick Doucouré,162,Crystal Palace,23,DM,34,2786,3,0.8,36.4,83.6,0.1,1.4,0.1,6.72,0,9,1,1.1,0.9,0,0.4,0.4,0.0,0.6,0.8,2.3,1.6,1.1,0.0,1.4,0.7,0.4,0
124,Amadou Onana,31,Everton,21,DM,33,2496,2,0.7,29.4,84.0,0.0,1.2,0.1,6.71,1,9,0,1.0,1.8,0,0.5,1.5,0.1,0.5,1.5,2.2,1.1,1.3,0.0,1.1,0.4,0.2,0
155,Sean Longstaff,23,Newcastle,25,DM,33,2517,4,0.7,34.1,82.8,0.2,1.4,0.1,6.64,1,2,0,1.0,0.7,0,0.2,1.2,0.2,0.9,1.1,1.3,0.5,0.9,0.0,0.7,1.0,0.2,0
158,Vitaly Janelt,189,Brentford,25,DM,35,2212,1,0.5,27.9,80.9,0.2,1.9,0.0,6.63,3,3,0,0.4,0.9,2,0.3,0.6,0.1,0.3,0.5,1.5,0.8,0.6,0.1,0.7,0.8,0.3,0
187,Roméo Lavia,18,Southampton,19,DM,29,2230,0,0.6,34.2,86.4,0.1,1.6,0.1,6.56,1,9,0,0.4,0.3,0,1.0,1.7,0.0,1.1,0.8,2.1,1.1,1.0,0.0,0.8,1.1,0.4,0
212,Marc Roca,19,Leeds,26,DM,32,2330,2,1.0,37.8,79.4,0.4,2.1,0.1,6.5,1,7,0,1.1,0.6,0,0.5,0.9,0.0,0.8,0.8,2.1,0.7,1.3,0.1,0.7,1.4,0.3,0
218,Boubakary Soumaré,14,Leicester,24,DM,26,1635,0,0.4,34.6,86.1,0.0,1.2,0.1,6.49,0,9,0,0.0,0.7,0,0.5,0.8,0.0,0.8,1.0,2.2,1.3,1.2,0.0,1.0,0.8,0.2,0
239,Ryan Yates,174,Nottingham Forest,25,DM,26,1840,2,0.3,22.2,78.2,0.0,1.0,0.0,6.46,0,5,0,1.0,1.2,0,0.2,2.0,0.0,0.6,0.7,1.5,0.4,1.9,0.1,1.7,0.3,0.3,0
240,Mario Lemina,161,Wolves,29,DM,19,1306,1,0.2,34.1,87.3,0.1,1.4,0.0,6.45,0,2,1,0.5,0.9,0,0.6,0.5,0.1,0.4,0.7,2.0,0.7,0.9,0.1,1.2,0.9,0.4,0
258,Oliver Skipp,30,Tottenham,22,DM,23,1499,0,0.4,32.9,87.1,0.0,1.2,0.0,6.42,1,7,0,0.3,0.3,1,0.5,0.7,0.0,0.7,0.7,1.5,0.7,1.0,0.0,0.8,0.7,0.3,0
265,Frank Onyeka,189,Brentford,25,DM,21,845,2,0.3,12.0,75.9,0.0,0.3,0.0,6.39,0,0,0,0.4,0.3,0,0.5,1.2,0.1,0.5,0.5,0.9,0.5,0.7,0.0,0.8,0.7,0.1,0
270,Remo Freuler,174,Nottingham Forest,31,DM,28,2167,0,0.4,29.6,79.6,0.1,0.8,0.0,6.37,0,4,0,0.3,0.9,0,0.2,0.4,0.0,0.3,0.7,1.5,1.0,0.9,0.0,1.5,0.9,0.3,0
