,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Kevin De Bruyne,167,Manchester City,31,M,32,2425,16,3.1,42.4,80.8,2.0,2.5,0.5,7.58,7,1,0,2.0,0.4,9,1.0,0.9,0.2,0.9,1.3,0.9,0.3,0.6,0.0,0.3,0.8,0.1,0
3,Bruno Fernandes,32,Manchester United,28,M,37,3320,8,3.2,50.1,77.7,0.9,3.1,0.6,7.44,8,6,0,2.5,0.5,6,0.9,1.1,0.4,1.1,1.1,1.8,0.7,1.1,0.0,1.0,1.1,0.1,0
7,Solly March,211,Brighton,28,M,33,2728,7,2.0,33.4,78.6,1.1,2.1,0.1,7.38,7,2,0,2.2,0.9,6,1.8,1.2,0.4,1.0,1.7,1.6,0.7,1.4,0.1,0.9,0.6,0.1,0
19,Ilkay Gündogan,167,Manchester City,32,M,31,2359,4,1.2,49.7,88.2,0.3,1.9,0.3,7.11,8,0,0,1.7,0.6,2,0.5,0.8,0.2,0.9,0.9,1.0,0.6,0.7,0.0,0.4,0.7,0.1,0
27,Alexis Mac Allister,211,Brighton,24,M,35,2886,2,1.3,51.5,87.2,0.2,1.9,0.2,7.05,10,8,0,2.5,0.7,4,1.2,1.6,0.0,1.0,1.3,2.0,0.6,1.0,0.1,0.3,1.0,0.1,1
29,Pierre-Emile Højbjerg,30,Tottenham,27,M,35,3133,5,0.9,64.5,88.6,0.2,4.5,0.2,7.02,4,5,0,0.9,0.8,3,0.9,1.0,0.0,1.0,1.1,1.6,1.4,1.1,0.0,1.7,1.2,0.5,0
35,Kaoru Mitoma,211,Brighton,26,M,33,2318,5,1.2,27.7,83.3,0.1,0.6,0.1,7.0,7,0,0,1.6,0.5,4,1.8,0.8,0.2,1.0,1.8,1.3,0.5,0.9,0.0,0.2,0.6,0.0,0
37,Dwight McNeil,31,Everton,23,M,36,2502,3,1.4,21.0,76.4,1.4,1.0,0.0,6.99,7,5,0,1.3,0.4,4,1.5,0.6,0.0,1.3,1.5,1.8,0.9,0.6,0.0,0.9,1.0,0.2,0
45,Lucas Paquetá,29,West Ham,25,M,28,2171,3,1.1,40.2,80.2,0.1,1.6,0.1,6.97,4,5,0,1.9,1.3,4,1.2,1.1,0.0,1.6,1.7,2.5,0.6,1.8,0.0,1.1,1.4,0.1,0
49,James Ward-Prowse,18,Southampton,28,M,38,3373,4,1.9,50.5,85.3,1.8,1.7,0.0,6.95,9,6,0,1.2,1.2,2,0.2,0.5,0.0,0.6,0.7,1.7,1.4,0.9,0.0,1.2,1.1,0.3,1
51,Marcus Tavernier,183,Bournemouth,24,M,23,1749,4,0.8,25.9,77.3,0.9,0.8,0.0,6.95,5,1,0,1.6,0.7,3,2.0,1.2,0.2,1.7,2.0,1.4,0.4,0.9,0.1,0.7,0.9,0.2,0
52,Son Heung-Min,30,Tottenham,30,M,36,2899,6,1.7,21.8,82.0,0.9,0.4,0.1,6.95,10,2,0,2.3,0.3,2,0.9,1.0,0.5,1.5,1.8,0.7,0.4,0.4,0.0,0.1,0.6,0.1,0
54,Douglas Luiz,24,Aston Villa,25,M,37,2933,6,1.2,45.9,86.4,0.6,2.2,0.1,6.93,6,6,1,0.9,0.7,3,0.6,1.1,0.1,0.9,1.0,2.0,1.1,1.3,0.0,0.6,0.9,0.2,0
63,Joe Willock,23,Newcastle,23,M,35,2578,6,1.1,25.4,85.1,0.4,1.0,0.1,6.88,3,1,0,1.7,0.5,2,1.1,0.7,0.1,0.8,1.9,1.5,0.7,1.0,0.0,0.4,0.9,0.2,0
68,Roberto Firmino,26,Liverpool,31,M,25,1213,4,0.8,21.8,79.9,0.1,0.3,0.2,6.85,11,0,0,1.6,0.6,2,0.5,0.2,0.2,0.9,1.5,0.7,0.3,0.4,0.0,0.1,0.7,0.0,0
70,Leandro Trossard,13,Arsenal,28,M,20,930,10,1.2,19.5,84.3,0.8,0.8,0.2,6.84,1,0,0,0.9,0.1,2,0.8,0.9,0.2,1.2,0.9,0.6,0.3,0.5,0.0,0.1,0.6,0.0,0
76,Alex Iwobi,31,Everton,27,M,38,3382,7,1.7,36.6,78.8,0.8,1.9,0.2,6.82,2,2,0,1.1,0.3,0,1.4,0.4,0.1,1.1,1.8,1.8,0.7,0.5,0.0,0.7,0.8,0.1,0
79,Philip Billing,183,Bournemouth,27,M,36,2787,1,0.7,28.0,79.4,0.2,0.7,0.1,6.82,7,5,0,1.1,1.4,3,0.7,1.0,0.1,1.0,1.2,1.8,0.9,0.8,0.1,1.4,0.8,0.2,0
80,John McGinn,24,Aston Villa,28,M,34,2698,3,0.5,28.5,81.5,0.4,1.9,0.1,6.81,1,7,0,1.2,0.6,2,1.3,1.9,0.0,1.0,1.7,1.9,0.7,1.2,0.0,0.4,1.1,0.1,0
81,Mathias Jensen,189,Brentford,27,M,37,2830,6,1.3,32.9,75.7,1.4,3.0,0.0,6.81,5,5,0,0.6,0.3,3,0.6,0.7,0.0,0.9,1.5,1.9,0.9,0.9,0.0,0.6,1.7,0.1,0
84,Bernardo Silva,167,Manchester City,28,M,34,2203,5,0.9,41.7,89.1,0.4,1.7,0.1,6.8,4,5,0,0.7,0.1,0,0.8,0.4,0.1,0.9,0.9,1.3,0.5,0.9,0.0,0.2,0.8,0.2,0
89,Youri Tielemans,14,Leicester,26,M,31,2351,2,1.0,50.2,82.1,0.4,2.1,0.2,6.8,3,4,0,1.0,0.8,1,0.8,0.8,0.0,0.5,1.1,2.1,0.9,1.1,0.0,0.8,1.2,0.3,0
107,Kai Havertz,15,Chelsea,24,M,35,2580,1,1.1,24.8,82.4,0.1,0.4,0.1,6.75,7,5,0,2.0,2.3,2,0.5,0.7,0.8,1.0,2.3,1.0,0.2,1.7,0.0,1.1,0.6,0.0,0
111,Ivan Perisic,30,Tottenham,34,M,34,2112,8,1.4,23.0,72.3,1.4,1.1,0.0,6.74,1,6,0,0.9,1.0,1,0.5,0.2,0.2,0.4,1.0,1.2,0.6,0.9,0.0,1.2,0.6,0.2,0
113,Raheem Sterling,15,Chelsea,28,M,28,1905,3,1.2,22.5,78.9,0.4,0.2,0.1,6.74,6,4,0,1.5,0.2,2,1.4,1.1,0.4,1.8,1.6,0.6,0.1,0.8,0.0,0.1,0.2,0.0,0
116,Andreas Pereira,170,Fulham,27,M,33,2718,6,1.8,25.9,73.7,2.0,1.6,0.0,6.73,4,8,0,1.9,0.3,3,0.5,0.9,0.1,1.5,1.6,0.5,0.2,1.2,0.0,0.2,0.8,0.1,0
128,Kiernan Dewsbury-Hall,14,Leicester,24,M,31,2316,2,1.3,35.3,78.5,0.3,1.8,0.1,6.7,2,3,1,0.8,0.5,1,1.3,1.1,0.0,1.0,2.4,1.7,0.9,1.2,0.0,0.7,0.9,0.4,0
130,Emiliano Buendía,24,Aston Villa,26,M,38,2423,2,1.1,26.1,78.6,0.0,1.2,0.2,6.7,5,0,0,1.3,0.6,2,0.7,1.2,0.0,1.5,1.7,1.4,0.5,1.1,0.0,0.3,1.4,0.1,0
131,Mason Mount,15,Chelsea,24,M,24,1658,2,1.3,29.4,80.1,0.6,1.0,0.1,6.7,3,4,0,1.4,0.4,2,0.6,1.1,0.0,1.2,1.5,1.4,0.3,1.2,0.0,0.3,0.5,0.3,0
132,Christian Eriksen,32,Manchester United,31,M,28,2062,8,1.3,49.7,84.6,0.7,2.3,0.1,6.7,1,3,0,1.4,0.3,1,0.3,0.4,0.1,0.7,0.9,0.8,0.4,0.5,0.0,0.7,0.8,0.3,0
137,Rodrigo,19,Leeds,32,M,31,1945,1,0.5,16.7,72.5,0.2,0.7,0.0,6.68,13,6,0,2.2,1.1,1,0.4,0.4,0.3,0.8,1.8,0.8,0.2,0.9,0.0,0.7,0.4,0.1,0
149,Idrissa Gueye,31,Everton,33,M,33,2594,1,0.4,36.6,84.5,0.0,1.1,0.0,6.66,0,7,0,0.5,0.8,0,0.6,1.5,0.0,0.5,0.9,2.9,1.7,1.3,0.0,0.9,0.9,0.4,0
168,Leon Bailey,24,Aston Villa,25,M,33,1984,4,0.9,13.4,69.2,0.7,0.6,0.1,6.61,4,4,0,1.5,0.7,3,1.2,0.7,0.3,1.6,1.5,0.4,0.2,0.9,0.0,0.3,0.5,0.0,0
169,Matheus Nunes,161,Wolves,24,M,35,2480,1,0.8,27.8,82.3,0.3,2.3,0.0,6.6,1,2,1,0.8,0.6,2,1.3,1.4,0.1,1.1,1.2,1.9,0.5,1.1,0.0,0.9,0.9,0.1,0
188,Ruben Loftus-Cheek,15,Chelsea,27,M,25,1543,1,0.6,34.0,88.6,0.1,0.6,0.0,6.56,0,1,0,0.4,0.9,0,1.2,1.4,0.0,0.9,0.9,1.0,0.5,0.4,0.0,0.9,0.4,0.1,1
192,Joe Aribo,18,Southampton,26,M,21,1229,0,0.4,17.9,74.1,0.0,0.2,0.0,6.55,2,2,0,0.7,1.4,0,0.8,0.6,0.0,1.0,1.7,1.5,0.5,0.5,0.0,0.5,0.4,0.0,0
210,João Moutinho,161,Wolves,36,M,31,1787,2,1.2,31.9,83.9,0.6,1.6,0.1,6.5,0,3,0,0.5,0.3,0,0.3,0.5,0.0,0.2,0.5,1.6,0.6,1.0,0.0,0.6,0.9,0.2,0
223,Adama Traoré,161,Wolves,27,M,34,1492,1,0.7,12.1,74.1,0.6,0.3,0.1,6.48,2,2,0,0.6,1.1,0,1.4,1.0,0.2,0.8,1.7,0.4,0.1,0.6,0.0,0.5,0.1,0.0,0
224,Fred,32,Manchester United,30,M,35,1235,2,0.9,21.8,80.7,0.1,0.9,0.1,6.48,2,6,0,0.7,0.3,0,0.3,0.6,0.0,0.5,0.7,1.3,0.5,0.9,0.0,0.4,0.7,0.1,0
225,Abdoulaye Doucouré,31,Everton,30,M,25,1529,2,0.9,21.5,79.6,0.1,0.1,0.0,6.48,5,6,1,0.8,0.5,0,0.8,0.2,0.3,0.5,1.1,1.2,0.5,0.8,0.0,0.4,1.0,0.1,0
227,Mateo Kovacic,15,Chelsea,29,M,27,1708,2,0.9,48.5,86.0,0.0,1.7,0.1,6.48,1,8,0,0.9,0.4,0,0.7,0.4,0.0,1.0,1.0,1.3,0.7,0.7,0.0,0.6,0.8,0.0,0
229,Orel Mangala,174,Nottingham Forest,25,M,27,1558,1,0.1,18.7,81.0,0.0,0.5,0.0,6.48,1,3,0,0.3,0.4,0,0.6,0.9,0.0,0.3,0.4,1.0,0.9,0.8,0.0,0.5,0.6,0.3,0
244,Josh Dasilva,189,Brentford,24,M,36,1384,2,0.3,15.9,82.7,0.2,0.6,0.0,6.44,4,1,0,0.5,0.2,1,0.9,0.6,0.0,0.8,0.8,0.5,0.1,0.4,0.0,0.2,0.3,0.2,0
245,Joe Rothwell,183,Bournemouth,28,M,20,1019,1,0.4,21.5,87.6,0.4,1.0,0.1,6.44,0,2,0,0.2,0.1,0,0.8,0.2,0.0,0.2,0.4,1.0,0.5,0.9,0.0,0.4,0.7,0.2,0
254,Emmanuel Dennis,174,Nottingham Forest,25,M,19,715,2,0.4,8.8,70.8,0.1,0.2,0.0,6.42,2,3,0,1.1,0.7,0,0.9,1.5,0.2,1.3,1.7,0.9,0.1,0.8,0.0,0.2,0.5,0.1,0
263,Lewis Cook,183,Bournemouth,26,M,28,1715,2,0.9,25.1,81.8,0.6,0.8,0.0,6.41,0,4,0,0.2,0.3,0,0.3,0.4,0.0,0.6,0.5,1.3,0.8,0.5,0.0,1.0,0.9,0.4,0
264,Pablo Fornals,29,West Ham,27,M,32,1506,1,0.6,21.9,77.7,0.2,1.3,0.1,6.4,3,0,0,0.8,0.3,2,0.3,0.2,0.0,0.5,0.7,0.9,0.4,0.4,0.0,0.3,0.7,0.1,0
269,Theo Walcott,18,Southampton,34,M,20,1134,2,0.8,12.0,72.9,0.2,0.1,0.1,6.38,2,1,0,1.0,0.5,0,0.6,0.5,0.8,0.6,1.2,0.7,0.5,0.4,0.0,0.4,1.0,0.1,1
271,Philippe Coutinho,24,Aston Villa,31,M,20,783,0,0.4,17.9,78.5,0.1,0.5,0.1,6.37,1,3,0,1.1,0.2,0,0.7,0.7,0.1,0.9,1.2,1.0,0.2,0.8,0.0,0.1,0.3,0.1,0
286,Nampalys Mendy,14,Leicester,31,M,19,751,0,0.1,21.5,88.3,0.0,0.6,0.0,6.31,1,1,0,0.1,0.2,0,0.4,0.5,0.0,0.1,0.4,0.7,0.7,0.5,0.1,0.1,0.4,0.2,0
288,Tom Cairney,170,Fulham,32,M,33,971,0,0.4,21.4,88.0,0.2,1.0,0.0,6.3,2,2,0,0.6,0.2,0,0.3,0.7,0.0,0.6,0.7,0.5,0.2,0.2,0.0,0.1,0.1,0.1,0
291,Yves Bissouma,30,Tottenham,26,M,23,1005,0,0.3,31.6,91.3,0.0,0.7,0.0,6.29,0,6,0,0.3,0.3,0,0.3,0.4,0.0,0.3,0.7,0.7,0.5,0.7,0.0,0.4,0.2,0.3,0
295,Christian Pulisic,15,Chelsea,24,M,24,814,1,0.5,11.5,84.1,0.1,0.3,0.0,6.27,1,1,0,0.8,0.2,0,0.5,0.6,0.0,0.5,1.1,0.5,0.2,0.4,0.0,0.2,0.1,0.0,0
296,Will Hughes,162,Crystal Palace,28,M,27,830,1,0.2,13.2,81.8,0.1,0.3,0.0,6.27,1,4,0,0.2,0.2,0,0.1,0.3,0.0,0.4,0.5,1.1,0.6,0.7,0.0,0.3,0.3,0.3,0
