,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
1,Erling Haaland,167,Manchester City,22,FW,35,2779,8,0.9,13.7,74.8,0.0,0.1,0.1,7.54,36,5,0,3.5,1.4,6,0.3,0.7,0.2,0.7,1.5,0.1,0.1,0.9,0.0,0.4,0.1,0.1,0
12,Ivan Toney,189,Brentford,27,FW,33,2955,4,0.8,22.3,62.0,0.2,0.4,0.2,7.25,20,9,0,2.8,3.3,5,0.5,2.2,0.8,1.4,3.0,0.7,0.4,1.6,0.0,1.1,0.5,0.3,0
22,Aleksandar Mitrovic,170,Fulham,28,FW,24,2015,1,0.7,20.4,60.5,0.0,1.0,0.1,7.08,14,7,0,3.9,4.2,4,1.0,1.7,0.6,2.4,2.7,0.6,0.1,1.4,0.0,0.8,0.3,0.2,0
58,Callum Wilson,23,Newcastle,31,FW,31,1887,5,0.7,7.6,67.7,0.0,0.1,0.0,6.92,18,4,0,2.4,0.7,4,0.4,1.0,0.5,1.2,2.3,0.3,0.0,0.7,0.0,0.2,0.1,0.0,0
94,Dominic Solanke,183,Bournemouth,25,FW,33,2873,7,0.6,15.6,69.8,0.0,0.2,0.0,6.79,6,2,0,2.3,1.6,3,1.4,1.6,0.3,2.2,4.1,0.5,0.2,1.2,0.1,1.3,0.5,0.2,0
100,Julio Enciso,211,Brighton,19,FW,20,802,2,0.7,12.1,72.7,0.0,0.1,0.2,6.77,4,1,0,1.9,0.3,1,1.6,0.8,0.2,1.0,1.0,0.7,0.2,0.7,0.0,0.1,0.3,0.0,0
140,Evan Ferguson,211,Brighton,18,FW,19,952,2,0.6,11.7,81.1,0.0,0.1,0.1,6.67,6,1,0,1.9,0.5,0,0.4,0.6,0.3,1.1,1.5,0.3,0.1,0.5,0.0,0.3,0.3,0.1,0
217,Taiwo Awoniyi,174,Nottingham Forest,25,FW,27,1412,1,0.4,8.1,64.8,0.0,0.0,0.0,6.49,10,2,0,1.3,0.7,1,0.3,0.7,0.6,1.1,2.5,0.6,0.1,0.9,0.0,0.7,0.2,0.1,0
242,Patson Daka,14,Leicester,24,FW,30,1181,4,0.6,9.2,68.0,0.0,0.2,0.1,6.45,4,2,0,1.0,0.9,0,0.2,0.5,0.2,0.6,1.5,0.5,0.2,0.8,0.0,0.2,0.3,0.1,0
247,Eddie Nketiah,13,Arsenal,24,FW,30,1073,1,0.3,8.3,81.6,0.0,0.1,0.0,6.44,4,3,0,1.4,0.3,1,0.5,0.8,0.3,0.7,1.0,0.4,0.0,1.0,0.0,0.2,0.2,0.0,0
274,Kieffer Moore,183,Bournemouth,30,FW,27,1278,0,0.2,13.1,59.5,0.1,0.2,0.0,6.35,4,1,0,0.9,2.5,1,0.1,1.1,0.0,1.1,1.6,0.5,0.0,1.0,0.1,1.0,0.4,0.2,0
283,Carlos Vinícius,170,Fulham,28,FW,28,1102,2,0.3,6.5,64.8,0.0,0.0,0.1,6.32,5,3,0,0.8,1.0,0,0.2,0.5,0.2,0.8,1.7,0.1,0.0,0.8,0.0,0.3,0.1,0.0,0
293,Sékou Mara,18,Southampton,20,FW,22,541,2,0.3,4.7,66.0,0.0,0.0,0.0,6.27,1,1,0,0.8,1.1,0,0.6,0.3,0.1,0.8,1.3,0.6,0.0,0.9,0.0,0.2,0.3,0.0,0
299,Diego Costa,161,Wolves,34,FW,23,1248,0,0.5,9.3,73.5,0.0,0.0,0.0,6.24,1,5,1,1.2,1.3,1,0.2,0.4,0.7,1.1,1.0,0.1,0.1,1.3,0.0,0.7,0.3,0.0,0
304,Jean-Philippe Mateta,162,Crystal Palace,25,FW,29,754,0,0.2,5.0,70.5,0.0,0.0,0.0,6.17,2,3,0,0.9,0.9,0,0.1,0.3,0.3,0.6,0.9,0.2,0.1,0.6,0.0,0.6,0.1,0.0,0
307,Sam Surridge,174,Nottingham Forest,24,FW,20,308,0,0.1,3.9,51.9,0.0,0.1,0.0,6.09,1,2,0,0.5,0.7,0,0.1,0.5,0.2,0.2,0.7,0.3,0.0,0.6,0.0,0.4,0.2,0.1,0
