,Rank_x,Team,P,W,D,L,GF,GA,GD,Pts,Rank_y,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,Squad,Average age,Foreigne Players,Average Market Value,Market Value
0,1,Manchester City,38,28,5,5,94,33,61,89,1,94,15.8,44,1,65.2,89.2,11.6,6.9,34,25.5,21,€33.70m,€1.15bn
1,2,Arsenal,38,26,6,6,88,43,45,84,2,88,15.6,52,0,59.7,85.4,12.9,6.81,42,23.5,25,€23.83m,€1.00bn
2,3,Manchester United,38,23,6,9,58,43,15,75,4,58,15.6,78,2,53.8,82.3,12.3,6.77,48,24.9,28,€17.67m,€848.00m
3,4,Newcastle,38,19,14,5,68,33,35,71,3,68,15.0,62,1,52.2,79.8,14.7,6.79,38,27.8,21,€14.25m,€541.60m
4,5,Liverpool,38,19,10,9,75,47,28,67,5,75,15.9,57,1,60.6,84.2,12.7,6.75,39,25.1,24,€20.82m,€811.85m
5,6,Brighton,38,18,8,12,72,53,19,62,6,72,16.1,59,0,60.5,85.9,11.7,6.72,42,23.6,28,€12.61m,€529.80m
6,7,Aston Villa,38,18,7,13,51,46,5,61,9,51,11.3,80,1,49.2,81.1,11.7,6.64,43,24.9,24,€11.85m,€509.55m
7,8,Tottenham,38,18,6,14,70,63,7,60,7,70,13.6,75,3,49.8,83.4,14.6,6.71,34,25.4,21,€19.09m,€649.10m
8,9,Brentford,38,15,14,9,58,46,12,59,8,58,10.7,55,1,43.3,74.8,17.6,6.66,36,24.8,26,€10.31m,€371.20m
9,10,Fulham,38,15,7,16,55,53,2,52,13,55,11.3,80,1,48.6,80.0,13.5,6.61,47,25.3,34,€6.28m,€295.25m
10,11,Crystal Palace,38,11,12,15,40,49,-9,45,12,40,11.2,79,3,45.8,79.3,13.1,6.61,39,24.9,19,€8.28m,€323.05m
11,12,Chelsea,38,11,11,16,38,47,-9,44,10,38,12.7,77,3,58.8,85.8,13.1,6.62,43,24.7,28,€23.14m,€994.95m
12,13,Wolves,38,11,8,19,31,58,-27,41,17,31,10.8,84,6,50.1,81.3,12.3,6.51,43,25.3,34,€11.57m,€497.65m
13,14,West Ham,38,11,7,20,42,55,-13,40,14,42,12.5,44,0,41.4,78.2,16.4,6.6,44,24.9,24,€10.59m,€465.75m
14,15,Bournemouth,38,11,6,21,37,71,-34,39,16,37,9.4,69,0,40.0,77.5,13.8,6.53,47,24.4,23,€6.11m,€287.20m
15,16,Nottingham Forest,38,9,11,18,38,68,-30,38,20,38,9.7,84,0,37.2,72.3,14.8,6.49,50,26.1,29,€7.53m,€376.25m
16,17,Everton,38,8,12,18,34,57,-23,36,11,34,11.3,79,2,42.5,77.0,15.3,6.62,40,26.3,20,€10.33m,€413.15m
17,18,Leicester,38,9,7,22,51,68,-17,34,15,51,11.0,59,2,47.7,80.3,13.5,6.57,38,25.9,22,€12.92m,€490.80m
18,19,Leeds,38,7,10,21,48,78,-30,31,19,48,12.2,84,3,46.3,74.9,15.5,6.5,47,23.5,31,€7.34m,€345.15m
19,20,Southampton,38,6,7,25,36,73,-37,25,18,36,11.0,73,0,44.1,77.3,14.6,6.5,46,24.2,25,€9.13m,€419.95m
