,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
51,Marcus Tavernier,183,Bournemouth,24, M(CLR)  ,19(4),1749,4,0.8,25.9,77.3,0.9,0.8,0.0,6.95,5,1,0,1.6,0.7,3,2.0,1.2,0.2,1.7,2.0,1.4,0.4,0.9,0.1,0.7,0.9,0.2,0
79,Philip Billing,183,Bournemouth,27," M(C),FW  ",34(2),2787,1,0.7,28.0,79.4,0.2,0.7,0.1,6.82,7,5,0,1.1,1.4,3,0.7,1.0,0.1,1.0,1.2,1.8,0.9,0.8,0.1,1.4,0.8,0.2,0
94,Dominic Solanke,183,Bournemouth,25, FW  ,32(1),2873,7,0.6,15.6,69.8,0.0,0.2,0.0,6.79,6,2,0,2.3,1.6,3,1.4,1.6,0.3,2.2,4.1,0.5,0.2,1.2,0.1,1.3,0.5,0.2,0
103,Neto,183,Bournemouth,33, GK  ,27,2386,0,0.0,25.8,56.0,0.0,6.4,0.0,6.76,0,4,0,0.0,0.2,2,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0
112,Dango Ouattara,183,Bournemouth,21, AM(LR)  ,15(4),1246,3,0.9,15.5,65.8,0.5,0.5,0.1,6.74,1,1,0,1.4,1.6,1,1.6,0.8,0.4,0.7,2.1,1.5,0.7,0.3,0.1,1.5,1.0,0.2,0
141,Jefferson Lerma,183,Bournemouth,28," D(R),DMC  ",37,3256,0,0.5,42.9,82.2,0.1,1.2,0.1,6.67,5,7,0,0.9,1.7,1,0.4,0.9,0.1,0.5,0.6,1.4,1.3,1.0,0.1,2.4,0.7,0.4,1
171,Lloyd Kelly,183,Bournemouth,24, D(CL)  ,23,2041,2,0.3,45.1,81.4,0.1,2.7,0.1,6.59,0,3,0,0.1,1.6,2,0.0,0.2,0.0,0.2,0.7,1.4,1.1,0.7,0.6,4.3,0.3,0.7,0
178,Chris Mepham,183,Bournemouth,25, D(C)  ,24(2),2198,0,0.2,39.3,83.7,0.0,1.8,0.0,6.58,0,7,0,0.3,2.0,0,0.1,0.3,0.0,0.1,0.2,1.7,1.2,0.6,0.5,5.6,0.4,1.0,2
185,Ryan Christie,183,Bournemouth,28," AM(CLR),FW  ",22(10),1842,1,0.9,19.2,82.7,0.3,0.7,0.0,6.57,1,2,0,1.0,0.5,0,1.2,1.4,0.0,1.0,1.5,1.1,0.8,1.1,0.0,0.5,1.1,0.1,0
201,Marcos Senesi,183,Bournemouth,26, D(C)  ,29(2),2496,0,0.2,41.6,81.4,0.1,3.5,0.0,6.52,2,7,0,0.3,0.9,1,0.3,0.4,0.0,0.1,0.5,1.6,1.4,0.9,0.3,4.5,0.6,0.6,0
233,Jordan Zemura,183,Bournemouth,23, D(L)  ,17(2),1457,1,0.9,24.0,69.3,0.3,0.6,0.0,6.46,0,1,0,0.2,0.4,0,0.9,0.7,0.0,0.8,1.8,2.1,0.8,0.9,0.2,1.4,1.1,0.5,0
245,Joe Rothwell,183,Bournemouth,28, M(CL)  ,12(8),1019,1,0.4,21.5,87.6,0.4,1.0,0.1,6.44,0,2,0,0.2,0.1,0,0.8,0.2,0.0,0.2,0.4,1.0,0.5,0.9,0.0,0.4,0.7,0.2,0
263,Lewis Cook,183,Bournemouth,26, M(CL)  ,18(10),1715,2,0.9,25.1,81.8,0.6,0.8,0.0,6.41,0,4,0,0.2,0.3,0,0.3,0.4,0.0,0.6,0.5,1.3,0.8,0.5,0.0,1.0,0.9,0.4,0
274,Kieffer Moore,183,Bournemouth,30, FW  ,12(15),1278,0,0.2,13.1,59.5,0.1,0.2,0.0,6.35,4,1,0,0.9,2.5,1,0.1,1.1,0.0,1.1,1.6,0.5,0.0,1.0,0.1,1.0,0.4,0.2,0
275,Jaidon Anthony,183,Bournemouth,23, AM(LR)  ,11(19),1248,1,0.4,15.4,78.1,0.3,0.5,0.0,6.35,3,2,0,0.7,0.3,0,0.5,0.4,0.2,0.9,0.8,1.0,0.3,0.3,0.0,0.5,0.5,0.1,0
284,Adam Smith,183,Bournemouth,32," D(LR),M(LR)  ",34(3),2950,1,0.4,26.0,75.3,0.5,1.6,0.0,6.32,0,11,0,0.1,0.8,0,0.2,0.7,0.0,0.1,0.6,1.3,0.7,0.8,0.1,1.8,0.8,0.4,0
