,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
41,Thiago Silva,15,Chelsea,38, D(C)  ,26(1),2352,2,0.2,75.2,91.3,0.0,4.3,0.0,6.98,0,2,0,0.6,2.3,1,0.1,0.5,0.0,0.0,0.2,1.5,1.3,0.4,0.5,4.0,0.4,1.1,0
72,Kalidou Koulibaly,15,Chelsea,32, D(C)  ,20(3),1801,1,0.3,63.0,87.1,0.0,2.9,0.0,6.83,2,5,1,0.5,1.4,0,0.2,0.4,0.0,0.1,0.4,2.0,1.3,1.0,0.4,3.1,0.6,0.6,0
83,Kepa Arrizabalaga,15,Chelsea,28, GK  ,29,2566,0,0.0,30.9,80.7,0.0,4.1,0.0,6.81,0,1,0,0.0,0.4,2,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.1,0.0,0.0,0
107,Kai Havertz,15,Chelsea,24," M(CR),FW  ",30(5),2580,1,1.1,24.8,82.4,0.1,0.4,0.1,6.75,7,5,0,2.0,2.3,2,0.5,0.7,0.8,1.0,2.3,1.0,0.2,1.7,0.0,1.1,0.6,0.0,0
113,Raheem Sterling,15,Chelsea,28," M(CLR),FW  ",23(5),1905,3,1.2,22.5,78.9,0.4,0.2,0.1,6.74,6,4,0,1.5,0.2,2,1.4,1.1,0.4,1.8,1.6,0.6,0.1,0.8,0.0,0.1,0.2,0.0,0
131,Mason Mount,15,Chelsea,24, M(CLR)  ,20(4),1658,2,1.3,29.4,80.1,0.6,1.0,0.1,6.7,3,4,0,1.4,0.4,2,0.6,1.1,0.0,1.2,1.5,1.4,0.3,1.2,0.0,0.3,0.5,0.3,0
150,Marc Cucurella,15,Chelsea,24," D(CL),M(L)  ",21(3),1679,2,0.5,45.4,86.4,0.5,1.3,0.0,6.65,0,4,0,0.3,0.7,0,0.2,0.9,0.0,0.3,0.6,2.8,0.7,0.7,0.1,1.5,1.3,0.3,0
165,Ben Chilwell,15,Chelsea,26," D(L),M(L)  ",15(8),1408,2,0.9,33.0,83.3,1.0,0.7,0.0,6.62,2,3,0,0.7,1.1,0,0.3,1.0,0.1,0.8,1.1,0.9,0.8,0.6,0.2,1.0,0.5,0.1,0
188,Ruben Loftus-Cheek,15,Chelsea,27, M(CLR)  ,19(6),1543,1,0.6,34.0,88.6,0.1,0.6,0.0,6.56,0,1,0,0.4,0.9,0,1.2,1.4,0.0,0.9,0.9,1.0,0.5,0.4,0.0,0.9,0.4,0.1,1
195,Conor Gallagher,15,Chelsea,23, AM(C)  ,18(17),1616,1,0.6,23.1,84.5,0.3,0.4,0.0,6.54,3,9,1,0.8,0.5,2,0.7,1.0,0.1,1.0,1.0,1.3,0.7,1.0,0.0,0.4,0.8,0.3,0
205,César Azpilicueta,15,Chelsea,33," D(CLR),M(R)  ",16(9),1526,0,0.5,35.9,83.7,0.3,0.5,0.0,6.52,0,3,0,0.4,1.2,0,0.3,0.3,0.1,0.2,0.5,1.7,0.8,1.1,0.1,1.8,0.6,0.2,1
227,Mateo Kovacic,15,Chelsea,29, M(CL)  ,17(10),1708,2,0.9,48.5,86.0,0.0,1.7,0.1,6.48,1,8,0,0.9,0.4,0,0.7,0.4,0.0,1.0,1.0,1.3,0.7,0.7,0.0,0.6,0.8,0.0,0
232,Trevoh Chalobah,15,Chelsea,23," D(CR),DMC  ",18(7),1604,0,0.2,45.7,88.5,0.1,1.5,0.0,6.47,0,4,0,0.4,1.2,0,0.3,0.3,0.0,0.2,0.2,1.2,1.0,0.4,0.1,2.2,0.4,0.3,1
295,Christian Pulisic,15,Chelsea,24," M(CLR),FW  ",8(16),814,1,0.5,11.5,84.1,0.1,0.3,0.0,6.27,1,1,0,0.8,0.2,0,0.5,0.6,0.0,0.5,1.1,0.5,0.2,0.4,0.0,0.2,0.1,0.0,0
