,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
22,Aleksandar Mitrovic,170,Fulham,28, FW  ,23(1),2015,1,0.7,20.4,60.5,0.0,1.0,0.1,7.08,14,7,0,3.9,4.2,4,1.0,1.7,0.6,2.4,2.7,0.6,0.1,1.4,0.0,0.8,0.3,0.2,0
39,Willian,170,Fulham,34, AM(CLR)  ,25(2),2144,5,1.9,31.3,82.3,0.5,2.0,0.1,6.99,5,2,0,1.5,0.3,3,1.4,0.9,0.1,0.9,1.6,0.5,0.3,0.4,0.0,0.3,0.7,0.0,0
40,Kenny Tete,170,Fulham,27," D(CR),M(R)  ",29(2),2575,5,0.7,35.9,76.0,0.7,1.5,0.0,6.98,1,8,0,0.4,1.1,0,0.7,1.7,0.0,0.8,0.7,2.7,1.7,1.4,0.2,2.4,0.4,0.5,0
53,Bernd Leno,170,Fulham,31, GK  ,36,3240,0,0.0,33.5,76.3,0.0,4.4,0.0,6.94,0,3,0,0.0,0.3,3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0
55,João Palhinha,170,Fulham,27, DMC  ,35,3113,0,0.2,36.2,83.0,0.0,2.5,0.0,6.93,3,14,0,1.1,2.1,2,0.4,1.4,0.0,0.8,1.1,4.2,1.3,1.4,0.0,1.7,1.8,0.1,1
110,Antonee Robinson,170,Fulham,25," D(L),M(L)  ",35,3089,1,0.6,41.9,76.9,0.9,2.3,0.0,6.74,0,8,0,0.1,1.1,0,1.1,0.7,0.1,0.6,1.1,1.8,1.5,0.9,0.3,2.2,0.6,0.4,0
116,Andreas Pereira,170,Fulham,27, M(CLR)  ,33,2718,6,1.8,25.9,73.7,2.0,1.6,0.0,6.73,4,8,0,1.9,0.3,3,0.5,0.9,0.1,1.5,1.6,0.5,0.2,1.2,0.0,0.2,0.8,0.1,0
119,Tosin Adarabioyo,170,Fulham,25, D(CR)  ,23(2),2084,0,0.2,51.4,82.4,0.0,3.6,0.1,6.72,1,4,0,0.6,2.4,0,0.2,0.2,0.1,0.2,0.2,1.2,1.0,0.7,1.0,5.5,0.3,0.6,0
138,Tim Ream,170,Fulham,35," D(CL),DMC  ",33,2899,0,0.1,57.6,87.0,0.0,4.2,0.0,6.68,1,2,0,0.1,1.5,1,0.3,0.2,0.0,0.2,0.5,0.9,1.2,0.5,0.7,3.4,0.4,0.7,0
152,Issa Diop,170,Fulham,26, D(C)  ,21(4),2009,0,0.1,55.8,87.1,0.0,2.4,0.0,6.65,1,2,0,0.1,1.3,0,0.1,0.3,0.1,0.0,0.4,1.1,1.4,0.6,0.6,3.4,0.6,0.7,0
203,Manor Solomon,170,Fulham,23, AM(CL)  ,4(15),563,0,0.3,10.5,86.4,0.1,0.2,0.1,6.52,4,0,0,0.6,0.2,0,1.0,0.2,0.1,0.6,0.7,1.1,0.3,0.3,0.0,0.1,0.4,0.0,0
214,Harrison Reed,170,Fulham,28," D(R),M(CR)  ",35(2),2882,4,0.9,32.9,79.8,0.4,1.2,0.0,6.5,3,5,0,0.5,0.8,0,0.3,0.6,0.1,0.7,1.2,1.2,0.5,1.0,0.0,0.8,0.9,0.3,1
237,Bobby De Cordova-Reid,170,Fulham,30," D(R),M(CLR),FW  ",29(7),2487,1,0.5,21.7,72.4,0.4,0.6,0.0,6.46,4,8,0,0.9,0.3,0,0.5,0.6,0.3,0.9,1.5,1.2,0.6,0.9,0.1,0.7,0.5,0.1,0
249,Harry Wilson,170,Fulham,26, AM(CLR)  ,13(16),1099,3,0.4,13.0,80.3,0.1,0.8,0.0,6.43,2,1,0,0.6,0.1,1,0.4,1.1,0.1,0.5,0.8,0.7,0.2,0.4,0.0,0.4,0.3,0.1,0
283,Carlos Vinícius,170,Fulham,28, FW  ,11(17),1102,2,0.3,6.5,64.8,0.0,0.0,0.1,6.32,5,3,0,0.8,1.0,0,0.2,0.5,0.2,0.8,1.7,0.1,0.0,0.8,0.0,0.3,0.1,0.0,0
288,Tom Cairney,170,Fulham,32, M(CR)  ,6(27),971,0,0.4,21.4,88.0,0.2,1.0,0.0,6.3,2,2,0,0.6,0.2,0,0.3,0.7,0.0,0.6,0.7,0.5,0.2,0.2,0.0,0.1,0.1,0.1,0
297,Dan James,170,Fulham,25," AM(CLR),FW  ",5(15),614,1,0.4,7.8,71.2,0.3,0.1,0.0,6.26,2,0,0,0.7,0.1,1,0.3,0.7,0.1,0.7,0.5,0.5,0.1,0.1,0.0,0.2,0.2,0.1,0
