,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
3,Bruno Fernandes,32,Man Utd,28, M(CLR)  ,37,3320,8,3.2,50.1,77.7,0.9,3.1,0.6,7.44,8,6,0,2.5,0.5,6,0.9,1.1,0.4,1.1,1.1,1.8,0.7,1.1,0.0,1.0,1.1,0.1,0
16,Casemiro,32,Man Utd,31, DMC  ,24(4),2126,3,1.0,50.4,78.5,0.1,3.4,0.3,7.17,4,7,2,1.2,2.0,5,0.3,0.9,0.0,0.5,0.6,3.2,1.2,1.7,0.0,2.1,1.6,0.4,0
23,Marcus Rashford,32,Man Utd,25," AM(CLR),FW  ",32(3),2890,5,0.9,22.3,78.7,0.1,0.8,0.1,7.08,17,2,0,3.1,0.6,6,1.5,0.7,0.4,1.3,2.3,0.6,0.2,0.4,0.0,0.4,0.4,0.1,0
48,Diogo Dalot,32,Man Utd,24," D(LR),M(R)  ",24(2),2155,2,1.1,45.7,80.5,0.5,2.7,0.0,6.96,1,6,0,0.8,1.5,2,0.8,0.1,0.0,0.2,0.7,2.1,1.4,0.8,0.1,2.0,0.5,0.3,0
56,Aaron Wan-Bissaka,32,Man Utd,25," D(R),M(R)  ",16(3),1436,0,0.8,37.1,83.5,0.2,0.9,0.1,6.93,0,2,0,0.5,0.7,0,0.9,0.1,0.0,0.5,0.7,2.1,1.2,0.6,0.3,1.8,0.1,0.4,0
62,Luke Shaw,32,Man Utd,27," D(CL),M(L)  ",30(1),2558,2,1.1,58.2,86.0,0.8,2.0,0.0,6.9,1,8,0,0.5,1.5,1,0.5,0.9,0.0,0.3,0.8,1.8,1.2,1.5,0.2,1.7,0.5,0.5,0
71,Lisandro Martínez,32,Man Utd,25," D(CL),DMC  ",24(3),2117,0,0.2,56.2,87.3,0.0,2.5,0.1,6.84,1,6,0,0.4,1.2,0,0.5,0.4,0.0,0.3,0.4,2.0,1.2,0.8,0.4,3.6,0.5,1.0,0
74,Jadon Sancho,32,Man Utd,23, AM(CLR)  ,21(5),1699,3,1.7,28.8,85.0,0.1,0.4,0.1,6.82,6,0,0,0.8,0.1,0,1.3,0.4,0.3,0.8,1.9,0.6,0.3,0.3,0.0,0.2,0.8,0.1,0
75,Antony,32,Man Utd,23, AM(R)  ,23(2),1819,2,1.1,31.0,82.2,0.1,0.7,0.0,6.82,4,5,0,2.9,0.2,1,1.2,1.0,0.1,0.5,1.5,0.9,0.4,0.6,0.0,0.1,0.8,0.0,0
125,Victor Lindelöf,32,Man Utd,28, D(CR)  ,14(6),1361,0,0.2,46.4,93.2,0.0,1.3,0.0,6.7,0,1,0,0.2,1.7,0,0.1,0.2,0.0,0.1,0.1,1.1,1.1,0.5,0.4,3.2,0.4,0.5,0
132,Christian Eriksen,32,Man Utd,31," M(CLR),FW  ",25(3),2062,8,1.3,49.7,84.6,0.7,2.3,0.1,6.7,1,3,0,1.4,0.3,1,0.3,0.4,0.1,0.7,0.9,0.8,0.4,0.5,0.0,0.7,0.8,0.3,0
142,David de Gea,32,Man Utd,32, GK  ,38,3420,0,0.0,28.5,68.3,0.0,4.9,0.0,6.67,0,0,0,0.0,0.1,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0
153,Raphaël Varane,32,Man Utd,30, D(C)  ,22(2),1917,0,0.2,45.8,86.5,0.0,2.3,0.0,6.64,0,1,0,0.3,1.8,0,0.3,0.1,0.1,0.0,0.1,1.0,0.5,0.5,0.3,3.7,0.4,0.7,1
156,Tyrell Malacia,32,Man Utd,23, D(L)  ,14(8),1395,0,0.4,30.4,87.4,0.1,0.9,0.0,6.64,0,6,0,0.2,0.4,0,0.3,0.6,0.1,0.4,0.8,2.1,1.1,1.8,0.1,2.0,0.5,0.1,0
175,Anthony Martial,32,Man Utd,27," AM(LR),FW  ",11(10),980,2,0.6,15.2,81.6,0.0,0.2,0.1,6.59,6,0,0,1.3,0.5,0,0.7,0.7,0.3,1.0,1.6,0.2,0.0,0.4,0.0,0.2,0.1,0.1,0
191,Scott McTominay,32,Man Utd,26," D(C),DMC  ",10(14),1151,0,0.3,17.8,82.9,0.0,0.8,0.1,6.55,1,8,0,0.5,1.4,1,0.5,0.7,0.0,0.8,1.0,1.3,0.6,1.2,0.0,1.9,0.4,0.3,0
224,Fred,32,Man Utd,30, M(C)  ,12(23),1235,2,0.9,21.8,80.7,0.1,0.9,0.1,6.48,2,6,0,0.7,0.3,0,0.3,0.6,0.0,0.5,0.7,1.3,0.5,0.9,0.0,0.4,0.7,0.1,0
273,Alejandro Garnacho,32,Man Utd,18, AM(L)  ,5(14),563,2,0.2,9.7,81.1,0.0,0.2,0.0,6.35,3,3,0,1.3,0.2,0,0.6,0.4,0.2,0.7,1.4,0.3,0.3,0.4,0.0,0.1,0.5,0.0,0
