Name,Position,Date of Birth,Age,Nationality,Market Value
Kepa Arrizabalaga,Goalkeeper,,28,Spain,€18.00m
Edouard Mendy,Goalkeeper,,31,Senegal,€12.00m
Gabriel Slonina,Goalkeeper,,19,United States,€9.00m
Marcus Bettinelli,Goalkeeper,,31,England,€1.50m
Lucas Bergström,Goalkeeper,,20,Finland,€250k
Ethan Wady,Goalkeeper,,21,United States,-
Wesley Fofana,Centre-Back,,22,France,€55.00m
Benoît Badiashile,Centre-Back,,22,France,€40.00m
Trevoh Chalobah,Centre-Back,,23,England,€18.00m
Kalidou Koulibaly,Centre-Back,,32,Senegal,€15.00m
Bashir Humphreys,Centre-Back,,20,England,€3.00m
Thiago Silva,Centre-Back,,38,Brazil,€2.00m
Alfie Gilchrist,Centre-Back,,19,England,-
Ben Chilwell,Left-Back,,26,England,€35.00m
Marc Cucurella,Left-Back,,24,Spain,€35.00m
Lewis Hall,Left-Back,,18,England,€10.00m
Abdul Rahman Baba,Left-Back,,28,Ghana,€1.20m
Reece James,Right-Back,,23,England,€65.00m
César Azpilicueta,Right-Back,,33,Spain,€5.00m
Jorginho,Defensive Midfield,,31,Italy,€25.00m
Denis Zakaria,Defensive Midfield,,26,Switzerland,€18.00m
N'Golo Kanté,Defensive Midfield,,32,France,€15.00m
Billy Gilmour,Defensive Midfield,,22,Scotland,€12.00m
Ethan Ampadu,Defensive Midfield,,22,Wales,€9.00m
Enzo Fernández,Central Midfield,,22,Argentina,€80.00m
Mateo Kovacic,Central Midfield,,29,Croatia,€38.00m
Conor Gallagher,Central Midfield,,23,England,€32.00m
Ruben Loftus-Cheek,Central Midfield,,27,England,€25.00m
Carney Chukwuemeka,Central Midfield,,19,England,€15.00m
Mason Mount,Attacking Midfield,,24,England,€60.00m
Kai Havertz,Attacking Midfield,,24,Germany,€55.00m
Harvey Vale,Attacking Midfield,,19,England,€2.00m
Raheem Sterling,Left Winger,,28,England,€55.00m
João Félix,Left Winger,,23,Portugal,€50.00m
Mykhaylo Mudryk,Left Winger,,22,Ukraine,€50.00m
Callum Hudson-Odoi,Left Winger,,22,England,€15.00m
Noni Madueke,Right Winger,,21,England,€30.00m
Christian Pulisic,Right Winger,,24,United States,€25.00m
Hakim Ziyech,Right Winger,,30,Morocco,€16.00m
Omari Hutchinson,Right Winger,,19,Jamaica,€1.00m
Armando Broja,Centre-Forward,,21,Albania,€28.00m
David Datro Fofana,Centre-Forward,,20,Cote d'Ivoire,€10.00m
Pierre-Emerick Aubameyang,Centre-Forward,,34,Gabon,€4.00m
