Name,Position,Date of Birth,Age,Nationality,Market Value
Jordan Pickford,Goalkeeper,,29,England,€22.00m
Asmir Begovic,Goalkeeper,,36,Bosnia-Herzegovina,€800k
Eldin Jakupovic,Goalkeeper,,38,Switzerland,€200k
Andy Lonergan,Goalkeeper,,39,England,€150k
James Tarkowski,Centre-Back,,30,England,€18.00m
Ben Godfrey,Centre-Back,,25,England,€13.00m
Conor Coady,Centre-Back,,30,England,€12.00m
Michael Keane,Centre-Back,,30,England,€10.00m
Yerry Mina,Centre-Back,,28,Colombia,€10.00m
Mason Holgate,Centre-Back,,26,England,€9.00m
Reece Welch,Centre-Back,,19,England,€500k
Vitaliy Mykolenko,Left-Back,,24,Ukraine,€25.00m
Rúben Vinagre,Left-Back,,24,Portugal,€4.00m
Ishé Samuels-Smith,Left-Back,,17,England,-
Nathan Patterson,Right-Back,,21,Scotland,€16.00m
Seamus Coleman,Right-Back,,34,Ireland,€1.00m
Kyle John,Right-Back,,22,England,€150k
Amadou Onana,Defensive Midfield,,21,Belgium,€45.00m
James Garner,Defensive Midfield,,22,England,€14.00m
Allan,Defensive Midfield,,32,Brazil,€6.00m
Jean-Philippe Gbamin,Defensive Midfield,,27,Cote d'Ivoire,€4.80m
André Gomes,Central Midfield,,29,Portugal,€16.00m
Abdoulaye Doucouré,Central Midfield,,30,Mali,€12.00m
Tom Davies,Central Midfield,,25,England,€9.00m
Idrissa Gueye,Central Midfield,,33,Senegal,€5.00m
Lewis Warrington,Central Midfield,,20,England,€500k
Isaac Price,Central Midfield,,19,Northern Ireland,€400k
Alex Iwobi,Attacking Midfield,,27,Nigeria,€28.00m
Dele Alli,Attacking Midfield,,27,England,€8.00m
Sean McAllister,Attacking Midfield,,20,Northern Ireland,-
Anthony Gordon,Left Winger,,22,England,€35.00m
Dwight McNeil,Left Winger,,23,England,€20.00m
Demarai Gray,Left Winger,,27,Jamaica,€20.00m
Andros Townsend,Right Winger,,31,England,€1.50m
Stanley Mills,Right Winger,,19,England,€150k
Dominic Calvert-Lewin,Centre-Forward,,26,England,€25.00m
Neal Maupay,Centre-Forward,,26,France,€10.00m
Thomas Cannon,Centre-Forward,,20,Ireland,€5.00m
Ellis Simms,Centre-Forward,,22,England,€4.00m
Salomón Rondón,Centre-Forward,,33,Venezuela,€2.00m
