Name,Position,Date of Birth,Age,Nationality,Market Value
Bernd Leno,Goalkeeper,,31,Germany,€12.00m
Paulo Gazzaniga,Goalkeeper,,31,Argentina,€3.00m
Marek Rodák,Goalkeeper,,26,Slovakia,€3.00m
George Wickens,Goalkeeper,,21,England,€250k
Issa Diop,Centre-Back,,26,France,€18.00m
Tosin Adarabioyo,Centre-Back,,25,England,€16.00m
Shane Duffy,Centre-Back,,31,Ireland,€2.00m
Tim Ream,Centre-Back,,35,United States,€1.00m
Connor McAvoy,Centre-Back,,21,Scotland,€250k
Charlie Robinson,Centre-Back,,18,England,€150k
Antonee Robinson,Left-Back,,25,United States,€15.00m
Layvin Kurzawa,Left-Back,,30,France,€3.00m
Joe Bryan,Left-Back,,29,England,€2.20m
Stefan Parkes,Left-Back,,19,England,€150k
Kenny Tete,Right-Back,,27,Netherlands,€15.00m
Kevin Mbabu,Right-Back,,28,Switzerland,€3.50m
Cédric Soares,Right-Back,,31,Portugal,€3.00m
Marlon Fossey,Right-Back,,24,United States,€2.50m
Steven Sessegnon,Right-Back,,23,England,€800k
Luciano D'Auria-Henry,Right-Back,,20,England,€150k
João Palhinha,Defensive Midfield,,27,Portugal,€40.00m
Nathaniel Chalobah,Defensive Midfield,,28,England,€1.80m
Harrison Reed,Central Midfield,,28,England,€18.00m
Saša Lukić,Central Midfield,,26,Serbia,€12.00m
Tom Cairney,Central Midfield,,32,Scotland,€2.00m
Josh Onomah,Central Midfield,,26,England,€1.50m
Tyrese Francois,Central Midfield,,22,Australia,€500k
Adrion Pajaziti,Central Midfield,,20,Albania,€200k
Matt Dibley-Dias,Central Midfield,,19,New Zealand,-
Andreas Pereira,Attacking Midfield,,27,Brazil,€18.00m
Bobby De Cordova-Reid,Attacking Midfield,,30,Jamaica,€7.00m
Luke Harris,Attacking Midfield,,18,Wales,€500k
Kristian Sekularac,Attacking Midfield,,19,Switzerland,€150k
Manor Solomon,Left Winger,,23,Israel,€18.00m
Daniel James,Left Winger,,25,Wales,€12.00m
Willian,Left Winger,,34,Brazil,€3.00m
Neeskens Kebano,Left Winger,,31,DR Congo,€2.00m
Ollie O'Neill,Left Winger,,20,Ireland,€250k
Martial Godo,Left Winger,,20,England,€100k
Harry Wilson,Right Winger,,26,Wales,€16.00m
Anthony Knockaert,Right Winger,,31,France,€900k
Aleksandar Mitrovic,Centre-Forward,,28,Serbia,€28.00m
Carlos Vinícius,Centre-Forward,,28,Brazil,€6.00m
Rodrigo Muniz,Centre-Forward,,22,Brazil,€5.00m
Jay Stansfield,Centre-Forward,,20,England,€1.20m
Terry Ablade,Centre-Forward,,21,Finland,€200k
Callum McFarlane,Centre-Forward,,19,England,-
