Name,Position,Date of Birth,Age,Nationality,Market Value
Dean Henderson,Goalkeeper,,26,England,€18.00m
Keylor Navas,Goalkeeper,,36,Costa Rica,€4.00m
Wayne Hennessey,Goalkeeper,,36,Wales,€400k
Jordan Smith,Goalkeeper,,28,England,€250k
Adnan Kanuric,Goalkeeper,,22,Bosnia-Herzegovina,€150k
George Shelvey,Goalkeeper,,22,England,-
Moussa Niakhaté,Centre-Back,,27,Senegal,€18.00m
Loïc Badé,Centre-Back,,23,France,€12.00m
Joe Worrall,Centre-Back,,26,England,€12.00m
Scott McKenna,Centre-Back,,26,Scotland,€10.00m
Giulian Biancone,Centre-Back,,23,France,€6.00m
Jonathan Panzo,Centre-Back,,22,England,€3.00m
Willy Boly,Centre-Back,,32,Cote d'Ivoire,€2.50m
Loïc Mbe Soh,Centre-Back,,22,France,€2.00m
Felipe,Centre-Back,,34,Brazil,€2.00m
Steve Cook,Centre-Back,,32,England,€1.80m
Aaron Donnelly,Centre-Back,,20,Northern Ireland,€400k
Zach Abbott,Centre-Back,,17,England,€250k
Renan Lodi,Left-Back,,25,Brazil,€20.00m
Omar Richards,Left-Back,,25,England,€5.00m
Harry Toffolo,Left-Back,,27,England,€3.50m
Neco Williams,Right-Back,,22,Wales,€20.00m
Serge Aurier,Right-Back,,30,Cote d'Ivoire,€8.00m
Cheikhou Kouyaté,Defensive Midfield,,33,Senegal,€2.00m
Jack Colback,Defensive Midfield,,33,England,€600k
Danilo,Central Midfield,,22,Brazil,€28.00m
Orel Mangala,Central Midfield,,25,Belgium,€16.00m
Ryan Yates,Central Midfield,,25,England,€11.00m
Lewis O'Brien,Central Midfield,,24,England,€8.00m
Remo Freuler,Central Midfield,,31,Switzerland,€8.00m
Jonjo Shelvey,Central Midfield,,31,England,€5.00m
Cafú,Central Midfield,,30,Portugal,€600k
Harry Arter,Central Midfield,,33,Ireland,€400k
Oliver Hammond,Central Midfield,,20,Wales,€250k
Billy Fewster,Central Midfield,,19,England,-
Alex Gibson-Hammond,Right Midfield,,20,England,€150k
Morgan Gibbs-White,Attacking Midfield,,23,England,€40.00m
Gustavo Scarpa,Attacking Midfield,,29,Brazil,€10.00m
Jesse Lingard,Attacking Midfield,,30,England,€8.00m
Emmanuel Dennis,Left Winger,,25,Nigeria,€8.00m
André Ayew,Left Winger,,33,Ghana,€1.80m
Alex Mighten,Left Winger,,21,England,€600k
Brennan Johnson,Right Winger,,22,Wales,€38.00m
Josh Bowler,Right Winger,,24,England,€1.80m
Taiwo Awoniyi,Centre-Forward,,25,Nigeria,€25.00m
Chris Wood,Centre-Forward,,31,New Zealand,€8.00m
Sam Surridge,Centre-Forward,,24,England,€5.00m
Dale Taylor,Centre-Forward,,19,Northern Ireland,€500k
Lyle Taylor,Centre-Forward,,33,Montserrat,€300k
Detlef Esapa Osong,Centre-Forward,,18,England,-
