Name,Position,Date of Birth,Age,Nationality,Market Value
Gavin Bazunu,Goalkeeper,,21,Ireland,€15.00m
Alex McCarthy,Goalkeeper,,33,England,€1.20m
Willy Caballero,Goalkeeper,,41,Argentina,€150k
Armel Bella-Kotchap,Centre-Back,,21,Germany,€20.00m
Mohammed Salisu,Centre-Back,,24,Ghana,€18.00m
Jan Bednarek,Centre-Back,,27,Poland,€14.00m
Duje Caleta-Car,Centre-Back,,26,Croatia,€11.00m
Lyanco,Centre-Back,,26,Brazil,€3.50m
Jack Stephens,Centre-Back,,29,England,€3.50m
Dynel Simeu,Centre-Back,,21,England,€800k
Nico Lawrence,Centre-Back,,19,England,-
Romain Perraud,Left-Back,,25,France,€12.00m
Juan Larios,Left-Back,,19,Spain,€7.00m
Kyle Walker-Peters,Right-Back,,26,England,€25.00m
Tino Livramento,Right-Back,,20,England,€25.00m
Yan Valery,Right-Back,,24,Tunisia,€2.00m
James Bree,Right-Back,,25,England,€2.00m
Lewis Payne,Right-Back,,19,England,€200k
Roméo Lavia,Defensive Midfield,,19,Belgium,€32.00m
Ibrahima Diallo,Defensive Midfield,,24,France,€7.00m
Oriol Romeu,Defensive Midfield,,31,Spain,€5.00m
James Ward-Prowse,Central Midfield,,28,England,€38.00m
Carlos Alcaraz,Central Midfield,,20,Argentina,€15.00m
Joe Aribo,Central Midfield,,26,Nigeria,€11.00m
Stuart Armstrong,Central Midfield,,31,Scotland,€4.50m
Will Smallbone,Central Midfield,,23,Ireland,€3.50m
Ryan Finnigan,Central Midfield,,19,England,€250k
Ainsley Maitland-Niles,Right Midfield,,25,England,€8.00m
Diamond Edwards,Attacking Midfield,,19,England,€150k
Kamari Doyle,Attacking Midfield,,17,England,-
Kamaldeen Sulemana,Left Winger,,21,Ghana,€22.00m
Mohamed Elyounoussi,Left Winger,,28,Norway,€9.00m
Moussa Djenepo,Left Winger,,25,Mali,€8.00m
Samuel Edozie,Left Winger,,20,England,€8.00m
Mislav Orsic,Left Winger,,30,Croatia,€5.00m
Nathan Tella,Right Winger,,23,Nigeria,€18.00m
Nathan Redmond,Right Winger,,29,England,€10.00m
Theo Walcott,Right Winger,,34,England,€1.00m
Samuel Amo-Ameyaw,Right Winger,,16,England,-
Ché Adams,Centre-Forward,,26,Scotland,€20.00m
Paul Onuachu,Centre-Forward,,29,Nigeria,€13.00m
Adam Armstrong,Centre-Forward,,26,England,€10.00m
Sékou Mara,Centre-Forward,,20,France,€10.00m
Dan Nlundulu,Centre-Forward,,24,England,€900k
Dom Ballard,Centre-Forward,,18,England,€300k
Jimmy-Jay Morgan,Centre-Forward,,17,England,-
