,Rank,Name,Nation,Pos,Team,Age,Born,Mp,Start,Min,Goals,Ast,G_A,G_PK,PK,PKatt,Yellow,Red
0,1,Maxwell Acosty,gh GHA,"FW,MF",Suw Bluewings,31,1991,25,10,"1,490",4,3,7,4,0,0,1,0
1,2,Bismark Adjei-Boateng,gh GHA,MF,Jeonbuk,28,1994,13,13,"1,005",1,0,1,1,0,0,1,0
2,3,Hosam Aiesh,sy SYR,MF,FC Seoul,27,1995,3,1,56,0,0,0,0,0,0,0,0
3,4,Ikrom Alibayev,uz UZB,"MF,FW",Gangwon,29,1994,23,10,"1,128",1,0,1,1,0,0,1,0
4,5,Jun Amano,jp JPN,"MF,FW",Jeonbuk,31,1991,25,14,"1,245",1,3,4,1,0,0,1,0
5,6,Jasir Asani,al ALB,MF,Gwangju FC,27,1995,33,23,"2,146",7,3,10,7,0,0,6,0
6,7,Oh Ban-suk,kr KOR,DF,Incheon United,34,1988,27,27,"2,348",3,0,3,3,0,0,1,0
7,8,Lucas Barcellos,br BRA,FW,Daegu,24,1998,31,22,"1,771",5,1,6,4,1,1,3,0
8,9,Rodrigo Bassani,br BRA,"MF,FW",Suw Bluewings,25,1997,22,18,"1,384",3,1,4,3,0,1,4,0
9,10,Yoon Bit-garam,kr KOR,MF,Suwon FC,32,1990,35,33,"3,007",8,5,13,8,0,0,5,1
10,11,Choi Bo-kyung,kr KOR,DF,Suwon FC,34,1988,13,7,517,0,0,0,0,0,0,0,0
11,12,Kim Bo-kyung,kr KOR,"MF,FW",Suw Bluewings,33,1989,23,19,"1,485",0,2,2,0,0,0,3,0
12,13,Victor Bobsin,br BRA,"MF,DF",Daegu,23,2000,11,9,822,1,0,1,1,0,0,3,1
13,14,Darijan Bojanić,se SWE,MF,Ulsan Hyundai,28,1994,9,6,359,0,1,1,0,0,0,0,0
14,15,Kim Bongsoo,kr KOR,"MF,DF",Jeju United FC,23,1999,35,23,"2,546",2,1,3,2,0,0,4,0
15,16,Kim Bosub,kr KOR,FW,Incheon United,25,1998,33,22,"1,924",3,4,7,3,0,0,2,0
16,17,Dave Bulthuis,nl NED,DF,Suw Bluewings,32,1990,18,13,"1,111",1,1,2,1,0,0,2,1
17,18,Lee Bum-young,kr KOR,GK,Suwon FC,33,1989,3,3,270,0,0,0,0,0,0,0,0
18,19,Jeon Byeonggwan,kr KOR,FW,Daejeon Citizen FC,20,2002,23,12,909,2,3,5,2,0,0,2,0
19,20,An Byong-jun,kp PRK,FW,Suw Bluewings,32,1990,29,20,"1,844",5,2,7,5,0,1,1,0
20,21,Park Byunghyun,kr KOR,DF,Suwon FC,29,1993,10,8,721,0,0,0,0,0,0,1,0
21,22,Aaron Calver,au AUS,DF,Gwangju FC,27,1996,20,12,"1,240",0,0,0,0,0,0,3,0
22,23,Yago Cariello,br BRA,"FW,MF",Gangwon,23,1999,11,5,437,1,1,2,1,0,0,0,0
