,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
18,Aleix García,2783,Girona,25,DM,30,2341,5,2.1,48.4,88.9,2.2,3.3,0.1,7.04,1,1,0,1.1,0.4,2,0.4,1.0,0.0,0.4,0.6,1.2,1.0,0.5,0.0,0.9,0.6,0.3,0
19,Aurélien Tchouaméni,52,Real Madrid,23,DM,33,2120,4,0.7,51.1,93.5,0.0,1.2,0.1,7.04,0,2,0,1.2,1.5,2,0.8,1.1,0.0,0.4,0.7,1.9,1.5,1.1,0.1,1.5,0.5,0.2,0
23,Sergio Busquets,65,Barcelona,34,DM,30,2347,4,0.8,64.5,88.7,0.1,3.8,0.3,6.99,0,6,1,0.3,1.8,0,0.4,1.3,0.0,0.4,0.6,1.9,0.9,1.0,0.0,1.0,0.7,0.2,0
25,Guido Rodríguez,54,Real Betis,29,DM,34,2878,0,0.3,49.1,87.4,0.0,2.6,0.1,6.98,1,8,0,0.6,1.3,3,0.6,1.9,0.0,0.6,0.5,3.4,1.2,1.3,0.0,2.0,1.4,0.4,1
86,Gumbau,833,Elche,28,DM,35,2745,6,2.1,36.3,81.7,2.1,3.3,0.0,6.74,1,11,0,1.3,0.6,2,0.2,0.6,0.1,0.3,0.8,1.3,0.8,1.5,0.0,1.1,0.9,0.2,0
105,Lucas Torró,131,Osasuna,28,DM,33,2489,0,0.3,35.3,80.7,0.0,1.4,0.0,6.71,1,10,0,0.8,2.6,0,0.3,0.9,0.0,0.4,0.9,1.5,1.3,1.9,0.0,1.9,0.7,0.1,0
110,Martín Zubimendi,68,Real Sociedad,24,DM,36,3102,3,0.6,50.0,85.6,0.1,2.3,0.1,6.71,1,12,0,0.4,1.6,1,0.3,0.9,0.0,0.5,0.6,1.6,1.0,1.4,0.1,1.4,0.6,0.5,0
111,Oriol Romeu,2783,Girona,31,DM,33,2952,0,0.6,48.6,87.3,0.1,2.6,0.0,6.71,2,8,1,0.7,1.2,0,0.6,1.0,0.0,0.8,0.8,2.1,1.1,1.8,0.1,1.5,0.8,0.3,0
122,Vinicius Souza,70,Espanyol,24,DM,34,2434,1,0.3,26.6,80.1,0.0,1.4,0.0,6.68,1,8,1,0.3,2.1,0,0.3,1.1,0.0,0.4,0.9,2.9,1.4,1.9,0.1,1.4,0.8,0.4,0
128,Íñigo Ruíz de Galarreta,51,Mallorca,29,DM,30,2457,1,0.7,39.4,85.0,0.4,2.4,0.1,6.67,0,12,0,0.3,0.7,0,0.6,1.5,0.0,0.5,0.5,1.8,1.0,2.0,0.0,0.6,1.1,0.3,0
148,Mikel Vesga,53,Athletic Club,30,DM,36,2576,3,0.6,41.4,84.2,0.1,2.8,0.0,6.63,3,5,0,0.8,1.8,0,0.3,0.6,0.0,0.4,1.1,1.6,1.0,1.2,0.0,1.0,1.2,0.2,1
153,Luis Milla,819,Getafe,28,DM,27,1862,3,1.1,33.1,82.1,0.9,2.5,0.0,6.63,0,4,1,0.3,0.6,0,0.4,0.8,0.0,0.4,0.7,1.8,1.2,1.1,0.0,0.9,0.9,0.0,0
168,Óscar Valentín,64,Rayo Vallecano,28,DM,34,2564,0,0.6,34.3,81.9,0.0,2.1,0.0,6.59,0,11,0,0.4,0.8,0,0.2,1.5,0.0,0.4,0.6,2.7,1.3,2.2,0.2,0.8,2.2,0.3,0
