,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
7,Frenkie de Jong,65,Barcelona,26,D,33,2539,4,1.4,68.4,91.4,0.3,3.0,0.4,7.15,2,3,0,0.5,1.0,4,1.1,1.0,0.0,0.7,0.7,1.4,1.1,1.0,0.1,0.6,0.7,0.0,0
14,Juan Foyth,839,Villarreal,25,D,24,1960,0,0.5,45.4,87.8,0.2,2.9,0.0,7.06,1,6,0,0.6,1.5,1,1.1,0.4,0.0,0.6,0.9,3.0,0.8,1.7,0.4,2.4,0.7,0.5,0
21,Éder Militão,52,Real Madrid,25,D,33,2703,0,0.2,55.8,88.7,0.1,3.4,0.0,7.03,5,4,0,0.7,1.9,2,0.3,1.2,0.0,0.2,0.5,1.4,1.3,1.1,0.5,3.0,0.2,1.2,0
26,José Gayà,55,Valencia,28,D,31,2716,3,1.9,39.5,81.0,1.5,2.1,0.0,6.98,1,4,0,0.7,0.8,3,0.8,0.9,0.2,0.4,0.6,2.6,0.7,0.4,0.2,1.3,1.0,0.3,0
27,Javi Galán,62,Celta Vigo,28,D,37,3163,3,1.4,41.1,80.7,1.1,2.2,0.0,6.98,0,6,0,0.4,0.9,5,1.9,2.0,0.2,1.1,1.7,2.8,1.1,1.4,0.2,1.5,1.4,0.1,0
28,Jules Koundé,65,Barcelona,24,D,29,2429,3,0.6,63.9,88.8,0.2,2.1,0.1,6.97,1,2,0,0.5,1.5,1,0.5,0.4,0.1,0.6,0.8,1.3,0.7,0.8,0.5,1.9,0.3,0.3,1
29,José Giménez,63,Atletico Madrid,28,D,28,2421,1,0.3,47.4,88.8,0.0,4.2,0.0,6.96,2,9,0,0.8,1.8,2,0.2,0.3,0.0,0.0,0.3,1.5,0.9,0.7,0.3,4.8,0.4,0.6,0
35,Loïc Badé,67,Sevilla,23,D,19,1448,0,0.1,44.1,87.5,0.0,1.9,0.0,6.92,1,4,0,0.2,1.8,3,0.3,0.2,0.0,0.1,0.3,1.4,1.2,0.7,0.5,3.9,0.7,0.7,0
38,Ronald Araújo,65,Barcelona,24,D,22,1802,2,0.3,56.9,89.1,0.0,3.2,0.0,6.91,0,6,1,0.8,2.1,0,0.5,0.8,0.0,0.3,0.4,1.2,0.5,0.7,1.0,1.8,0.1,0.3,1
41,Reinildo,63,Atletico Madrid,29,D,22,1860,0,0.4,43.3,87.1,0.2,1.2,0.0,6.91,0,4,0,0.3,1.4,1,0.3,1.4,0.0,0.4,0.9,3.0,1.4,1.5,0.0,2.4,0.5,0.5,0
42,Alejandro Balde,65,Barcelona,19,D,33,2477,6,0.7,42.7,91.1,0.7,1.1,0.0,6.9,1,4,0,0.6,0.6,1,1.5,0.9,0.2,0.7,1.2,1.3,0.4,0.8,0.3,0.4,0.5,0.1,0
45,Antonio Raíllo,51,Mallorca,31,D,31,2767,3,0.2,34.9,83.2,0.0,2.1,0.0,6.88,2,11,1,0.4,3.0,1,0.1,0.7,0.2,0.1,0.3,1.1,1.0,1.4,0.4,5.1,0.2,0.9,0
49,Yannick Carrasco,63,Atletico Madrid,29,D,35,2330,3,1.3,26.1,84.8,0.7,0.7,0.1,6.85,7,2,0,1.9,0.1,0,1.7,0.6,0.2,1.0,1.5,1.0,0.3,0.7,0.1,0.5,0.9,0.0,0
60,Jordi Alba,65,Barcelona,34,D,24,1423,3,1.6,51.1,86.6,1.0,2.1,0.1,6.82,2,4,1,0.5,0.3,1,0.2,0.2,0.4,0.3,0.3,1.0,0.5,0.5,0.2,0.6,0.7,0.2,0
61,Andreas Christensen,65,Barcelona,27,D,23,1767,1,0.3,65.0,94.0,0.0,2.8,0.0,6.82,1,2,0,0.4,1.8,0,0.0,0.3,0.0,0.0,0.4,0.9,0.9,0.8,0.8,2.0,0.3,0.5,1
65,Juan Miranda,54,Real Betis,23,D,21,1475,2,1.0,29.8,76.8,0.7,1.3,0.1,6.81,3,1,1,1.0,1.0,2,0.4,1.0,0.0,0.4,0.8,1.1,1.0,0.7,0.5,2.4,0.7,0.3,0
66,Marcos Llorente,63,Atletico Madrid,28,D,22,1712,2,1.3,32.5,85.9,0.2,0.8,0.0,6.81,1,5,0,1.1,0.5,1,0.5,0.6,0.1,0.5,1.0,1.5,0.8,1.4,0.0,0.8,0.6,0.1,0
68,Pau Torres,839,Villarreal,26,D,34,3055,0,0.4,63.6,85.3,0.0,5.4,0.1,6.8,1,10,0,0.4,1.7,1,0.8,0.5,0.0,0.1,0.6,1.3,0.4,0.6,0.6,4.1,0.4,0.8,1
70,Yuri Berchiche,53,Athletic Club,33,D,29,2408,1,0.7,42.8,84.1,0.5,2.6,0.0,6.79,1,7,1,1.0,1.8,1,0.4,1.1,0.2,0.5,0.8,1.9,1.4,1.1,0.4,1.7,0.9,0.4,0
71,Yeray Álvarez,53,Athletic Club,28,D,28,2337,1,0.5,49.2,81.1,0.1,4.3,0.1,6.79,1,7,1,0.3,2.0,1,0.2,0.8,0.0,0.0,0.3,1.2,1.7,0.8,0.4,3.6,0.3,0.5,0
72,Nahuel Molina,63,Atletico Madrid,25,D,33,2872,2,1.2,45.7,79.4,0.7,1.7,0.1,6.79,4,7,1,0.6,0.7,0,0.6,0.5,0.1,0.3,1.0,2.1,0.5,0.7,0.1,1.4,1.6,0.2,0
74,Iza Carcelén,1354,Cadiz,30,D,27,2204,1,0.6,27.5,80.9,0.8,1.5,0.0,6.79,0,4,3,0.3,0.8,0,0.5,1.0,0.1,0.7,0.7,2.6,0.7,0.6,0.4,2.5,0.8,0.4,0
75,Eduardo Camavinga,52,Real Madrid,20,D,37,2003,1,0.6,38.3,91.2,0.0,1.4,0.1,6.78,0,6,0,0.5,0.6,0,1.0,1.9,0.1,0.8,1.1,1.8,0.5,1.1,0.1,0.5,1.1,0.1,0
76,Youssouf Sabaly,54,Real Betis,30,D,23,1681,1,0.5,33.5,83.1,0.0,0.7,0.0,6.78,1,2,0,0.5,0.2,0,0.8,1.4,0.1,1.1,1.1,2.0,0.8,0.9,0.4,2.0,0.5,0.3,0
77,Pablo Maffeo,51,Mallorca,25,D,35,2980,4,1.0,24.3,70.9,0.7,1.4,0.1,6.78,2,6,1,0.6,1.4,3,1.0,1.3,0.1,1.0,1.8,2.1,0.7,0.9,0.1,1.7,0.9,0.3,0
78,Marcos Acuña,67,Sevilla,31,D,30,1917,2,1.3,32.8,80.6,1.4,2.4,0.0,6.78,3,9,3,0.7,1.0,1,0.9,1.1,0.0,0.7,1.0,1.9,0.8,1.1,0.2,1.1,0.4,0.2,0
80,David García,131,Osasuna,29,D,32,2684,0,0.2,44.3,81.0,0.0,3.8,0.0,6.77,2,8,1,0.5,2.7,0,0.1,0.5,0.0,0.1,0.3,1.1,1.4,1.7,0.9,4.7,0.1,0.4,0
81,Robin Le Normand,68,Real Sociedad,26,D,33,2795,0,0.1,52.5,88.2,0.0,3.2,0.1,6.76,0,6,0,0.4,3.3,1,0.1,0.9,0.1,0.3,0.2,1.1,1.0,1.3,0.9,2.8,0.4,0.4,1
82,David López,2783,Girona,33,D,20,1658,1,0.4,59.9,90.1,0.0,3.0,0.0,6.75,3,5,0,0.6,1.5,2,0.3,0.8,0.2,0.1,0.4,1.6,0.7,0.8,0.4,3.2,0.4,1.0,0
84,Diego Rico,68,Real Sociedad,30,D,20,1647,0,0.5,37.3,79.2,0.7,2.1,0.0,6.75,0,3,0,0.5,1.0,1,0.7,1.3,0.1,0.5,1.2,1.8,1.0,1.4,0.3,2.0,0.8,0.3,0
87,Alex Berenguer,53,Athletic Club,27,D,37,2304,1,1.4,20.7,74.8,1.2,0.6,0.0,6.74,4,2,0,1.5,0.9,2,1.0,0.7,0.5,1.1,1.7,1.6,0.3,1.3,0.0,0.1,1.0,0.1,0
