team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Shots pg,Yellow,Red,Poss%,Pass%,A_Won,Rating,Shoted pg,Tackles pg,Intercept pg,Fouls pg,Offsides pg,Shots OT pg,Dribbles pg,Fouled pg
Barcelona,38,28,4,6,70,20,+50,88,70,15.1,78,6,64.8,88.1,12.3,6.85,8.7,13.7,6.7,11.4,2.6,5.1,10.4,11.9
Real Madrid,38,24,6,8,75,36,+39,78,75,17,68,3,61.2,90.0,8.9,6.86,11.1,14.3,7.8,9.7,2.3,5.8,12.5,13.9
Atletico Madrid,38,23,8,7,70,33,+37,77,70,14.2,86,8,50.4,84.2,11.9,6.75,11.5,17.6,8,11.6,2.1,5.3,8.5,11
Real Sociedad,38,21,8,9,51,35,+16,71,51,12.3,91,2,54.6,81.9,17.6,6.65,10.4,17.4,7.1,16.3,2.4,4.7,8.1,11.9
Villarreal,38,19,7,12,59,40,+19,64,59,13.3,86,4,56.7,85.4,9.5,6.68,12.5,15.2,6.9,11.8,2.3,5.2,11.4,12.7
Real Betis,38,17,9,12,46,41,+5,60,46,11.1,77,15,50.5,82.4,12.1,6.63,12.3,17.5,9.6,10.9,1.9,4,9.6,14.1
Osasuna,38,15,8,15,37,42,-5,53,37,11.7,91,7,48.1,78.0,16.2,6.54,11.7,14.1,8.3,14.3,1.6,3.6,8.3,10.8
Athletic Club,38,14,9,15,47,43,+4,51,47,14.4,80,5,51.5,80.1,14.2,6.59,10.3,16,8.2,13.5,2.5,4.5,9.2,11.1
Mallorca,38,14,8,16,37,43,-6,50,37,8.7,121,5,40.4,75.5,17.8,6.56,13.1,15.3,8.4,16.1,2,3,7.7,12
Girona,38,13,10,15,58,55,+3,49,58,12,88,3,50.9,83.4,11.4,6.55,13,14.5,7,11.6,2.3,4.5,9,13.3
Rayo Vallecano,38,13,10,15,45,53,-8,49,45,13.6,87,6,50.8,78.8,11.5,6.51,11.5,16.7,8.1,14.3,2.6,4.1,7.8,12.9
Sevilla,38,13,10,15,47,54,-7,49,47,12.3,112,13,52.7,83.0,13.1,6.53,13.4,15.4,8.9,12.5,2.8,3.9,7.1,12.1
Celta Vigo,38,11,10,17,43,53,-10,43,43,12.4,80,6,50.1,81.8,12.1,6.56,10.2,17.5,9.7,12.3,2.1,4.3,8.5,13
Cadiz,38,10,12,16,30,53,-23,42,30,10.4,107,7,41.3,74.1,16.1,6.49,14.5,16.4,7.1,14,2,3.1,6.5,12.7
Getafe,38,10,12,16,34,45,-11,42,34,9.8,116,9,39.2,70.6,19,6.49,12.8,14.2,8.4,15.8,2.1,3.3,5.7,11.5
Valencia,38,11,9,18,42,45,-3,42,42,12.8,86,8,51.8,80.6,13,6.54,10.5,17.8,7.6,13.3,2.1,3.9,9.3,13.4
Almeria,38,11,8,19,49,65,-16,41,49,11.6,94,4,44.9,78.3,12.8,6.50,14.3,14.7,8.5,11.7,2.2,4.2,7.8,10.6
Real Valladolid,38,11,7,20,33,63,-30,40,33,11.8,89,6,48.5,79.1,12.5,6.50,15.5,17.7,9.1,12.1,2.6,3.8,8.1,13.6
Espanyol,38,8,13,17,52,69,-17,37,52,11.1,91,10,42.6,76.5,17.1,6.53,14.3,17.2,8.9,12,1.6,4.1,6.8,13
Elche,38,5,10,23,30,67,-37,25,30,10.7,93,12,44.9,79.1,12.8,6.44,14.8,16.7,8.5,13.8,2.1,3.4,9,10.4
