Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
2,Robert Lewandowski,65,Barcelona,34, FW  ,33(1),2852,7,1.1,22.4,78.1,0.2,0.7,0.2,7.49,23,2,1,4.0,1.5,7,0.9,1.4,0.6,1.5,2.8,0.5,0.1,1.1,0.1,0.4,0.2,0.0,0
5,Pedri,65,Barcelona,20, AM(CL)  ,22(4),1983,1,1.7,54.1,87.6,0.3,4.3,0.4,7.2,6,2,0,0.8,0.1,4,1.4,1.7,0.2,1.2,1.2,1.5,0.5,0.3,0.0,0.3,1.2,0.0,0
7,Frenkie de Jong,65,Barcelona,26," D(C),DMC  ",29(4),2539,4,1.4,68.4,91.4,0.3,3.0,0.4,7.15,2,3,0,0.5,1.0,4,1.1,1.0,0.0,0.7,0.7,1.4,1.1,1.0,0.1,0.6,0.7,0.0,0
8,Ousmane Dembélé,65,Barcelona,26," AM(CLR),FW  ",16(9),1416,7,1.6,29.4,83.4,0.9,0.9,0.2,7.14,5,4,0,2.0,0.2,3,2.1,0.8,0.2,0.7,1.1,0.8,0.0,0.6,0.0,0.0,0.4,0.0,0
16,Raphinha,65,Barcelona,26," AM(LR),FW  ",25(11),2087,7,1.6,29.0,79.9,1.2,1.7,0.2,7.04,7,8,0,2.2,0.4,6,1.3,1.0,0.4,0.7,1.5,0.8,0.4,0.6,0.0,0.3,0.6,0.0,0
23,Sergio Busquets,65,Barcelona,34, DMC  ,28(2),2347,4,0.8,64.5,88.7,0.1,3.8,0.3,6.99,0,6,1,0.3,1.8,0,0.4,1.3,0.0,0.4,0.6,1.9,0.9,1.0,0.0,1.0,0.7,0.2,0
28,Jules Koundé,65,Barcelona,24, D(CR)  ,28(1),2429,3,0.6,63.9,88.8,0.2,2.1,0.1,6.97,1,2,0,0.5,1.5,1,0.5,0.4,0.1,0.6,0.8,1.3,0.7,0.8,0.5,1.9,0.3,0.3,1
38,Ronald Araújo,65,Barcelona,24, D(CR)  ,21(1),1802,2,0.3,56.9,89.1,0.0,3.2,0.0,6.91,0,6,1,0.8,2.1,0,0.5,0.8,0.0,0.3,0.4,1.2,0.5,0.7,1.0,1.8,0.1,0.3,1
42,Alejandro Balde,65,Barcelona,19, D(LR)  ,30(3),2477,6,0.7,42.7,91.1,0.7,1.1,0.0,6.9,1,4,0,0.6,0.6,1,1.5,0.9,0.2,0.7,1.2,1.3,0.4,0.8,0.3,0.4,0.5,0.1,0
48,Marc-André ter Stegen,65,Barcelona,31, GK  ,38,3349,0,0.1,32.3,82.4,0.0,6.9,0.0,6.86,0,0,0,0.0,0.2,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0
56,Gavi,65,Barcelona,18, AM(CL)  ,30(6),2543,4,1.1,32.1,87.5,0.2,0.9,0.1,6.84,2,10,0,0.8,1.1,0,0.8,2.0,0.3,0.9,1.6,1.3,0.5,2.1,0.1,0.6,0.9,0.1,0
60,Jordi Alba,65,Barcelona,34," D(L),M(L)  ",14(10),1423,3,1.6,51.1,86.6,1.0,2.1,0.1,6.82,2,4,1,0.5,0.3,1,0.2,0.2,0.4,0.3,0.3,1.0,0.5,0.5,0.2,0.6,0.7,0.2,0
61,Andreas Christensen,65,Barcelona,27," D(C),DMC  ",22(1),1767,1,0.3,65.0,94.0,0.0,2.8,0.0,6.82,1,2,0,0.4,1.8,0,0.0,0.3,0.0,0.0,0.4,0.9,0.9,0.8,0.8,2.0,0.3,0.5,1
139,Sergi Roberto,65,Barcelona,31," D(R),M(CR)  ",15(8),1309,1,0.4,36.2,92.8,0.3,1.1,0.0,6.65,4,3,0,0.8,0.3,0,0.2,0.5,0.1,0.1,0.4,1.0,0.5,0.8,0.1,0.6,0.5,0.3,0
156,Eric García,65,Barcelona,22, D(C)  ,15(9),1414,0,0.0,51.6,91.0,0.0,3.4,0.0,6.62,1,3,0,0.3,1.0,0,0.1,0.3,0.0,0.1,0.4,1.0,0.8,0.8,0.8,1.4,0.5,0.4,0
197,Ansu Fati,65,Barcelona,20," AM(L),FW  ",12(24),1382,3,0.4,16.4,84.8,0.1,0.3,0.0,6.55,7,3,0,1.7,0.2,0,0.6,0.4,0.3,0.8,1.0,0.4,0.1,0.5,0.0,0.1,0.4,0.0,0
211,Marcos Alonso,65,Barcelona,32," D(CL),M(L)  ",11(13),1163,0,0.3,40.2,90.9,0.3,2.1,0.0,6.53,1,3,0,0.3,1.1,0,0.1,0.3,0.0,0.0,0.3,0.6,0.5,0.4,0.7,1.3,0.1,0.4,0
234,Ferran Torres,65,Barcelona,23," AM(LR),FW  ",14(19),1385,2,0.8,15.3,81.2,0.5,0.5,0.0,6.48,4,5,1,1.2,0.3,1,0.9,0.8,0.2,0.7,1.5,0.4,0.1,0.5,0.1,0.1,0.5,0.1,0
315,Franck Kessié,65,Barcelona,26, M(C)  ,7(21),980,1,0.3,15.9,86.8,0.0,0.5,0.0,6.3,1,4,0,0.5,0.3,0,0.3,0.6,0.1,0.4,0.8,0.5,0.4,0.6,0.1,0.4,0.4,0.1,0
