Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
20,Jeremías Ledesma,1354,Cadiz,30, GK  ,34,3060,0,0.0,28.6,46.8,0.0,7.5,0.0,7.03,0,2,0,0.0,0.3,5,0.1,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1.5,0.1,0.0,0
74,Iza Carcelén,1354,Cadiz,30, D(R)  ,25(2),2204,1,0.6,27.5,80.9,0.8,1.5,0.0,6.79,0,4,3,0.3,0.8,0,0.5,1.0,0.1,0.7,0.7,2.6,0.7,0.6,0.4,2.5,0.8,0.4,0
95,Alfonso Espino,1354,Cadiz,31, D(L)  ,35(1),3123,4,1.0,31.8,67.2,0.7,1.9,0.1,6.72,0,7,0,0.6,0.9,2,0.7,1.0,0.1,0.6,1.4,2.4,1.3,1.4,0.3,2.4,1.3,0.3,0
124,Rubén Sobrino,1354,Cadiz,31," AM(CLR),FW  ",28(5),2471,2,0.7,18.0,73.2,0.1,0.2,0.0,6.68,3,11,0,1.0,1.8,1,0.9,1.6,0.2,1.3,1.7,1.7,0.7,1.5,0.0,0.5,1.0,0.1,0
167,Théo Bongonda,1354,Cadiz,27, AM(LR)  ,24(7),1951,3,0.6,13.2,76.1,0.3,0.4,0.0,6.59,4,2,0,1.4,0.5,1,1.3,1.2,0.2,0.8,1.8,0.9,0.2,0.5,0.0,0.3,0.7,0.1,0
228,Rubén Alcaraz,1354,Cadiz,32, DMC  ,22(9),2047,0,0.6,32.2,81.3,0.5,3.2,0.0,6.5,3,9,1,1.1,1.0,1,0.4,1.1,0.0,1.0,1.1,1.4,0.6,1.5,0.1,1.1,1.1,0.3,0
246,Luis Hernández,1354,Cadiz,34, D(CR)  ,35,3150,0,0.3,36.6,79.5,0.1,3.4,0.0,6.46,0,6,1,0.2,1.1,0,0.1,0.2,0.1,0.1,0.1,0.9,0.9,0.8,0.3,4.0,0.4,0.7,0
256,Fali,1354,Cadiz,29," D(C),DMC  ",22(3),1722,0,0.2,23.6,77.1,0.0,3.2,0.1,6.44,0,6,0,0.4,1.1,0,0.1,0.7,0.0,0.0,0.3,1.1,0.5,0.6,0.1,2.7,0.4,0.6,0
297,Álvaro Negredo,1354,Cadiz,37, FW  ,9(12),756,2,0.5,8.1,61.4,0.0,0.5,0.1,6.35,1,0,0,1.0,1.5,1,0.2,0.4,0.3,0.3,0.9,0.2,0.0,0.2,0.0,0.4,0.0,0.0,0
298,Álex Fernández,1354,Cadiz,30," M(CL),FW  ",17(11),1575,0,0.6,24.3,86.6,0.4,1.4,0.1,6.35,3,0,0,0.6,0.4,1,0.2,0.5,0.0,0.9,0.6,0.5,0.3,0.3,0.0,0.7,0.4,0.0,0
308,Anthony Lozano,1354,Cadiz,30," AM(L),FW  ",14(14),1441,1,0.4,10.1,68.7,0.1,0.1,0.0,6.32,1,6,0,1.1,2.1,0,0.6,1.3,0.3,1.3,2.2,0.2,0.1,1.5,0.1,0.6,0.2,0.0,0
314,Fede San Emeterio,1354,Cadiz,26, DMC  ,24(9),1856,1,0.2,19.6,79.8,0.0,1.0,0.0,6.31,0,14,0,0.2,0.7,0,0.1,0.7,0.0,0.2,0.3,1.2,0.5,1.8,0.0,0.8,0.7,0.4,0
329,Iván Alejo,1354,Cadiz,28, AM(R)  ,13(18),1304,1,0.7,8.7,66.9,0.9,0.2,0.0,6.22,0,11,1,0.7,0.8,0,0.4,1.4,0.1,0.7,1.2,1.0,0.2,1.2,0.0,0.3,0.6,0.1,0
335,José Mari,1354,Cadiz,35, DMC  ,4(16),387,0,0.3,10.1,83.6,0.0,1.4,0.0,6.2,0,4,0,0.3,0.3,0,0.2,0.4,0.0,0.4,0.3,0.8,0.3,0.3,0.0,0.4,0.3,0.1,0
