Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
27,Javi Galán,62,Celta Vigo,28," D(L),M(L)  ",36(1),3163,3,1.4,41.1,80.7,1.1,2.2,0.0,6.98,0,6,0,0.4,0.9,5,1.9,2.0,0.2,1.1,1.7,2.8,1.1,1.4,0.2,1.5,1.4,0.1,0
36,Iago Aspas,62,Celta Vigo,35," AM(CR),FW  ",31(6),2868,3,2.2,31.5,79.0,0.2,1.6,0.2,6.91,12,5,0,2.1,0.8,2,0.6,1.6,0.3,1.2,1.4,0.2,0.2,0.4,0.0,0.6,0.5,0.0,0
63,Gabri Veiga,62,Celta Vigo,21, AM(C)  ,28(8),2308,4,0.8,19.5,76.9,0.1,0.9,0.1,6.82,11,6,1,1.7,0.5,3,1.1,1.1,0.1,0.6,1.8,1.2,0.6,1.2,0.0,0.1,1.0,0.1,0
92,Unai Núñez,62,Celta Vigo,26, D(C)  ,35(1),3151,0,0.1,55.9,86.4,0.0,3.6,0.0,6.74,0,8,0,0.4,2.0,1,0.3,0.9,0.0,0.1,0.5,1.3,2.0,0.7,0.6,3.7,0.4,0.5,1
141,Joseph Aidoo,62,Celta Vigo,27, D(C)  ,35,3121,0,0.1,50.0,86.6,0.0,2.3,0.0,6.65,3,4,1,0.4,1.8,2,0.2,0.5,0.0,0.3,0.3,1.5,0.9,0.5,0.7,4.1,0.3,0.4,0
145,Hugo Mallo,62,Celta Vigo,32," D(CR),M(R)  ",26,2171,1,0.8,44.4,79.3,0.4,2.0,0.0,6.64,0,5,1,0.7,2.0,1,0.2,0.9,0.2,0.3,0.7,2.0,0.9,1.7,0.1,2.5,0.5,0.3,0
165,Carles Pérez,62,Celta Vigo,25," AM(CR),FW  ",23(12),2150,5,0.7,18.5,86.1,0.1,0.7,0.1,6.6,3,4,0,1.5,0.2,2,1.3,1.1,0.3,0.8,1.6,1.1,0.2,1.0,0.0,0.2,1.3,0.1,0
179,Franco Cervi,62,Celta Vigo,29, M(CL)  ,21(15),1898,4,0.8,19.8,77.6,0.7,0.5,0.0,6.57,0,2,1,0.6,0.3,0,0.6,1.2,0.1,0.4,0.8,2.1,1.0,0.8,0.0,0.4,0.9,0.0,0
219,Agustín Marchesín,62,Celta Vigo,35, GK  ,19,1710,0,0.0,29.3,67.4,0.0,6.6,0.0,6.52,0,3,0,0.0,0.2,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0
230,Fran Beltrán,62,Celta Vigo,24, DMC  ,33(3),2864,2,0.7,48.8,90.1,0.4,2.7,0.0,6.49,0,4,0,0.7,0.5,0,0.4,0.4,0.1,0.5,0.7,0.9,1.5,0.7,0.0,0.9,1.1,0.1,0
233,Óscar Rodríguez,62,Celta Vigo,24, AM(CLR)  ,19(14),1772,0,0.7,29.4,84.3,0.5,1.4,0.1,6.48,2,6,0,1.3,0.3,0,0.3,0.8,0.1,0.5,0.7,1.0,0.7,0.7,0.0,0.4,0.5,0.1,0
237,Jørgen Strand Larsen,62,Celta Vigo,23, FW  ,20(12),1713,4,0.4,10.4,69.4,0.0,0.3,0.0,6.48,4,4,0,1.3,1.3,1,0.4,1.3,0.4,0.8,2.3,0.5,0.1,1.1,0.0,0.8,0.7,0.2,0
249,Óscar Mingueza,62,Celta Vigo,24, D(CR)  ,13(8),1285,0,0.5,35.6,83.3,0.3,2.0,0.1,6.46,0,2,0,0.2,0.4,0,0.7,0.4,0.0,0.5,0.9,1.8,0.6,0.9,0.2,1.0,0.3,0.2,0
275,Iván Villar,62,Celta Vigo,25, GK  ,19,1710,0,0.1,26.1,64.1,0.0,4.9,0.0,6.42,0,0,0,0.0,0.1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0
286,Renato Tapia,62,Celta Vigo,27," D(C),DMC  ",16(12),1450,0,0.3,28.3,86.0,0.1,2.8,0.0,6.38,0,6,1,0.5,0.9,0,0.4,0.6,0.0,0.5,0.4,1.7,0.7,1.0,0.1,1.2,0.7,0.4,0
307,Luca de la Torre,62,Celta Vigo,25, M(CL)  ,16(12),1489,2,0.5,20.8,86.6,0.1,0.4,0.0,6.32,0,6,0,0.6,0.2,0,0.4,0.4,0.1,0.4,1.1,1.0,0.3,1.2,0.0,0.2,0.7,0.0,0
328,Gonçalo Paciência,62,Celta Vigo,28, FW  ,5(20),650,0,0.2,6.4,59.4,0.1,0.4,0.0,6.23,2,2,1,1.2,1.2,1,0.2,0.7,0.0,0.6,1.7,0.3,0.0,0.8,0.0,0.2,0.2,0.0,0
