Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
13,Enes Ünal,819,Getafe,26, FW  ,35,2986,3,0.8,20.7,60.9,0.1,0.2,0.1,7.07,14,6,0,2.5,4.6,5,0.6,2.2,0.8,1.4,2.5,0.7,0.2,1.7,0.1,1.0,0.5,0.1,0
55,David Soria,819,Getafe,30, GK  ,38,3420,0,0.1,27.1,49.7,0.0,11.1,0.0,6.84,0,3,0,0.0,0.1,6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0
89,Omar Alderete,819,Getafe,26, D(C)  ,23(2),2051,1,0.2,34.0,59.1,0.0,3.4,0.0,6.74,1,9,0,0.7,2.5,2,0.7,0.4,0.0,0.3,0.6,1.4,1.0,1.4,0.5,3.3,0.5,0.6,0
153,Luis Milla,819,Getafe,28, DMC  ,22(5),1862,3,1.1,33.1,82.1,0.9,2.5,0.0,6.63,0,4,1,0.3,0.6,0,0.4,0.8,0.0,0.4,0.7,1.8,1.2,1.1,0.0,0.9,0.9,0.0,0
190,Nemanja Maksimovic,819,Getafe,28, M(C)  ,26(3),2069,0,0.3,19.1,78.7,0.1,0.6,0.0,6.55,0,3,0,0.6,1.6,0,0.1,0.3,0.0,0.2,0.6,1.4,1.2,0.9,0.0,0.9,0.4,0.5,0
201,Damián Suárez,819,Getafe,35," D(R),M(R)  ",26(2),1961,1,0.9,24.2,67.0,0.7,1.7,0.0,6.54,1,7,0,0.2,0.5,0,0.5,0.6,0.1,0.2,0.8,1.8,0.5,1.5,0.3,1.1,0.8,0.0,0
209,Djené Dakonam,819,Getafe,31," D(C),DMC  ",33,2847,1,0.2,33.4,77.5,0.3,2.0,0.0,6.53,0,10,1,0.3,1.6,0,0.5,1.2,0.0,0.5,0.7,1.2,1.3,1.5,0.7,2.3,0.5,0.3,0
224,Juan Iglesias,819,Getafe,24," D(LR),M(R)  ",21(11),2144,0,0.4,18.9,61.4,0.6,1.1,0.0,6.51,1,8,0,0.7,0.5,0,0.4,0.7,0.1,0.3,0.9,1.9,0.7,1.4,0.2,2.2,1.0,0.2,0
226,Domingos Duarte,819,Getafe,28, D(C)  ,30(1),2658,2,0.1,30.9,77.1,0.0,2.7,0.0,6.5,0,9,1,0.5,1.5,1,0.2,0.7,0.1,0.1,0.2,0.8,1.3,1.0,0.6,4.5,0.2,0.7,1
227,Borja Mayoral,819,Getafe,26," AM(R),FW  ",33(2),2775,2,0.6,21.0,78.1,0.2,1.0,0.0,6.5,8,4,0,1.5,1.0,2,0.8,1.1,0.3,1.5,1.8,0.3,0.1,0.5,0.0,0.2,0.7,0.0,0
229,Gastón Álvarez,819,Getafe,23, D(L)  ,16(6),1504,0,0.2,18.8,62.6,0.2,0.6,0.0,6.5,2,8,1,0.2,1.4,0,0.4,0.5,0.0,0.1,0.6,1.7,0.7,1.2,0.2,1.5,0.9,0.2,0
239,Stefan Mitrovic,819,Getafe,33, D(C)  ,18(4),1678,0,0.0,23.2,79.0,0.0,1.9,0.0,6.48,0,4,0,0.0,1.7,0,0.0,0.1,0.0,0.0,0.1,0.6,0.8,0.6,0.7,4.0,0.2,0.5,0
264,Munir El Haddadi,819,Getafe,27," AM(CLR),FW  ",10(18),1149,1,0.5,12.4,69.4,0.8,0.1,0.0,6.43,3,4,0,1.1,1.0,0,0.4,1.2,0.5,0.9,1.6,0.4,0.3,0.5,0.0,0.1,0.3,0.1,0
310,Portu,819,Getafe,31," M(CLR),FW  ",17(17),1762,3,0.8,15.4,71.7,0.6,0.4,0.0,6.32,0,5,1,0.4,0.6,0,0.4,0.7,0.3,0.2,0.9,0.8,0.5,0.7,0.0,0.4,0.7,0.1,0
322,Carles Aleñá,819,Getafe,25, AM(CLR)  ,26(9),2127,2,0.4,21.7,78.6,0.3,1.4,0.0,6.25,2,10,1,0.9,0.4,1,0.7,1.4,0.1,0.7,1.3,0.5,0.1,1.7,0.0,0.4,0.8,0.0,0
325,Jaime Mata,819,Getafe,34," AM(L),FW  ",6(13),436,1,0.3,5.8,57.7,0.2,0.1,0.0,6.24,1,5,0,0.7,0.5,1,0.1,0.4,0.2,0.4,0.8,0.7,0.2,0.9,0.0,0.3,0.8,0.1,0
331,Ángel Algobia,819,Getafe,24, M(C)  ,11(15),1130,0,0.2,19.5,81.7,0.2,1.2,0.0,6.21,0,3,0,0.3,0.3,0,0.2,0.4,0.0,0.3,0.5,1.0,0.1,1.2,0.0,0.3,1.0,0.2,0
