Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
18,Aleix García,2783,Girona,25, DMC  ,26(4),2341,5,2.1,48.4,88.9,2.2,3.3,0.1,7.04,1,1,0,1.1,0.4,2,0.4,1.0,0.0,0.4,0.6,1.2,1.0,0.5,0.0,0.9,0.6,0.3,0
37,Viktor Tsygankov,2783,Girona,25, AM(CLR)  ,17(2),1494,6,1.9,29.4,72.9,1.1,0.9,0.0,6.91,3,0,0,1.0,0.4,1,0.9,1.1,0.1,0.8,0.8,0.4,0.4,0.4,0.0,0.5,0.7,0.1,0
82,David López,2783,Girona,33," D(C),DMC  ",19(1),1658,1,0.4,59.9,90.1,0.0,3.0,0.0,6.75,3,5,0,0.6,1.5,2,0.3,0.8,0.2,0.1,0.4,1.6,0.7,0.8,0.4,3.2,0.4,1.0,0
90,Arnau Martínez,2783,Girona,20, D(R)  ,32(1),2737,4,1.2,38.1,82.4,0.6,1.4,0.1,6.74,3,11,0,0.6,1.1,2,0.7,2.0,0.2,0.5,1.1,2.1,0.8,1.1,0.3,1.4,1.4,0.3,0
108,Valentín Castellanos,2783,Girona,24," AM(R),FW  ",33(2),2618,0,0.4,10.9,63.4,0.0,0.2,0.1,6.71,13,11,0,2.5,1.5,1,0.4,1.3,0.9,0.6,1.3,0.3,0.2,1.2,0.0,0.7,0.5,0.1,0
111,Oriol Romeu,2783,Girona,31, DMC  ,33,2952,0,0.6,48.6,87.3,0.1,2.6,0.0,6.71,2,8,1,0.7,1.2,0,0.6,1.0,0.0,0.8,0.8,2.1,1.1,1.8,0.1,1.5,0.8,0.3,0
117,Paulo Gazzaniga,2783,Girona,31, GK  ,28,2520,0,0.0,33.0,69.9,0.0,6.3,0.0,6.69,0,4,0,0.0,0.2,3,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0
152,Rodrigo Riquelme,2783,Girona,23, AM(CL)  ,25(9),2188,4,1.0,18.4,75.9,0.5,0.5,0.0,6.63,4,1,0,1.6,0.3,2,1.7,1.1,0.1,0.9,1.8,0.6,0.3,0.8,0.0,0.1,0.8,0.0,0
174,Santiago Bueno,2783,Girona,24, D(C)  ,34,3012,1,0.3,52.9,86.6,0.1,3.3,0.0,6.58,0,5,1,0.4,2.2,0,0.1,1.0,0.1,0.0,0.2,1.9,0.9,1.1,0.4,3.0,0.4,0.6,0
186,Miguel Gutiérrez,2783,Girona,21, D(L)  ,27(7),2400,3,0.6,31.3,85.8,0.7,0.9,0.0,6.57,2,6,0,0.5,0.3,0,1.0,0.7,0.1,0.7,1.1,1.2,0.5,0.7,0.1,1.0,0.4,0.1,0
196,Iván Martín,2783,Girona,24, M(C)  ,18(6),1592,3,0.7,26.9,85.1,0.3,0.5,0.0,6.55,3,2,0,0.8,0.5,0,1.1,0.5,0.1,1.5,1.3,0.4,0.4,0.8,0.0,0.5,0.6,0.0,0
217,Yan Couto,2783,Girona,21," D(R),M(R)  ",12(13),1154,2,0.8,18.7,78.8,0.6,0.7,0.0,6.52,1,3,0,0.3,0.0,0,1.1,0.6,0.1,0.5,1.0,1.0,0.2,0.5,0.1,0.4,0.3,0.1,0
241,Toni Villa,2783,Girona,28, AM(CLR)  ,12(12),896,3,0.6,12.4,81.9,0.3,0.2,0.0,6.47,1,2,0,0.7,0.1,2,1.0,0.8,0.3,0.9,0.8,1.0,0.3,0.5,0.0,0.0,0.5,0.0,0
252,Yangel Herrera,2783,Girona,25, M(C)  ,12(8),966,2,0.6,19.8,82.8,0.2,0.7,0.1,6.45,2,4,0,1.2,0.9,0,0.6,1.1,0.1,1.1,1.3,1.3,0.2,1.7,0.0,0.6,0.5,0.1,0
253,Javi Hernández,2783,Girona,25, D(L)  ,13(12),1117,2,0.3,26.0,82.1,0.2,0.8,0.0,6.45,1,3,0,0.6,0.4,0,0.4,0.8,0.0,0.3,0.3,0.8,0.3,0.4,0.2,1.4,0.3,0.2,0
285,Bernardo Espinosa,2783,Girona,33, D(C)  ,14(6),1226,1,0.1,45.5,89.1,0.0,1.4,0.0,6.39,1,5,0,0.6,2.7,1,0.2,0.5,0.0,0.2,0.2,0.3,0.6,0.6,0.4,3.5,0.3,0.5,0
296,Juanpe,2783,Girona,32, D(C)  ,17(2),1429,0,0.2,45.9,86.1,0.0,2.6,0.0,6.35,1,3,0,0.3,0.9,0,0.1,0.1,0.0,0.1,0.0,1.0,0.5,0.6,0.5,3.1,0.3,0.5,0
301,Reinier,2783,Girona,21, AM(C)  ,6(13),640,1,0.4,12.8,80.7,0.0,0.0,0.1,6.34,2,1,1,0.5,0.3,0,0.5,0.8,0.1,1.0,1.0,0.6,0.3,0.2,0.0,0.2,0.3,0.0,0
303,Cristhian Stuani,2783,Girona,36," AM(CLR),FW  ",8(24),1078,0,0.3,5.1,74.4,0.0,0.1,0.0,6.33,9,8,0,1.1,0.7,0,0.0,0.7,0.2,0.2,0.7,0.4,0.1,1.2,0.0,0.2,0.3,0.0,0
311,Valery Fernández,2783,Girona,23," D(R),M(L)  ",7(18),959,2,0.7,12.2,86.6,0.2,0.3,0.0,6.31,0,1,0,0.3,0.4,0,0.5,0.6,0.2,0.4,0.7,0.5,0.4,0.2,0.1,0.2,0.2,0.0,0
