Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
35,Loïc Badé,67,Sevilla,23, D(C)  ,16(3),1448,0,0.1,44.1,87.5,0.0,1.9,0.0,6.92,1,4,0,0.2,1.8,3,0.3,0.2,0.0,0.1,0.3,1.4,1.2,0.7,0.5,3.9,0.7,0.7,0
78,Marcos Acuña,67,Sevilla,31," D(CL),M(CL)  ",21(9),1917,2,1.3,32.8,80.6,1.4,2.4,0.0,6.78,3,9,3,0.7,1.0,1,0.9,1.1,0.0,0.7,1.0,1.9,0.8,1.1,0.2,1.1,0.4,0.2,0
106,Lucas Ocampos,67,Sevilla,28," M(CLR),FW  ",11(8),1163,0,0.7,21.1,77.1,0.4,0.3,0.0,6.71,4,7,0,1.6,1.6,2,1.3,1.3,0.3,0.9,2.1,1.2,0.4,0.8,0.1,0.3,1.2,0.1,0
127,Nemanja Gudelj,67,Sevilla,31," D(C),M(C)  ",31(3),2779,1,0.1,46.7,90.5,0.1,1.3,0.0,6.67,3,8,0,1.1,1.4,2,0.1,0.6,0.0,0.1,0.4,1.3,1.0,0.8,0.2,2.9,0.4,0.9,0
129,Suso,67,Sevilla,29," AM(CLR),FW  ",10(15),1063,4,1.1,19.1,87.4,0.6,1.6,0.1,6.67,2,1,0,1.0,0.1,1,1.0,0.8,0.3,0.8,0.7,0.6,0.1,0.5,0.0,0.1,0.5,0.0,0
180,Fernando,67,Sevilla,35," D(C),DMC  ",19(3),1581,1,0.4,39.2,88.7,0.0,2.4,0.0,6.57,0,3,1,0.3,0.9,0,0.1,0.4,0.0,0.5,0.6,1.5,1.1,0.8,0.3,1.2,0.5,0.5,1
191,Youssef En-Nesyri,67,Sevilla,26, FW  ,17(14),1660,1,0.3,7.5,65.7,0.0,0.1,0.0,6.55,8,4,0,1.9,1.9,0,0.1,0.4,0.7,0.3,1.5,0.5,0.1,0.3,0.0,0.5,0.3,0.1,0
194,Óliver Torres,67,Sevilla,28, M(CLR)  ,27(5),2149,1,1.2,31.9,81.6,0.5,2.3,0.0,6.55,3,2,0,0.7,0.2,2,0.5,1.4,0.2,1.5,1.1,1.2,0.3,0.9,0.0,0.2,1.3,0.2,0
205,Ivan Rakitic,67,Sevilla,35, M(CL)  ,21(10),1791,3,0.9,37.2,83.6,0.8,2.5,0.0,6.54,1,3,1,1.0,0.6,1,0.1,0.9,0.1,0.4,0.8,1.2,0.9,0.5,0.0,0.6,0.7,0.0,0
207,Erik Lamela,67,Sevilla,31," AM(CLR),FW  ",20(12),1847,0,0.8,22.6,79.8,0.2,0.4,0.0,6.53,6,8,1,1.5,0.5,0,1.0,0.7,0.3,1.6,1.7,1.4,0.2,1.8,0.0,0.1,0.7,0.1,0
218,Alex Telles,67,Sevilla,30," D(CL),M(L)  ",15(12),1428,2,0.7,20.2,81.1,0.9,0.9,0.0,6.52,0,6,0,0.4,1.0,0,0.5,0.5,0.0,0.0,0.4,0.8,0.7,0.9,0.3,1.3,0.4,0.2,0
250,Jesús Navas,67,Sevilla,37," D(R),M(R)  ",21(11),1980,0,0.8,31.7,81.2,0.7,2.1,0.0,6.46,0,5,0,0.3,0.5,0,0.3,1.0,0.2,0.3,0.5,0.6,0.7,0.2,0.1,1.3,0.3,0.2,1
268,Papu Gómez,67,Sevilla,35," M(CLR),FW  ",11(8),1063,1,0.7,25.3,88.6,0.6,1.4,0.1,6.42,1,4,0,1.2,0.2,0,0.8,1.2,0.2,0.7,1.1,0.3,0.2,0.3,0.1,0.3,0.4,0.1,0
272,Yassine Bounou,67,Sevilla,32, GK  ,26,2154,0,0.0,32.9,73.3,0.0,6.2,0.0,6.42,0,2,0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.0,0.0,0.7,0.1,0.0,0
283,Rafa Mir,67,Sevilla,26, FW  ,16(10),1300,0,0.3,9.8,69.3,0.0,0.1,0.0,6.39,6,1,0,1.9,1.4,1,0.0,0.4,0.7,0.5,0.9,0.3,0.2,0.9,0.1,0.4,0.1,0.0,0
287,Tanguy Nianzou,67,Sevilla,21, D(C)  ,16(3),1370,0,0.1,40.4,88.0,0.0,1.4,0.0,6.38,1,1,1,0.3,1.7,0,0.5,0.7,0.0,0.2,0.2,1.1,0.8,0.7,0.4,2.1,0.2,0.3,0
292,Gonzalo Montiel,67,Sevilla,26," D(CR),M(R)  ",17(11),1522,3,0.7,24.2,80.8,0.3,0.8,0.1,6.35,0,8,1,0.3,0.5,0,0.4,0.4,0.4,0.3,0.8,0.9,0.7,0.7,0.1,1.2,0.5,0.3,0
294,Joan Jordán,67,Sevilla,28, M(C)  ,19(4),1595,1,0.3,47.1,88.5,0.0,3.7,0.0,6.35,0,8,0,0.6,0.5,0,0.2,0.5,0.0,0.2,0.7,1.4,0.7,1.5,0.0,0.6,1.0,0.3,0
