,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Lionel Messi,304,Paris Saint-Germain,36,AM,32,2842,16,2.9,60.3,83.1,1.1,2.7,1.2,8.28,16,0,0,4.0,0.0,14,3.2,1.1,0.2,2.4,1.6,0.8,0.1,0.3,0.0,0.0,0.5,0.0,0
1,Kylian Mbappé,304,Paris Saint-Germain,24,AM,34,2822,5,1.6,37.9,82.9,0.4,0.6,0.2,7.8,29,6,0,4.4,0.2,7,2.2,1.2,1.0,1.2,1.9,0.3,0.1,0.6,0.0,0.1,0.3,0.0,0
2,Neymar,304,Paris Saint-Germain,31,AM,20,1553,11,2.5,59.4,82.7,0.9,2.2,0.5,7.71,13,4,1,1.9,0.1,3,1.9,3.3,0.3,1.9,2.5,1.1,0.2,1.3,0.0,0.1,0.5,0.1,0
7,Jonathan David,607,Lille,23,AM,37,3179,4,1.4,23.2,82.7,0.1,0.4,0.1,7.18,24,6,0,2.9,0.4,5,0.8,1.6,0.6,1.4,2.4,0.6,0.2,1.1,0.0,0.3,0.5,0.1,0
12,Amine Gouiri,313,Rennes,23,AM,33,2532,3,1.1,22.1,79.8,0.2,0.5,0.1,7.12,15,3,0,2.2,0.9,1,1.0,0.5,0.2,1.1,2.2,1.3,0.4,1.2,0.0,0.3,0.6,0.0,0
13,Gaëtan Laborde,613,Nice,29,AM,33,2514,3,1.3,19.3,71.0,0.5,0.3,0.1,7.12,13,0,0,2.3,1.5,4,0.8,0.8,0.2,0.9,2.1,1.4,0.3,0.8,0.0,0.4,0.7,0.1,0
17,Edon Zhegrova,607,Lille,24,AM,22,1056,4,1.4,23.1,82.5,1.1,0.6,0.1,7.08,3,1,0,1.9,0.0,2,2.4,0.7,0.1,0.8,1.5,0.8,0.1,0.5,0.0,0.0,0.4,0.0,0
19,Jérémy Doku,313,Rennes,21,AM,29,1287,2,1.0,17.0,86.4,0.2,0.2,0.0,7.08,6,0,0,0.9,0.1,4,3.3,1.2,0.0,0.8,1.5,0.9,0.2,0.6,0.0,0.1,0.4,0.0,0
22,Wissam Ben Yedder,248,Monaco,32,AM,32,2130,6,0.8,18.2,76.5,0.1,0.3,0.0,7.07,19,4,0,2.3,0.5,4,0.7,0.7,0.7,1.0,1.1,0.5,0.1,0.6,0.0,0.0,0.3,0.0,0
27,Habib Diallo,148,Strasbourg,28,AM,37,2880,1,0.7,15.8,67.7,0.0,0.3,0.1,7.04,20,2,1,2.5,3.6,5,0.8,1.7,0.5,0.9,3.2,0.5,0.3,1.0,0.0,0.7,0.3,0.1,0
33,Rayan Cherki,228,Lyon,19,AM,34,1874,6,2.0,28.8,81.0,0.9,1.5,0.2,6.99,4,3,0,1.8,0.1,3,2.3,0.9,0.1,1.4,1.9,0.4,0.1,0.5,0.0,0.0,0.4,0.0,0
37,Nicolas Pépé,613,Nice,28,AM,19,1529,0,1.5,33.6,83.1,0.9,0.7,0.1,6.96,6,2,0,2.6,0.4,1,1.8,1.8,0.3,2.7,2.4,1.3,0.2,0.7,0.0,0.1,0.7,0.0,0
46,Bradley Barcola,228,Lyon,20,AM,26,1438,8,1.0,16.9,72.4,0.2,0.2,0.0,6.94,5,3,0,1.0,0.6,3,1.5,0.3,0.3,0.3,1.4,1.0,0.7,0.9,0.0,0.3,1.2,0.0,0
52,Karl Toko Ekambi,228,Lyon,30,AM,19,1357,2,1.4,30.4,82.3,0.3,1.4,0.1,6.91,4,1,0,2.2,0.8,2,1.4,0.5,0.1,1.3,2.0,0.5,0.5,0.4,0.0,0.3,0.6,0.1,0
53,Jonathan Bamba,607,Lille,27,AM,34,2790,7,1.4,37.7,83.8,0.4,0.9,0.1,6.91,6,6,0,2.1,0.6,2,1.0,1.7,0.4,1.8,1.9,1.1,0.6,1.0,0.0,0.4,0.9,0.0,0
60,Junya Ito,950,Reims,30,AM,35,2930,5,1.9,25.8,71.3,1.4,0.5,0.1,6.89,6,3,1,1.2,0.8,3,1.8,1.2,0.9,1.3,2.5,1.1,0.2,0.6,0.0,0.1,1.1,0.0,0
61,Romain Del Castillo,2332,Brest,27,AM,27,1429,6,1.3,20.3,72.3,1.2,0.9,0.1,6.88,6,2,0,1.3,0.7,2,1.0,0.9,0.0,1.1,1.7,1.4,0.4,0.7,0.0,0.2,0.7,0.0,0
65,Elye Wahi,311,Montpellier,20,AM,33,2530,5,0.7,12.6,70.7,0.1,0.2,0.0,6.87,19,8,1,1.9,0.6,2,0.9,1.2,0.8,1.4,2.6,0.3,0.1,1.0,0.0,0.1,0.3,0.1,0
66,Rony Lopes,229,Troyes,27,AM,32,2360,5,1.6,23.5,75.2,1.1,1.3,0.1,6.87,7,2,0,1.8,0.6,2,1.4,1.0,0.0,1.2,1.4,0.8,0.3,0.6,0.0,0.3,0.8,0.1,0
72,Rafael Ratão,246,Toulouse,27,AM,30,1871,4,1.0,24.2,77.7,0.3,0.8,0.1,6.84,5,2,0,1.0,0.3,1,1.3,1.1,0.1,1.0,1.9,1.7,0.7,0.9,0.0,0.2,1.5,0.0,0
75,Breel Embolo,248,Monaco,26,AM,32,1856,2,0.9,13.6,70.1,0.0,0.3,0.0,6.83,12,3,0,1.3,1.1,1,1.0,1.8,0.4,1.4,2.1,0.5,0.2,1.6,0.1,0.4,0.2,0.1,0
91,Adam Ounas,607,Lille,26,AM,21,1065,1,1.2,23.0,79.7,0.6,1.3,0.1,6.8,1,2,0,1.2,0.2,1,1.8,1.4,0.1,1.2,1.2,1.0,0.3,0.7,0.0,0.1,0.2,0.0,0
102,Himad Abdelli,614,Angers,23,AM,30,2141,2,1.2,40.1,85.1,0.4,2.1,0.1,6.78,2,3,0,0.8,0.6,3,1.4,1.0,0.0,0.7,1.2,2.1,0.9,1.4,0.0,0.4,1.2,0.0,0
105,Arnaud Nordin,311,Montpellier,25,AM,36,2419,3,0.6,16.6,78.0,0.2,0.5,0.1,6.76,9,4,0,1.6,0.6,1,1.1,2.3,0.1,1.2,1.7,0.7,0.4,0.6,0.0,0.2,0.4,0.0,0
116,Saîf-Eddine Khaoui,941,Clermont Foot,28,AM,34,2036,3,1.1,19.1,73.1,0.3,0.7,0.0,6.74,7,4,0,1.4,0.4,2,0.7,1.1,0.2,0.7,1.3,1.4,1.0,0.7,0.0,0.2,0.9,0.1,0
117,Jérémy Le Douaron,2332,Brest,25,AM,32,2080,3,0.5,11.0,73.0,0.2,0.1,0.0,6.73,10,1,0,1.7,1.9,2,0.7,1.1,0.3,1.1,2.3,0.5,0.3,1.0,0.0,0.8,0.8,0.1,0
121,Sofiane Diop,613,Nice,23,AM,22,1231,4,1.0,29.6,82.5,0.5,1.2,0.0,6.73,1,1,0,1.3,0.5,1,1.0,1.2,0.1,1.0,1.8,1.0,0.7,0.4,0.0,0.1,0.6,0.1,0
125,Badredine Bouanani,613,Nice,18,AM,19,861,4,1.2,17.1,83.3,0.6,0.9,0.1,6.72,0,0,0,1.3,0.1,0,1.4,1.1,0.1,0.7,1.2,0.7,0.1,0.5,0.0,0.0,0.4,0.0,0
126,Lovro Majer,313,Rennes,25,AM,32,1670,5,1.1,28.0,82.1,0.5,1.1,0.1,6.72,2,3,0,1.1,0.2,1,0.9,0.9,0.1,1.0,1.4,1.1,0.7,1.5,0.0,0.1,0.7,0.0,0
130,Désiré Doué,313,Rennes,18,AM,26,1116,1,0.6,16.2,81.2,0.3,0.9,0.0,6.71,3,5,0,0.8,0.4,1,1.8,1.1,0.2,1.2,1.3,1.4,0.5,1.4,0.0,0.1,0.7,0.0,0
136,Zakaria Aboukhlal,246,Toulouse,23,AM,37,2480,5,0.6,19.5,76.7,0.1,0.2,0.0,6.7,10,4,0,2.2,0.3,3,1.1,1.2,0.5,1.0,2.2,0.9,0.6,1.1,0.0,0.5,0.8,0.0,0
137,Farès Chaïbi,246,Toulouse,20,AM,36,2345,5,0.8,26.1,76.5,0.3,1.2,0.1,6.7,5,2,0,1.8,0.9,0,0.3,0.6,0.2,0.7,1.5,0.9,0.5,0.9,0.0,0.8,0.9,0.1,0
142,Nuno da Costa,308,Auxerre,32,AM,33,2017,4,0.8,11.1,69.9,0.2,0.6,0.1,6.69,5,3,1,1.2,1.4,3,1.4,1.7,0.2,1.2,2.8,1.4,0.6,1.1,0.0,0.4,1.1,0.0,0
163,Hamza Sakhi,308,Auxerre,27,AM,27,1660,2,1.4,31.5,86.4,0.8,3.7,0.1,6.63,1,1,0,1.1,0.2,2,0.6,0.8,0.2,0.5,0.7,1.6,0.9,0.5,0.0,0.3,0.7,0.0,0
182,Habib Diarra,148,Strasbourg,19,AM,29,1628,2,0.8,20.4,80.6,0.4,0.6,0.1,6.59,3,4,0,0.8,0.4,1,0.9,0.8,0.0,0.7,1.3,0.8,0.4,0.8,0.0,0.4,0.5,0.0,0
188,Elbasan Rashani,941,Clermont Foot,30,AM,32,2173,3,0.6,20.3,80.3,0.2,0.3,0.0,6.57,3,3,0,1.1,0.5,1,0.7,0.9,0.1,0.8,1.5,1.2,0.7,1.1,0.0,0.5,0.8,0.1,0
190,Ignatius Ganago,302,Nantes,24,AM,28,1520,3,0.4,11.6,64.8,0.0,0.3,0.0,6.56,5,0,0,1.2,2.2,0,0.4,1.1,0.3,0.7,1.4,0.3,0.1,0.5,0.0,0.4,0.1,0.0,0
192,Alexis Claude-Maurice,309,Lens,25,AM,20,597,3,0.4,11.6,86.2,0.1,0.2,0.0,6.56,5,0,0,0.7,0.2,1,0.6,0.8,0.0,0.7,0.9,0.7,0.1,0.4,0.0,0.1,0.5,0.0,0
194,Muhammed Cham,941,Clermont Foot,22,AM,38,1976,4,0.8,25.0,83.1,0.5,1.0,0.1,6.55,7,2,0,1.4,0.2,1,0.8,1.1,0.0,1.5,1.0,0.8,0.2,0.4,0.0,0.1,0.6,0.0,0
201,Stephy Mavididi,311,Montpellier,25,AM,26,1285,2,0.5,11.5,75.3,0.1,0.3,0.0,6.54,4,1,1,1.4,0.4,0,1.2,0.7,0.1,1.2,1.5,0.9,0.2,0.8,0.0,0.4,0.5,0.0,0
202,David Pereira da Costa,309,Lens,22,AM,31,1410,3,0.9,22.6,86.0,0.2,0.5,0.1,6.53,1,2,0,0.8,0.1,0,0.9,0.5,0.0,0.9,1.0,0.4,0.4,0.5,0.0,0.1,0.4,0.0,0
209,Florent Mollet,302,Nantes,31,AM,19,1090,2,1.2,25.3,87.3,1.1,0.9,0.0,6.52,1,3,0,1.2,0.5,0,0.5,1.1,0.2,0.7,1.0,0.7,0.5,0.9,0.0,0.5,0.9,0.1,0
213,Kamory Doumbia,950,Reims,20,AM,26,1158,2,0.7,20.0,81.9,0.0,0.7,0.1,6.5,2,0,0,1.0,0.3,0,0.7,0.3,0.0,0.8,1.3,1.2,0.5,0.6,0.0,0.1,1.0,0.0,0
