,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
21,Steve Mounié,2332,Brest,28,FW,23,1662,0,0.6,19.3,56.2,0.0,0.1,0.0,7.07,6,2,0,2.6,6.6,2,0.4,1.1,0.4,1.2,2.3,0.6,0.1,1.6,0.0,0.9,0.4,0.3,0
34,Loïs Openda,309,Lens,23,FW,38,2529,4,0.6,10.6,71.2,0.1,0.2,0.1,6.99,21,2,0,2.7,0.3,6,0.5,1.2,0.6,0.6,1.6,0.3,0.1,1.1,0.0,0.2,0.3,0.0,0
56,Folarin Balogun,950,Reims,21,FW,37,3013,2,1.0,14.8,72.5,0.2,0.3,0.0,6.9,21,5,0,3.5,0.4,4,0.9,1.5,0.8,2.0,2.5,0.2,0.1,1.0,0.0,0.4,0.5,0.0,0
153,Grejohn Kyei,941,Clermont Foot,27,FW,37,2244,3,0.4,13.9,72.4,0.1,0.5,0.0,6.65,10,3,0,1.6,1.3,5,1.1,1.1,0.4,1.3,2.6,0.4,0.2,1.6,0.0,0.6,0.2,0.1,0
154,Thijs Dallinga,246,Toulouse,22,FW,36,2363,1,0.6,13.9,65.0,0.0,0.3,0.0,6.65,12,4,0,1.7,1.6,1,0.3,0.5,0.6,0.5,1.1,0.2,0.1,1.0,0.0,0.6,0.3,0.1,0
157,Mostafa Mohamed,302,Nantes,25,FW,36,1936,2,0.4,9.4,62.6,0.0,0.2,0.0,6.64,8,1,0,1.6,2.1,1,0.6,0.8,0.4,0.6,1.5,0.5,0.3,1.2,0.0,0.9,0.3,0.0,0
159,Eliesse Ben Seghir,248,Monaco,18,FW,19,1060,1,0.7,22.5,79.6,0.0,0.5,0.1,6.64,4,1,0,1.1,0.5,1,0.7,1.8,0.2,1.2,2.1,0.9,0.2,0.9,0.0,0.0,0.4,0.1,0
166,Arnaud Kalimuendo,313,Rennes,21,FW,30,1862,3,0.4,14.1,84.4,0.0,0.1,0.0,6.62,7,0,0,1.4,0.4,1,0.8,0.8,0.2,1.2,1.9,0.5,0.1,0.5,0.0,0.3,0.5,0.1,0
179,Kevin Gameiro,148,Strasbourg,36,FW,34,2103,0,0.7,21.3,80.4,0.2,0.2,0.1,6.6,10,0,1,1.4,0.4,1,0.6,0.4,0.1,0.8,1.4,0.6,0.3,0.4,0.0,0.0,0.6,0.0,0
185,Hugo Ekitike,304,Paris Saint-Germain,21,FW,25,1155,4,0.4,13.1,82.6,0.0,0.2,0.0,6.59,3,0,0,1.4,0.3,0,0.6,0.5,0.3,0.7,1.1,0.5,0.4,0.6,0.0,0.1,0.3,0.0,0
191,Mounaïm El Idrissy,610,AC Ajaccio,24,FW,32,2509,0,0.4,18.6,69.0,0.0,0.3,0.0,6.56,6,10,0,1.6,3.7,2,0.3,2.5,0.7,1.1,2.8,1.0,0.4,2.5,0.0,0.6,0.8,0.0,0
228,Ibrahima Koné,146,Lorient,24,FW,37,1569,1,0.4,9.6,66.9,0.0,0.1,0.0,6.46,7,3,0,0.8,1.5,0,0.4,0.6,0.4,0.7,1.8,0.6,0.1,0.8,0.0,0.5,0.2,0.0,0
268,Amine Salama,614,Angers,22,FW,25,1245,1,0.4,12.3,75.9,0.1,0.1,0.0,6.35,3,1,0,1.0,0.3,0,0.9,0.4,0.2,0.8,1.9,0.4,0.4,0.3,0.0,0.1,0.4,0.1,0
273,Komnen Andric,941,Clermont Foot,27,FW,34,1442,3,0.4,12.5,75.3,0.0,0.5,0.0,6.34,4,4,0,0.9,1.3,0,0.2,1.2,0.2,0.9,1.4,0.4,0.2,0.5,0.0,0.4,0.4,0.0,0
282,Moussa Dembélé,228,Lyon,26,FW,23,866,0,0.2,8.2,72.9,0.0,0.1,0.0,6.32,3,1,0,1.2,1.3,0,0.2,0.1,0.3,0.7,1.4,0.3,0.1,0.7,0.0,0.3,0.1,0.0,0
291,Mohamed Bayo,607,Lille,25,FW,27,640,1,0.4,4.7,63.8,0.0,0.1,0.0,6.29,4,1,0,0.8,0.5,0,0.4,0.1,0.2,0.5,0.8,0.1,0.0,0.5,0.0,0.0,0.4,0.0,0
304,Matthis Abline,308,Auxerre,20,FW,19,803,1,0.3,5.2,69.4,0.1,0.1,0.0,6.23,2,1,0,1.4,0.6,0,0.6,0.5,0.3,0.9,2.3,0.2,0.1,0.7,0.0,0.1,0.3,0.1,0
305,Lebo Mothiba,148,Strasbourg,27,FW,19,428,0,0.1,4.9,79.6,0.0,0.0,0.0,6.22,3,0,0,0.5,0.5,0,0.2,0.6,0.0,0.4,0.8,0.1,0.0,0.6,0.0,0.2,0.1,0.1,0
306,Ado Onaiwu,246,Toulouse,27,FW,34,1073,1,0.2,9.6,76.2,0.0,0.1,0.1,6.22,2,0,0,0.6,1.1,0,0.2,0.4,0.1,0.8,0.7,0.3,0.1,0.4,0.0,0.1,0.2,0.0,0
308,Iké Ugbo,229,Troyes,24,FW,25,889,1,0.1,5.4,70.6,0.0,0.0,0.0,6.2,2,0,0,0.6,0.4,0,0.2,0.4,0.2,0.3,0.7,0.2,0.1,0.5,0.0,0.2,0.3,0.1,0
