,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
191,Mounaïm El Idrissy,610,AC Ajaccio,24, FW  ,30(2),2509,0,0.4,18.6,69.0,0.0,0.3,0.0,6.56,6,10,0,1.6,3.7,2,0.3,2.5,0.7,1.1,2.8,1.0,0.4,2.5,0.0,0.6,0.8,0.0,0
205,Mohamed Youssouf,610,AC Ajaccio,35, D(R)  ,27(3),2457,0,0.5,30.6,73.5,0.6,1.6,0.0,6.53,0,5,1,0.2,1.6,1,0.4,1.2,0.0,0.5,1.0,2.4,2.2,1.3,0.4,2.1,0.8,0.3,1
220,Mickaël Barreto,610,AC Ajaccio,32, M(C)  ,15(5),1328,1,0.9,30.1,74.6,1.1,2.6,0.0,6.49,1,1,0,1.0,0.5,0,1.2,0.4,0.0,1.0,1.7,1.6,0.9,1.0,0.0,0.5,1.9,0.0,0
221,Vincent Marchetti,610,AC Ajaccio,25, M(C)  ,29(2),2463,2,0.5,33.5,80.0,0.0,2.3,0.2,6.49,0,7,0,1.2,0.2,0,1.5,1.2,0.0,1.3,1.6,1.8,0.6,0.9,0.0,1.0,1.4,0.1,0
254,Cyrille Bayala,610,AC Ajaccio,27, AM(R)  ,25(8),2017,1,0.6,17.3,64.7,0.2,0.5,0.0,6.39,1,3,1,0.7,1.2,0,0.8,0.8,0.2,1.1,1.7,1.6,0.8,0.9,0.0,0.6,0.7,0.1,0
257,Oumar Gonzalez,610,AC Ajaccio,25, D(C)  ,29(1),2579,0,0.0,36.5,81.8,0.0,1.6,0.0,6.39,0,10,0,0.4,2.1,0,0.2,1.5,0.1,0.3,0.7,1.7,1.7,1.5,0.5,2.6,0.5,0.4,0
266,Ismaël Diallo,610,AC Ajaccio,26, D(L)  ,25(3),2183,0,0.3,30.6,76.0,0.2,2.4,0.1,6.36,0,9,1,0.1,0.9,0,0.5,1.2,0.0,0.4,1.3,1.6,1.1,1.5,0.1,1.5,1.0,0.4,0
270,Mickaël Alphonse,610,AC Ajaccio,33, D(LR)  ,14(12),1357,0,0.4,19.5,71.1,0.2,1.0,0.0,6.35,0,2,1,0.4,1.2,1,0.4,0.6,0.0,0.5,0.6,1.3,1.3,0.7,0.2,1.5,0.5,0.2,1
281,Thomas Mangani,610,AC Ajaccio,36, M(C)  ,14(12),1329,1,1.0,31.7,73.7,0.9,3.2,0.1,6.32,1,4,1,0.4,0.8,0,0.2,0.5,0.0,0.1,0.3,1.2,0.9,0.9,0.0,0.8,1.1,0.1,0
286,Romain Hamouma,610,AC Ajaccio,36," M(CLR),FW  ",14(5),1091,2,0.7,15.8,81.7,0.6,0.3,0.0,6.31,2,1,2,0.8,0.7,0,0.8,0.8,0.2,0.7,2.0,0.4,0.1,0.9,0.0,0.1,0.2,0.0,0
289,Clément Vidal,610,AC Ajaccio,23, D(C)  ,21(5),1901,0,0.0,29.5,77.4,0.0,2.8,0.0,6.29,1,5,1,0.5,2.0,1,0.0,0.7,0.0,0.2,0.2,1.0,1.0,0.8,0.3,2.7,0.8,0.6,0
298,Kevin Spadanuda,610,AC Ajaccio,26, M(L)  ,13(9),1069,1,0.4,11.3,81.5,0.0,0.2,0.0,6.26,0,3,0,0.3,0.2,0,1.0,1.0,0.0,1.0,1.3,1.3,0.5,0.9,0.0,0.2,1.0,0.0,0
300,Benjamin Leroy,610,AC Ajaccio,34, GK  ,32,2799,0,0.0,24.8,57.6,0.0,7.3,0.0,6.26,0,1,0,0.0,0.1,1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0
301,Mathieu Coutadeur,610,AC Ajaccio,37, M(C)  ,22(5),1951,0,0.4,43.9,84.6,0.0,2.9,0.1,6.24,0,2,0,0.1,0.3,0,0.2,0.5,0.0,0.3,0.7,0.9,0.7,0.2,0.0,0.8,0.7,0.1,0
302,Riad Nouri,610,AC Ajaccio,38, M(LR)  ,16(17),1692,1,0.8,15.9,74.0,0.8,0.5,0.0,6.24,1,3,0,0.5,0.4,0,0.4,0.5,0.2,0.5,0.9,0.6,0.5,0.5,0.0,0.2,0.5,0.0,0
309,Cédric Avinel,610,AC Ajaccio,36, D(C)  ,19(5),1791,0,0.0,29.8,85.0,0.0,1.6,0.0,6.18,1,2,1,0.1,1.6,1,0.0,0.1,0.0,0.0,0.1,0.5,0.6,0.5,0.4,3.7,0.2,0.5,0
