,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
21,Steve Mounié,2332,Brest,28, FW  ,20(3),1662,0,0.6,19.3,56.2,0.0,0.1,0.0,7.07,6,2,0,2.6,6.6,2,0.4,1.1,0.4,1.2,2.3,0.6,0.1,1.6,0.0,0.9,0.4,0.3,0
32,Franck Honorat,2332,Brest,26," M(LR),FW  ",29(4),2546,5,2.7,24.6,75.0,2.2,0.7,0.0,7.0,6,1,0,1.4,0.4,3,0.5,0.5,0.3,0.6,1.7,1.2,0.6,0.7,0.0,0.5,0.5,0.1,0
35,Pierre Lees-Melou,2332,Brest,30, M(CLR)  ,32,2773,5,0.5,44.2,83.9,0.2,5.5,0.1,6.99,5,10,1,1.3,0.6,3,0.7,1.5,0.0,0.6,0.9,3.0,1.6,1.3,0.0,1.3,2.1,0.4,0
61,Romain Del Castillo,2332,Brest,27," AM(CLR),FW  ",16(11),1429,6,1.3,20.3,72.3,1.2,0.9,0.1,6.88,6,2,0,1.3,0.7,2,1.0,0.9,0.0,1.1,1.7,1.4,0.4,0.7,0.0,0.2,0.7,0.0,0
92,Brendan Chardonnet,2332,Brest,28, D(C)  ,27(3),2489,0,0.3,43.5,80.8,0.1,4.9,0.0,6.79,0,6,0,0.5,3.1,0,0.1,0.9,0.0,0.1,0.2,1.5,2.1,1.3,0.3,2.8,0.6,0.6,1
117,Jérémy Le Douaron,2332,Brest,25," AM(L),FW  ",24(8),2080,3,0.5,11.0,73.0,0.2,0.1,0.0,6.73,10,1,0,1.7,1.9,2,0.7,1.1,0.3,1.1,2.3,0.5,0.3,1.0,0.0,0.8,0.8,0.1,0
135,Marco Bizot,2332,Brest,32, GK  ,37,3330,0,0.0,25.2,68.2,0.0,6.2,0.0,6.7,0,4,0,0.0,0.1,3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
149,Lilian Brassier,2332,Brest,23, D(CL)  ,35(1),3094,0,0.2,41.5,78.2,0.2,4.4,0.0,6.66,0,5,0,0.6,1.7,0,0.4,0.4,0.0,0.4,0.6,1.2,1.5,1.2,0.7,3.4,0.3,0.5,0
161,Mahdi Camara,2332,Brest,24," D(CR),DMC  ",20(11),1825,0,0.3,21.8,84.2,0.0,0.5,0.0,6.63,2,4,1,0.8,0.6,0,0.8,1.0,0.0,0.5,0.9,2.0,1.3,0.7,0.0,0.5,0.6,0.1,0
199,Jean-Kévin Duverne,2332,Brest,25, D(CLR)  ,27(7),2514,0,0.3,32.9,73.9,0.3,2.5,0.0,6.54,0,2,0,0.1,1.0,0,0.8,0.6,0.1,0.6,1.1,2.1,0.8,1.1,0.1,1.7,0.9,0.1,0
206,Noah Fadiga,2332,Brest,23, D(R)  ,16(5),1312,0,0.1,23.9,79.9,0.1,0.7,0.0,6.52,1,2,0,0.5,0.4,1,0.9,0.9,0.0,0.3,1.1,1.4,1.2,1.0,0.2,0.7,0.6,0.3,0
214,Haris Belkebla,2332,Brest,29, DMC  ,30(8),2658,0,0.3,31.7,85.5,0.1,1.4,0.0,6.5,2,3,0,0.3,0.5,0,0.3,1.3,0.0,0.7,1.0,2.1,1.4,0.9,0.1,0.4,1.1,0.2,0
230,Hugo Magnetti,2332,Brest,25, DMC  ,19(13),1688,2,0.4,22.8,84.8,0.2,1.6,0.0,6.46,1,2,0,0.5,0.2,0,0.7,0.8,0.0,0.5,0.7,1.3,0.8,0.5,0.0,0.4,1.3,0.0,0
232,Mathias Pereira Lage,2332,Brest,26, M(CLR)  ,16(8),1272,1,0.6,14.5,71.3,0.3,0.7,0.0,6.45,2,2,0,0.9,0.9,0,0.4,1.1,0.0,0.8,1.0,0.8,0.6,1.0,0.0,0.5,0.8,0.0,0
