,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
6,Enzo Le Fée,146,Lorient,23, M(CLR)  ,35,3039,5,1.9,56.1,84.7,0.9,3.0,0.1,7.26,5,5,0,1.3,0.3,5,1.9,1.8,0.1,1.6,2.1,3.1,1.0,1.2,0.0,0.9,2.0,0.1,0
93,Montassar Talbi,146,Lorient,25, D(C)  ,38,3420,2,0.1,51.7,89.1,0.0,1.8,0.0,6.79,1,0,0,0.2,2.4,1,0.2,0.7,0.0,0.2,0.4,1.4,1.1,0.4,0.4,4.8,0.3,0.9,0
127,Laurent Abergel,146,Lorient,30, DMC  ,28(1),2351,1,0.5,50.8,88.7,0.0,2.3,0.2,6.72,0,5,1,0.4,0.3,0,0.8,1.0,0.0,0.7,1.0,3.2,1.2,1.0,0.0,1.2,1.8,0.3,0
141,Gédéon Kalulu,146,Lorient,25," D(R),M(R)  ",28(1),2442,4,0.8,40.2,82.0,0.2,1.9,0.0,6.69,0,6,0,0.3,1.0,1,0.7,0.6,0.1,0.6,1.1,2.2,1.0,1.0,0.2,2.4,0.6,0.1,0
158,Julien Laporte,146,Lorient,29, D(C)  ,19(1),1656,0,0.1,39.8,85.4,0.0,3.0,0.0,6.64,0,1,0,0.3,1.6,0,0.1,0.8,0.1,0.1,0.3,1.1,0.9,0.5,0.3,5.3,0.3,1.4,1
160,Vincent Le Goff,146,Lorient,33," D(CL),M(L)  ",37,3330,0,0.4,47.0,83.9,0.4,1.2,0.0,6.63,0,1,0,0.5,0.8,0,0.3,0.5,0.1,0.3,0.5,2.0,1.1,0.5,0.1,2.4,0.5,0.2,0
180,Yvon Mvogo,146,Lorient,29, GK  ,21,1813,0,0.0,25.4,71.5,0.0,5.2,0.0,6.59,0,0,0,0.0,0.2,0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0
223,Théo Le Bris,146,Lorient,20, M(L)  ,15(12),1451,2,0.5,20.3,81.8,0.1,0.2,0.0,6.48,2,0,0,0.4,0.4,0,0.6,0.1,0.0,0.4,0.8,1.1,0.7,0.2,0.0,1.0,0.7,0.1,0
228,Ibrahima Koné,146,Lorient,24, FW  ,15(22),1569,1,0.4,9.6,66.9,0.0,0.1,0.0,6.46,7,3,0,0.8,1.5,0,0.4,0.6,0.4,0.7,1.8,0.6,0.1,0.8,0.0,0.5,0.2,0.0,0
231,Stéphane Diarra,146,Lorient,24, AM(R)  ,14(14),1070,0,0.4,10.8,75.2,0.1,0.1,0.0,6.46,2,1,0,0.7,0.2,1,0.9,0.8,0.1,0.5,1.1,0.9,0.8,0.3,0.0,0.3,0.6,0.0,0
252,Julien Ponceau,146,Lorient,22, AM(C)  ,20(11),1663,4,0.8,26.3,83.7,0.0,0.8,0.0,6.39,1,1,0,0.5,0.3,0,0.3,0.8,0.1,0.6,1.3,0.9,0.5,0.7,0.0,0.4,0.7,0.1,0
260,Yoann Cathline,146,Lorient,20, AM(L)  ,11(12),1085,1,0.3,12.7,72.9,0.4,0.2,0.0,6.38,1,0,0,1.1,0.1,0,1.0,1.2,0.0,1.2,1.7,0.8,0.3,0.5,0.0,0.6,0.3,0.0,0
277,Bonke Innocent,146,Lorient,27, DMC  ,14(11),1183,1,0.2,23.0,89.2,0.0,0.7,0.0,6.34,0,5,0,0.2,0.4,0,0.2,0.4,0.0,0.2,0.3,1.1,1.0,1.5,0.0,1.2,1.0,0.2,0
