,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
3,Alexandre Lacazette,228,Lyon,32," M(CLR),FW  ",34(1),2938,5,1.4,24.9,75.5,0.1,0.8,0.1,7.42,27,3,0,3.3,0.8,5,1.1,1.6,0.4,1.3,1.9,1.2,0.4,1.8,0.0,0.1,0.5,0.1,0
25,Maxence Caqueret,228,Lyon,23, DMC  ,32(4),2778,7,1.7,46.5,86.3,0.8,1.4,0.1,7.04,4,2,0,0.7,0.4,2,1.1,0.9,0.1,1.3,1.9,2.4,1.1,1.3,0.0,0.8,1.8,0.1,0
33,Rayan Cherki,228,Lyon,19, AM(CLR)  ,21(13),1874,6,2.0,28.8,81.0,0.9,1.5,0.2,6.99,4,3,0,1.8,0.1,3,2.3,0.9,0.1,1.4,1.9,0.4,0.1,0.5,0.0,0.0,0.4,0.0,0
46,Bradley Barcola,228,Lyon,20, AM(R)  ,15(11),1438,8,1.0,16.9,72.4,0.2,0.2,0.0,6.94,5,3,0,1.0,0.6,3,1.5,0.3,0.3,0.3,1.4,1.0,0.7,0.9,0.0,0.3,1.2,0.0,0
52,Karl Toko Ekambi,228,Lyon,30," AM(LR),FW  ",15(4),1357,2,1.4,30.4,82.3,0.3,1.4,0.1,6.91,4,1,0,2.2,0.8,2,1.4,0.5,0.1,1.3,2.0,0.5,0.5,0.4,0.0,0.3,0.6,0.1,0
67,Nicolás Tagliafico,228,Lyon,30," D(CL),M(L)  ",34,2995,3,0.7,45.7,85.8,0.2,1.0,0.0,6.86,1,5,0,0.7,1.3,1,0.3,1.7,0.1,0.5,1.4,2.7,1.7,1.2,0.1,1.3,0.8,0.3,0
68,Malo Gusto,228,Lyon,20," D(R),M(R)  ",19(2),1602,1,1.1,54.0,85.1,1.6,2.0,0.0,6.86,0,1,0,0.3,0.4,1,1.0,1.1,0.1,0.6,0.8,2.0,1.3,1.0,0.2,0.7,1.0,0.2,1
78,Corentin Tolisso,228,Lyon,28," D(R),M(CR)  ",25(5),2050,2,1.1,63.6,88.8,0.4,4.6,0.3,6.82,1,3,0,1.0,1.2,1,0.2,1.3,0.0,0.6,0.7,1.5,0.8,0.9,0.0,0.7,1.4,0.2,0
110,Sinaly Diomandé,228,Lyon,22, D(CR)  ,22(2),1959,0,0.1,58.8,85.6,0.0,2.4,0.0,6.75,0,2,1,0.4,2.3,0,0.4,0.9,0.0,0.2,0.8,1.8,2.0,1.0,0.5,2.9,0.8,0.5,0
118,Castello Lukeba,228,Lyon,20, D(C)  ,33(1),2986,0,0.1,65.9,90.4,0.1,2.1,0.0,6.73,2,7,1,0.4,1.1,0,0.3,0.6,0.0,0.2,0.6,1.1,2.2,1.1,0.8,3.0,0.3,0.7,1
143,Anthony Lopes,228,Lyon,32, GK  ,32,2817,0,0.0,27.7,74.3,0.0,4.8,0.0,6.69,0,2,1,0.0,0.1,0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.6,0.1,0.0,0
172,Thiago Mendes,228,Lyon,31," D(CR),M(CR)  ",22(9),2065,1,0.3,53.3,87.0,0.0,3.2,0.1,6.61,1,3,0,0.5,1.1,0,0.2,0.8,0.0,0.5,0.8,1.5,1.5,0.8,0.1,1.6,0.3,0.3,0
173,Saël Kumbedi,228,Lyon,18, D(R)  ,14(6),1317,2,0.5,30.9,83.6,0.3,0.9,0.0,6.61,0,8,0,0.5,0.4,0,0.8,1.1,0.2,0.7,0.8,2.4,0.5,1.9,0.3,0.7,0.9,0.4,0
219,Johann Lepenant,228,Lyon,20, DMC  ,21(10),1935,2,0.3,41.5,89.9,0.0,1.8,0.0,6.49,1,4,0,0.6,0.5,0,0.7,0.8,0.0,0.9,1.3,1.9,0.9,1.1,0.0,0.5,1.7,0.2,0
282,Moussa Dembélé,228,Lyon,26, FW  ,8(15),866,0,0.2,8.2,72.9,0.0,0.1,0.0,6.32,3,1,0,1.2,1.3,0,0.2,0.1,0.3,0.7,1.4,0.3,0.1,0.7,0.0,0.3,0.1,0.0,0
