,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
16,Andrei Girotto,302,Nantes,31," D(C),DMC  ",36,3153,1,0.4,48.1,83.0,0.1,4.4,0.0,7.09,1,7,0,0.8,2.2,4,0.1,0.9,0.0,0.2,0.3,3.4,2.0,1.5,0.3,4.8,1.6,0.7,0
23,Fabien Centonze,302,Nantes,27," D(R),M(R)  ",19(4),1693,0,0.5,32.0,79.3,0.6,1.4,0.0,7.06,0,4,0,0.6,1.4,1,1.7,0.9,0.0,0.5,1.1,2.5,1.9,0.6,0.1,2.3,0.5,0.3,0
30,Ludovic Blas,302,Nantes,25," M(CLR),FW  ",30(7),2821,5,1.3,28.0,85.5,0.9,1.6,0.0,7.01,7,6,0,2.7,0.5,3,2.2,1.7,0.1,2.1,2.4,1.3,0.5,1.6,0.0,0.2,0.9,0.0,0
87,Alban Lafont,302,Nantes,24, GK  ,37,3330,0,0.0,26.7,64.6,0.0,6.1,0.0,6.81,0,0,1,0.0,0.2,5,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0
124,Quentin Merlin,302,Nantes,21," D(L),M(L)  ",22(2),1803,2,1.4,37.3,77.9,1.2,2.6,0.0,6.73,1,2,0,0.6,0.7,1,0.9,0.6,0.0,0.4,1.0,1.3,1.0,0.5,0.1,1.0,0.8,0.2,0
138,Jean-Charles Castelletto,302,Nantes,28, D(C)  ,30(2),2569,0,0.2,41.4,82.8,0.1,2.2,0.0,6.69,0,3,0,0.3,2.4,0,0.3,0.6,0.0,0.2,0.6,1.3,1.8,0.9,0.2,2.7,0.4,0.7,0
146,Nicolas Pallois,302,Nantes,35, D(C)  ,26,2217,0,0.2,44.5,83.8,0.1,3.7,0.0,6.67,1,2,1,0.3,1.3,1,0.3,0.2,0.0,0.3,0.7,2.7,1.2,0.8,0.7,4.9,1.1,0.7,1
157,Mostafa Mohamed,302,Nantes,25, FW  ,18(18),1936,2,0.4,9.4,62.6,0.0,0.2,0.0,6.64,8,1,0,1.6,2.1,1,0.6,0.8,0.4,0.6,1.5,0.5,0.3,1.2,0.0,0.9,0.3,0.0,0
190,Ignatius Ganago,302,Nantes,24," AM(LR),FW  ",16(12),1520,3,0.4,11.6,64.8,0.0,0.3,0.0,6.56,5,0,0,1.2,2.2,0,0.4,1.1,0.3,0.7,1.4,0.3,0.1,0.5,0.0,0.4,0.1,0.0,0
197,Moses Simon,302,Nantes,27," M(CLR),FW  ",28(6),2359,4,1.2,16.8,73.9,1.0,0.3,0.1,6.55,5,3,0,1.0,0.3,1,1.0,0.9,0.1,1.1,1.4,0.5,0.3,0.3,0.0,0.0,0.2,0.0,0
209,Florent Mollet,302,Nantes,31, AM(CLR)  ,11(8),1090,2,1.2,25.3,87.3,1.1,0.9,0.0,6.52,1,3,0,1.2,0.5,0,0.5,1.1,0.2,0.7,1.0,0.7,0.5,0.9,0.0,0.5,0.9,0.1,0
210,Pedro Chirivella,302,Nantes,26, DMC  ,25(1),2042,1,0.9,51.5,86.6,0.0,4.7,0.0,6.52,0,1,0,0.6,0.3,0,0.3,0.7,0.0,0.2,0.2,1.3,0.8,0.8,0.0,0.2,1.0,0.0,0
215,Evann Guessand,302,Nantes,21," AM(R),FW  ",15(15),1257,2,0.4,9.1,71.0,0.1,0.2,0.0,6.5,3,2,0,0.7,0.9,1,1.2,0.7,0.2,1.0,1.6,0.8,0.3,1.0,0.0,0.2,0.2,0.0,0
245,Samuel Moutoussamy,302,Nantes,26, M(CL)  ,27(8),2403,2,0.5,34.6,86.5,0.1,1.6,0.1,6.42,0,8,0,0.6,0.6,0,0.5,0.4,0.0,0.5,0.7,1.8,0.7,0.9,0.0,0.4,1.4,0.1,0
258,Moussa Sissoko,302,Nantes,33, M(CR)  ,22(8),1923,0,0.6,25.1,81.0,0.2,0.9,0.0,6.38,2,3,0,0.6,0.8,1,0.5,0.5,0.1,0.6,1.0,0.9,0.5,0.9,0.0,0.5,0.2,0.2,0
285,Marcus Coco,302,Nantes,27," M(LR),FW  ",6(20),629,0,0.4,8.0,75.0,0.3,0.3,0.0,6.32,1,2,0,0.3,0.7,0,0.3,0.4,0.1,0.4,0.7,0.9,0.5,0.7,0.0,0.1,0.5,0.1,0
299,Sébastien Corchia,302,Nantes,32," D(R),M(R)  ",6(16),775,1,0.2,12.2,76.9,0.4,0.6,0.0,6.26,0,3,0,0.2,0.5,0,0.1,0.8,0.0,0.3,0.6,0.7,0.6,0.7,0.0,0.7,0.5,0.1,0
