Name,Position,Date of Birth,Age,Nationality,Market Value
Alban Lafont,Goalkeeper,"Jan 23, 1999",24,France,€16.00m
Rémy Descamps,Goalkeeper,"Jun 25, 1996",27,France,€700k
Denis Petric,Goalkeeper,"May 24, 1988",35,Slovenia,€150k
João Victor,Centre-Back,"Jul 17, 1998",24,Brazil,€7.00m
Andrei Girotto,Centre-Back,"Feb 17, 1992",31,Brazil,€4.00m
Jean-Charles Castelletto,Centre-Back,"Jan 26, 1995",28,Cameroon,€3.50m
Nicolas Pallois,Centre-Back,"Sep 19, 1987",35,France,€900k
Nathan Zeze,Centre-Back,"Jun 18, 2005",18,France,€400k
Robin Voisine,Centre-Back,"Apr 7, 2002",21,France,€150k
Junior Diaz,Centre-Back,"Jul 23, 2003",19,Cote d'Ivoire,€100k
Quentin Merlin,Left-Back,"May 16, 2002",21,France,€7.00m
Jaouen Hadjam,Left-Back,"Mar 26, 2003",20,Algeria,€2.00m
Charles Traoré,Left-Back,"Jan 1, 1992",31,Mali,€600k
Fabien Centonze,Right-Back,"Jan 16, 1996",27,France,€4.00m
Dennis Appiah,Right-Back,"Jun 9, 1992",31,France,€1.50m
Fábio,Right-Back,"Jul 9, 1990",32,Brazil,€1.20m
Sébastien Corchia,Right-Back,"Nov 1, 1990",32,France,€1.00m
Mathieu Acapandié,Right-Back,"Dec 14, 2004",18,France,-
Pedro Chirivella,Defensive Midfield,"May 23, 1997",26,Spain,€6.00m
Lohann Doucet,Defensive Midfield,"Sep 14, 2002",20,France,€700k
Samuel Moutoussamy,Central Midfield,"Aug 12, 1996",26,DR Congo,€5.00m
Moussa Sissoko,Central Midfield,"Aug 16, 1989",33,France,€2.50m
Mohamed Achi,Central Midfield,"Jan 16, 2002",21,France,€300k
Ludovic Blas,Attacking Midfield,"Dec 31, 1997",25,France,€20.00m
Florent Mollet,Attacking Midfield,"Nov 19, 1991",31,France,€2.00m
Samuel Yépié Yépié,Attacking Midfield,"Oct 2, 2002",20,France,€150k
Moses Simon,Left Winger,"Jul 12, 1995",27,Nigeria,€8.00m
Gor Manvelyan,Left Winger,"Apr 9, 2002",21,Armenia,€400k
Santiago Eneme,Left Winger,"Sep 29, 2000",22,Equatorial Guinea,€150k
Stredair Appuah,Left Winger,"Jun 27, 2004",19,France,€150k
Marcus Coco,Right Winger,"Jun 24, 1996",27,Guadeloupe,€1.20m
Abdoul Kader Bamba,Right Winger,"Apr 25, 1994",29,France,€900k
Andy Delort,Centre-Forward,"Oct 9, 1991",31,Algeria,€7.00m
Mostafa Mohamed,Centre-Forward,"Nov 28, 1997",25,Egypt,€6.00m
Evann Guessand,Centre-Forward,"Jul 1, 2001",21,Cote d'Ivoire,€4.50m
Ignatius Ganago,Centre-Forward,"Feb 16, 1999",24,Cameroon,€4.00m
Joe-Loïc Affamah,Centre-Forward,"Jun 29, 2002",21,France,€125k
