Name,Position,Date of Birth,Age,Nationality,Market Value
Gianluigi Donnarumma,Goalkeeper,"Feb 25, 1999",24,Italy,€45.00m
Keylor Navas,Goalkeeper,"Dec 15, 1986",36,Costa Rica,€4.00m
Sergio Rico,Goalkeeper,"Sep 1, 1993",29,Spain,€3.00m
Lucas Lavallée,Goalkeeper,"Feb 18, 2003",20,France,€300k
Alexandre Letellier,Goalkeeper,"Dec 11, 1990",32,France,€300k
Marquinhos,Centre-Back,"May 14, 1994",29,Brazil,€65.00m
Presnel Kimpembe,Centre-Back,"Aug 13, 1995",27,France,€28.00m
Abdou Diallo,Centre-Back,"May 4, 1996",27,Senegal,€10.00m
El Chadaille Bitshiabu,Centre-Back,"May 16, 2005",18,France,€7.00m
Sergio Ramos,Centre-Back,"Mar 30, 1986",37,Spain,€4.50m
Nehemiah Fernandez,Centre-Back,"Dec 11, 2004",18,France,€250k
Nuno Mendes,Left-Back,"Jun 19, 2002",21,Portugal,€65.00m
Juan Bernat,Left-Back,"Mar 1, 1993",30,Spain,€10.00m
Serif Nhaga,Left-Back,"Sep 1, 2005",17,Portugal,€150k
Achraf Hakimi,Right-Back,"Nov 4, 1998",24,Morocco,€65.00m
Nordi Mukiele,Right-Back,"Nov 1, 1997",25,France,€18.00m
Timothée Pembélé,Right-Back,"Sep 9, 2002",20,France,€5.00m
Hugo Lamy,Right-Back,"Jan 16, 2004",19,France,€250k
Leandro Paredes,Defensive Midfield,"Jun 29, 1994",29,Argentina,€12.00m
Danilo Pereira,Defensive Midfield,"Sep 9, 1991",31,Portugal,€10.00m
Vitinha,Central Midfield,"Feb 13, 2000",23,Portugal,€42.00m
Marco Verratti,Central Midfield,"Nov 5, 1992",30,Italy,€40.00m
Fabián Ruiz,Central Midfield,"Apr 3, 1996",27,Spain,€32.00m
Carlos Soler,Central Midfield,"Jan 2, 1997",26,Spain,€25.00m
Warren Zaïre-Emery,Central Midfield,"Mar 8, 2006",17,France,€20.00m
Renato Sanches,Central Midfield,"Aug 18, 1997",25,Portugal,€15.00m
Idrissa Gueye,Central Midfield,"Sep 26, 1989",33,Senegal,€5.00m
Ayman Kari,Central Midfield,"Nov 19, 2004",18,France,€1.00m
Ismaël Gharbi,Attacking Midfield,"Apr 10, 2004",19,Spain,€5.00m
Neymar,Left Winger,"Feb 5, 1992",31,Brazil,€60.00m
Lionel Messi,Right Winger,"Jun 24, 1987",36,Argentina,€35.00m
Pablo Sarabia,Right Winger,"May 11, 1992",31,Spain,€14.00m
Kylian Mbappé,Centre-Forward,"Dec 20, 1998",24,France,€180.00m
Arnaud Kalimuendo,Centre-Forward,"Jan 20, 2002",21,France,€22.00m
Hugo Ekitiké,Centre-Forward,"Jun 20, 2002",21,France,€20.00m
Mauro Icardi,Centre-Forward,"Feb 19, 1993",30,Argentina,€19.00m
Ilyes Housni,Centre-Forward,"May 14, 2005",18,Morocco,€3.50m
