Name,Position,Date of Birth,Age,Nationality,Market Value
Gauthier Gallon,Goalkeeper,"Apr 23, 1993",30,France,€2.00m
Mateusz Lis,Goalkeeper,"Feb 27, 1997",26,Poland,€900k
Jessy Moulin,Goalkeeper,"Jan 13, 1986",37,France,€200k
Corentin Michel,Goalkeeper,"Mar 20, 2000",23,Belgium,€150k
Jackson Porozo,Centre-Back,"Aug 4, 2000",22,Ecuador,€3.00m
Erik Palmer-Brown,Centre-Back,"Apr 24, 1997",26,United States,€2.50m
Yoann Salmier,Centre-Back,"Nov 21, 1992",30,French Guiana,€2.00m
Tanguy Zoukrou,Centre-Back,"May 7, 2003",20,France,€1.00m
Adil Rami,Centre-Back,"Dec 27, 1985",37,France,€250k
Eric N'Jo,Centre-Back,"Jun 1, 2004",19,France,€200k
Rudy Kohon,Centre-Back,"May 23, 2004",19,France,€100k
Yasser Larouci,Left-Back,"Jan 1, 2001",22,Algeria,€3.50m
Abdu Conté,Left-Back,"Mar 24, 1998",25,Portugal,€2.00m
Mathis Hamdi,Left-Back,"Oct 18, 2003",19,France,€150k
Thierno Baldé,Right-Back,"Jun 10, 2002",21,France,€4.00m
Andreas Bruus,Right-Back,"Jan 16, 1999",24,Denmark,€2.00m
Lucien Agoumé,Defensive Midfield,"Feb 9, 2002",21,France,€7.00m
Rominigue Kouamé,Central Midfield,"Dec 17, 1996",26,Mali,€4.50m
Florian Tardieu,Central Midfield,"Apr 22, 1992",31,France,€2.00m
Xavier Chavalerin,Central Midfield,"Mar 7, 1991",32,France,€1.50m
Ante Palaversa,Central Midfield,"Apr 6, 2000",23,Croatia,€700k
Tristan Dingomé,Central Midfield,"Feb 17, 1991",32,Cameroon,€500k
Derek Mazou-Sacko,Central Midfield,"Oct 6, 2004",18,France,€250k
Danel Dongmo,Central Midfield,"Jan 31, 2001",22,Cameroon,€100k
Jeff Reine-Adélaïde,Attacking Midfield,"Jan 17, 1998",25,France,€5.00m
Ryan Fage,Attacking Midfield,"Oct 31, 2003",19,France,€50k
Wilson Odobert,Left Winger,"Nov 28, 2004",18,France,€6.00m
Alexis Tibidi,Left Winger,"Nov 3, 2003",19,France,€2.00m
Amar Fatah,Left Winger,"Feb 19, 2004",19,Sweden,€1.20m
Papa Ndiaga Yade,Left Winger,"Jan 5, 2000",23,Mauritania,€1.20m
Marlos Moreno,Left Winger,"Sep 20, 1996",26,Colombia,€950k
Levi Lumeka,Left Winger,"Sep 5, 1998",24,England,€200k
Rony Lopes,Right Winger,"Dec 28, 1995",27,Portugal,€4.00m
Renaud Ripart,Right Winger,"Mar 14, 1993",30,France,€2.50m
Kyliane Dong,Right Winger,"Sep 27, 2004",18,France,€500k
Alexis Lefebvre,Right Winger,"May 21, 2003",20,France,€250k
Mama Baldé,Centre-Forward,"Nov 6, 1995",27,Guinea-Bissau,€8.00m
Iké Ugbo,Centre-Forward,"Sep 21, 1998",24,Canada,€3.00m
Mykola Kukharevych,Centre-Forward,"Jul 1, 2001",21,Ukraine,€500k
Yoann Touzghar,Centre-Forward,"Nov 28, 1986",36,Tunisia,€300k
Yoann Beaka,Centre-Forward,"Apr 6, 2003",20,France,€150k
