player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Morten Hjulmand,79,Lecce,24, DMC  ,34(1),2963,4,0.7,37.2,79.3,0.1,2.7,0.0,6.82,0,9,1,0.5,1.2,5,0.5,1.1,0.0,0.5,0.8,2.6,2.1,1.7,0.0,1.5,0.9,0.3,0
Gabriel Strefezza,79,Lecce,26, M(LR)  ,30(5),2464,4,1.4,21.1,69.1,0.8,1.5,0.1,6.77,8,5,0,2.0,0.5,1,1.0,2.0,0.0,2.0,2.3,1.4,0.5,1.5,0.0,0.3,0.7,0.1,0
Federico Baschirotto,79,Lecce,26, D(C)  ,37,3330,0,0.2,37.0,74.1,0.1,3.3,0.0,6.71,3,6,0,0.6,2.5,1,0.1,0.3,0.0,0.1,0.3,1.1,1.0,1.0,0.7,5.0,0.4,0.8,0
Wladimiro Falcone,79,Lecce,28, GK  ,38,3420,0,0.1,26.7,44.8,0.0,6.1,0.0,6.65,0,2,0,0.0,0.3,4,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1.3,0.0,0.0,0
Samuel Umtiti,79,Lecce,29, D(CL)  ,24(1),2115,0,0.1,34.3,83.9,0.0,2.0,0.0,6.62,0,8,0,0.5,1.4,0,0.2,1.1,0.0,0.2,0.3,2.1,1.0,1.3,0.1,3.1,0.3,0.6,0
Valentin Gendrey,79,Lecce,23, D(R)  ,35(2),3103,2,0.7,27.5,73.6,0.4,0.9,0.0,6.62,0,4,0,0.3,1.3,0,0.4,0.7,0.0,0.3,1.3,2.4,1.0,0.6,0.2,2.1,0.8,0.1,0
Alexis Blin,79,Lecce,26, DMC  ,26(9),2380,0,0.4,26.1,81.3,0.1,0.8,0.0,6.6,1,8,0,0.6,1.6,1,0.1,0.9,0.0,0.4,1.0,2.0,1.0,1.3,0.1,1.9,1.0,0.4,0
Remi Oudin,79,Lecce,26," M(CLR),FW  ",12(19),1315,0,1.0,15.0,70.0,1.1,1.5,0.0,6.58,3,3,0,1.2,0.4,1,0.3,0.5,0.1,0.4,0.7,0.8,0.9,0.3,0.0,0.6,0.4,0.1,0
Antonino Gallo,79,Lecce,23, D(L)  ,28(4),2486,1,1.2,28.5,69.3,0.8,1.8,0.0,6.53,0,3,1,0.3,0.8,0,0.5,0.5,0.1,0.2,0.7,1.8,0.4,0.4,0.2,2.1,0.6,0.2,2
Assan Ceesay,79,Lecce,29, FW  ,20(14),1818,0,0.2,10.9,58.9,0.1,0.1,0.0,6.43,6,2,0,1.2,1.9,1,0.6,0.8,0.6,0.7,1.9,0.7,0.1,1.1,0.0,0.6,0.2,0.1,0
Joan Gonzàlez,79,Lecce,21, M(C)  ,26(9),2212,3,0.4,21.1,79.0,0.1,0.7,0.0,6.39,1,8,0,0.5,0.9,1,0.5,1.3,0.1,0.7,1.4,1.4,0.5,1.0,0.1,0.7,1.0,0.2,1
Federico Di Francesco,79,Lecce,29," M(LR),FW  ",23(13),2040,2,0.7,12.6,72.3,0.2,0.3,0.1,6.37,2,6,0,1.1,0.2,1,0.5,0.9,0.4,0.8,1.6,0.8,0.2,1.2,0.0,0.4,0.3,0.0,0
Lameck Banda,79,Lecce,22, AM(L)  ,19(17),1637,1,0.4,10.3,73.0,0.1,0.1,0.0,6.36,2,6,0,1.0,0.2,1,1.3,1.0,0.3,1.0,1.9,0.8,0.2,0.9,0.0,0.1,0.7,0.1,0
Lorenzo Colombo,79,Lecce,21, FW  ,18(15),1518,2,0.5,9.6,64.4,0.1,0.2,0.0,6.3,5,4,0,1.4,1.2,0,0.3,0.5,0.2,1.2,2.4,0.5,0.1,1.1,0.0,0.2,0.2,0.0,0
Kristoffer Askildsen,79,Lecce,22, M(C)  ,7(14),724,0,0.3,11.6,63.9,0.2,0.9,0.0,6.21,0,3,0,0.5,1.0,0,0.1,0.3,0.0,0.1,0.6,0.3,0.5,1.0,0.0,0.3,0.3,0.2,0
