player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Emil Audero,271,Sampdoria,26, GK  ,25,2250,0,0.0,32.4,63.6,0.0,8.4,0.0,6.78,0,1,0,0.0,0.2,5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,1
Bram Nuytinck,271,Sampdoria,33, D(C)  ,19,1504,1,0.2,34.3,85.4,0.0,1.8,0.0,6.67,0,4,0,0.2,1.5,0,0.0,0.4,0.0,0.1,0.2,2.8,1.2,1.2,0.4,4.3,0.6,1.1,0
Mehdi Léris,271,Sampdoria,25, M(CLR)  ,29(3),2465,1,0.6,25.9,69.9,0.3,0.9,0.0,6.62,1,13,0,0.9,3.0,0,0.9,1.5,0.3,1.5,2.5,2.0,0.8,1.6,0.0,0.9,1.0,0.2,0
Alessandro Zanoli,271,Sampdoria,22," D(R),M(R)  ",16(6),1539,2,0.6,26.0,79.4,0.5,0.7,0.0,6.59,2,3,0,0.7,0.5,1,1.2,0.5,0.0,0.4,0.7,1.0,0.5,0.2,0.0,1.6,0.4,0.7,0
Manolo Gabbiadini,271,Sampdoria,31," AM(CLR),FW  ",27(8),2369,2,0.8,16.9,70.9,0.1,0.3,0.2,6.56,7,6,0,2.1,1.3,2,0.2,1.9,0.4,0.9,1.5,0.7,0.2,1.2,0.0,0.7,0.4,0.1,0
Tommaso Augello,271,Sampdoria,28," D(L),M(L)  ",35(2),3068,5,1.2,35.4,77.5,1.2,1.6,0.0,6.52,2,3,0,0.3,1.0,0,0.9,0.7,0.0,0.5,0.6,0.5,0.5,0.4,0.3,1.3,0.3,0.2,0
Bruno Amione,271,Sampdoria,21, D(C)  ,25(1),2093,1,0.1,37.5,80.1,0.0,1.4,0.0,6.49,1,8,1,0.5,2.7,0,0.1,0.6,0.0,0.0,0.8,1.9,1.0,0.9,0.7,2.2,0.9,0.4,0
Harry Winks,271,Sampdoria,27, DMC  ,19(1),1719,0,0.8,45.7,85.4,0.6,2.8,0.1,6.46,0,2,0,0.7,0.3,0,0.9,0.7,0.1,0.8,1.3,1.4,1.2,0.8,0.0,1.0,1.5,0.4,0
Filip Djuricic,271,Sampdoria,31," AM(CLR),FW  ",27(5),2186,0,1.1,22.1,79.9,0.5,0.8,0.0,6.44,3,9,0,0.8,0.5,0,1.0,1.5,0.0,1.5,1.8,1.3,0.2,1.2,0.0,0.2,0.6,0.2,0
Sam Lammers,271,Sampdoria,26, FW  ,13(6),1103,1,0.7,13.1,68.3,0.1,0.2,0.1,6.43,1,1,0,1.2,1.6,0,0.7,1.2,0.1,0.9,2.8,0.6,0.3,1.0,0.1,0.6,0.5,0.2,0
Tomás Rincón,271,Sampdoria,35, M(CR)  ,30(4),2566,2,0.6,35.8,83.0,0.2,2.5,0.0,6.39,0,7,1,0.3,1.0,0,0.8,0.8,0.0,0.9,0.8,1.6,0.9,1.7,0.0,0.5,0.9,0.2,0
Jeison Murillo,271,Sampdoria,31, D(C)  ,12(8),1058,0,0.1,26.5,83.6,0.0,1.7,0.0,6.24,0,4,1,0.2,1.4,0,0.1,1.0,0.0,0.1,0.4,1.1,0.4,0.9,0.5,2.0,0.5,0.7,1
Fabio Quagliarella,271,Sampdoria,40, FW  ,7(16),797,1,0.3,9.9,68.3,0.1,0.6,0.0,6.14,1,2,0,1.6,0.4,0,0.2,0.8,0.3,0.2,1.0,0.1,0.0,0.2,0.0,0.4,0.3,0.0,0
Nicola Murru,271,Sampdoria,28," D(L),M(L)  ",5(15),775,0,0.1,14.6,80.1,0.2,0.7,0.0,6.14,0,3,0,0.1,0.4,0,0.0,0.3,0.1,0.1,0.4,1.2,0.5,0.8,0.1,1.0,0.3,0.4,0
