player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Milan Djuric,76,Verona,33, FW  ,14(14),1364,1,0.8,18.5,51.6,0.0,0.1,0.0,6.74,1,3,0,0.6,7.1,3,0.1,1.0,0.2,0.5,0.9,0.1,0.0,0.9,0.0,0.9,0.1,0.1,0
Darko Lazovic,76,Verona,32, M(CLR)  ,27(3),2254,5,1.5,21.2,68.5,1.1,0.8,0.1,6.67,4,0,0,1.4,0.2,2,0.6,0.1,0.3,0.5,1.3,0.8,0.5,0.3,0.0,0.6,0.5,0.1,0
Lorenzo Montipò,76,Verona,27, GK  ,37,3330,0,0.0,28.8,58.5,0.0,9.9,0.0,6.63,0,2,0,0.0,0.1,0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.1,0.1,0.0,0
Simone Verdi,76,Verona,30," AM(CLR),FW  ",12(12),1093,0,0.8,13.7,75.6,0.8,1.1,0.1,6.62,5,3,0,1.3,0.4,3,1.5,1.1,0.0,1.3,1.5,0.6,0.0,0.6,0.0,0.1,0.5,0.0,0
Isak Hien,76,Verona,24, D(C)  ,28(4),2608,0,0.1,31.4,75.3,0.0,1.8,0.0,6.6,0,9,0,0.1,2.5,0,0.5,0.7,0.0,0.3,0.8,2.3,1.0,1.6,0.5,2.8,0.7,0.5,0
Pawel Dawidowicz,76,Verona,28, D(C)  ,20(3),1636,1,0.2,33.7,76.6,0.0,2.0,0.0,6.57,1,6,1,0.5,1.9,0,0.0,0.6,0.0,0.2,0.3,2.1,1.0,1.6,0.3,3.0,0.4,0.4,0
Giangiacomo Magnani,76,Verona,27, D(C)  ,19(5),1535,1,0.2,20.4,74.2,0.1,1.9,0.0,6.5,0,7,1,0.3,1.4,1,0.1,0.3,0.0,0.1,0.3,1.4,0.9,0.9,0.1,3.1,0.3,0.6,1
Josh Doig,76,Verona,21," D(CL),M(L)  ",15(7),1359,3,0.5,16.8,69.9,0.5,0.7,0.0,6.5,2,1,0,0.8,0.7,0,1.0,0.3,0.1,0.7,1.5,0.9,0.5,0.6,0.0,0.5,0.5,0.3,0
Federico Ceccherini,76,Verona,31, D(C)  ,18(4),1431,0,0.2,26.8,77.6,0.1,1.7,0.0,6.48,2,9,1,0.3,1.4,1,0.1,0.9,0.0,0.4,0.6,1.1,0.9,1.4,0.1,2.4,0.5,0.5,0
Marco Faraoni,76,Verona,31," D(R),M(R)  ",19(4),1493,3,0.5,18.3,67.0,0.4,1.5,0.0,6.42,2,7,0,0.9,0.6,0,0.3,0.5,0.2,0.2,0.5,1.5,0.7,0.9,0.0,1.5,1.1,0.5,0
Adrien Tameze,76,Verona,29, M(C)  ,35(2),3038,0,0.6,28.6,78.1,0.1,1.4,0.0,6.41,0,3,0,0.3,0.7,0,0.7,0.8,0.0,0.9,1.1,1.4,1.0,0.9,0.0,1.4,0.9,0.4,0
Miguel Veloso,76,Verona,37, M(C)  ,14(8),1169,0,0.9,24.0,76.2,1.0,1.9,0.0,6.39,0,6,0,0.7,0.6,0,0.2,0.4,0.0,0.3,0.3,1.5,0.3,0.9,0.0,0.5,0.5,0.3,1
Filippo Terracciano,76,Verona,20, M(R)  ,7(13),816,1,0.4,13.7,72.6,0.3,0.7,0.1,6.39,0,2,0,0.3,0.8,0,0.3,0.9,0.0,0.2,0.9,1.0,0.5,0.4,0.0,0.6,0.3,0.2,0
Fabio Depaoli,76,Verona,26," D(R),M(CLR)  ",24(7),2172,2,0.5,14.4,63.2,0.6,0.9,0.0,6.37,2,7,0,0.6,0.8,0,0.4,1.0,0.1,0.6,1.2,1.5,0.6,1.4,0.0,0.9,0.6,0.2,0
Diego Coppola,76,Verona,19, D(C)  ,11(8),1171,0,0.0,26.7,73.6,0.1,1.6,0.0,6.36,0,5,0,0.2,2.5,0,0.1,0.0,0.0,0.1,0.4,1.3,0.7,0.5,0.2,1.9,0.7,0.3,0
Yayah Kallon,76,Verona,21, AM(C)  ,8(14),856,1,0.6,9.0,68.7,0.4,0.1,0.0,6.28,1,1,0,0.9,0.4,0,0.4,1.0,0.2,0.7,1.3,0.6,0.4,0.6,0.0,0.1,0.2,0.0,0
Kevin Lasagna,76,Verona,30," AM(CL),FW  ",17(9),1575,2,0.7,9.1,64.4,0.1,0.1,0.0,6.23,1,2,0,2.0,0.8,0,0.5,0.8,0.6,1.3,2.0,0.5,0.2,0.9,0.0,0.4,0.3,0.0,0
