Name,Position,Date of Birth,Age,Nationality,Market Value
Rui Patrício,Goalkeeper,"Feb 15, 1988",35,Portugal,€5.00m
Mile Svilar,Goalkeeper,"Aug 27, 1999",23,Serbia,€1.50m
Pietro Boer,Goalkeeper,"May 12, 2002",21,Italy,€150k
Gabriele Baldi,Goalkeeper,"Aug 24, 2004",18,Italy,€100k
Jacopo Del Bello,Goalkeeper,"Sep 25, 2004",18,Italy,€25k
Roger Ibañez,Centre-Back,"Nov 23, 1998",24,Brazil,€30.00m
Gianluca Mancini,Centre-Back,"Apr 17, 1996",27,Italy,€18.00m
Diego Llorente,Centre-Back,"Aug 16, 1993",29,Spain,€12.00m
Chris Smalling,Centre-Back,"Nov 22, 1989",33,England,€8.00m
Marash Kumbulla,Centre-Back,"Feb 8, 2000",23,Albania,€8.00m
Dimitrios Keramitsis,Centre-Back,"Jul 1, 2004",18,Greece,€250k
William Bianda,Centre-Back,"Apr 30, 2000",23,France,€200k
Brian Silva,Centre-Back,"Jun 2, 2003",20,France,€75k
Leonardo Spinazzola,Left-Back,"Mar 25, 1993",30,Italy,€10.00m
Matías Viña,Left-Back,"Nov 9, 1997",25,Uruguay,€8.00m
Jan Oliveras,Left-Back,"Jul 7, 2004",18,Spain,€175k
Matteo Falasca,Left-Back,"Apr 27, 2004",19,Italy,€100k
Zeki Çelik,Right-Back,"Feb 17, 1997",26,Türkiye,€10.00m
Rick Karsdorp,Right-Back,"Feb 11, 1995",28,Netherlands,€7.00m
Filippo Missori,Right-Back,"Mar 24, 2004",19,Italy,€800k
Corentin Louakima,Right-Back,"Feb 28, 2003",20,France,€100k
Bryan Cristante,Defensive Midfield,"Mar 3, 1995",28,Italy,€20.00m
Nemanja Matic,Defensive Midfield,"Aug 1, 1988",34,Serbia,€4.00m
Ebrima Darboe,Defensive Midfield,"Jun 6, 2001",22,The Gambia,€1.80m
Benjamin Tahirovic,Defensive Midfield,"Mar 3, 2003",20,Bosnia-Herzegovina,€1.50m
Giacomo Faticanti,Defensive Midfield,"Jul 31, 2004",18,Italy,€800k
Filippo Tripi,Defensive Midfield,"Jan 6, 2002",21,Italy,€300k
Mady Camara,Central Midfield,"Feb 28, 1997",26,Guinea,€10.00m
Edoardo Bove,Central Midfield,"May 16, 2002",21,Italy,€10.00m
Georginio Wijnaldum,Central Midfield,"Nov 11, 1990",32,Netherlands,€8.00m
Niccolò Pisilli,Central Midfield,"Sep 23, 2004",18,Italy,€1.00m
Riccardo Pagano,Central Midfield,"Nov 28, 2004",18,Italy,€900k
Nicola Zalewski,Left Midfield,"Jan 23, 2002",21,Poland,€20.00m
Lorenzo Pellegrini,Attacking Midfield,"Jun 19, 1996",27,Italy,€35.00m
Nicolò Zaniolo,Attacking Midfield,"Jul 2, 1999",23,Italy,€27.00m
Cristian Volpato,Attacking Midfield,"Nov 15, 2003",19,Italy,€3.00m
Ante Coric,Attacking Midfield,"Apr 14, 1997",26,Croatia,€300k
Claudio Cassano,Attacking Midfield,"Jul 22, 2003",19,Italy,€200k
Stephan El Shaarawy,Left Winger,"Oct 27, 1992",30,Italy,€5.00m
Luigi Cherubini,Left Winger,"Jan 15, 2004",19,Italy,€200k
Ola Solbakken,Right Winger,"Sep 7, 1998",24,Norway,€3.50m
Paulo Dybala,Second Striker,"Nov 15, 1993",29,Argentina,€30.00m
Tammy Abraham,Centre-Forward,"Oct 2, 1997",25,England,€40.00m
Andrea Belotti,Centre-Forward,"Dec 20, 1993",29,Italy,€8.00m
Eldor Shomurodov,Centre-Forward,"Jun 29, 1995",28,Uzbekistan,€6.00m
Felix Afena-Gyan,Centre-Forward,"Jan 19, 2003",20,Ghana,€5.00m
Jordan Majchrzak,Centre-Forward,"Oct 8, 2004",18,Poland,€400k
