Name,Position,Date of Birth,Age,Nationality,Market Value
Michele Di Gregorio,Goalkeeper,"Jul 27, 1997",25,Italy,€8.00m
Alessio Cragno,Goalkeeper,"Jun 28, 1994",29,Italy,€3.00m
Alessandro Sorrentino,Goalkeeper,"Apr 3, 2002",21,Italy,€500k
Eugenio Lamanna,Goalkeeper,"Aug 7, 1989",33,Italy,€100k
Marlon,Centre-Back,"Sep 7, 1995",27,Brazil,€6.00m
Pablo Marí,Centre-Back,"Aug 31, 1993",29,Spain,€5.00m
Andrea Carboni,Centre-Back,"Feb 4, 2001",22,Italy,€4.00m
Armando Izzo,Centre-Back,"Mar 2, 1992",31,Italy,€3.00m
Luca Caldirola,Centre-Back,"Feb 1, 1991",32,Italy,€1.50m
Valentin Antov,Centre-Back,"Nov 9, 2000",22,Bulgaria,€800k
Luca Marrone,Centre-Back,"Mar 28, 1990",33,Italy,€200k
Sheriff Kassama,Centre-Back,"Sep 16, 2004",18,Italy,€150k
Gabriel Paletta,Centre-Back,"Feb 15, 1986",37,Italy,-
Andrea Ranocchia,Centre-Back,"Feb 16, 1988",35,Italy,-
Franco Carboni,Left-Back,"Apr 4, 2003",20,Argentina,€1.00m
Samuele Birindelli,Right-Back,"Jul 19, 1999",23,Italy,€2.30m
Gabriele Ferrarini,Right-Back,"Apr 9, 2000",23,Italy,€550k
Giulio Donati,Right-Back,"Feb 5, 1990",33,Italy,€500k
Nicolò Rovella,Defensive Midfield,"Dec 4, 2001",21,Italy,€18.00m
Andrea Barberis,Defensive Midfield,"Dec 11, 1993",29,Italy,€800k
Antonis Siatounis,Defensive Midfield,"Aug 26, 2002",20,Greece,€75k
Leonardo Colombo,Defensive Midfield,"Jun 4, 2005",18,Italy,-
Matteo Pessina,Central Midfield,"Apr 21, 1997",26,Italy,€15.00m
Stefano Sensi,Central Midfield,"Aug 5, 1995",27,Italy,€8.00m
Filippo Ranocchia,Central Midfield,"May 14, 2001",22,Italy,€1.80m
José Machín,Central Midfield,"Aug 14, 1996",26,Equatorial Guinea,€1.50m
Mattia Valoti,Central Midfield,"Sep 6, 1993",29,Italy,€1.50m
Warren Bondo,Central Midfield,"Sep 15, 2003",19,France,€700k
Patrick Ciurria,Right Midfield,"Feb 9, 1995",28,Italy,€5.00m
Salvatore Molina,Right Midfield,"Jan 1, 1992",31,Italy,€650k
Carlos Augusto,Left Midfield,"Jan 7, 1999",24,Brazil,€15.00m
Andrea Colpani,Attacking Midfield,"May 11, 1999",24,Italy,€4.00m
Samuele Vignato,Attacking Midfield,"Feb 24, 2004",19,Italy,€600k
Andrea Ferraris,Left Winger,"Feb 22, 2003",20,Italy,€100k
Marco D'Alessandro,Right Winger,"Feb 17, 1991",32,Italy,€700k
Gianluca Caprari,Second Striker,"Jul 30, 1993",29,Italy,€8.00m
Andrea Petagna,Centre-Forward,"Jun 30, 1995",28,Italy,€10.00m
Dany Mota,Centre-Forward,"May 2, 1998",25,Portugal,€6.00m
Christian Gytkjaer,Centre-Forward,"May 6, 1990",33,Denmark,€800k
Mirko Maric,Centre-Forward,"May 16, 1995",28,Croatia,€800k
Leo dos Reis,Centre-Forward,"Jan 23, 2003",20,Spain,€75k
