Name,Position,Date of Birth,Age,Nationality,Market Value
Guillermo Ochoa,Goalkeeper,"Jul 13, 1985",37,Mexico,€1.50m
Luigi Sepe,Goalkeeper,"May 8, 1991",32,Italy,€1.00m
Alessandro Micai,Goalkeeper,"Jul 24, 1993",29,Italy,€500k
Vincenzo Fiorillo,Goalkeeper,"Jan 13, 1990",33,Italy,€200k
Jacopo De Matteis,Goalkeeper,"Dec 28, 2002",20,Italy,€25k
Andrea Sorrentino,Goalkeeper,"Oct 21, 2004",18,Italy,€25k
Pasquale Allocca,Goalkeeper,"May 9, 2005",18,Italy,-
Flavius Daniliuc,Centre-Back,"Apr 27, 2001",22,Austria,€8.00m
Lorenzo Pirola,Centre-Back,"Feb 20, 2002",21,Italy,€8.00m
Matteo Lovato,Centre-Back,"Feb 14, 2000",23,Italy,€6.00m
Dylan Bronn,Centre-Back,"Jun 19, 1995",28,Tunisia,€2.50m
William Troost-Ekong,Centre-Back,"Sep 1, 1993",29,Nigeria,€2.50m
Norbert Gyömbér,Centre-Back,"Jul 3, 1992",30,Slovakia,€1.50m
Valerio Mantovani,Centre-Back,"Apr 18, 1996",27,Italy,€700k
Federico Fazio,Centre-Back,"Mar 17, 1987",36,Argentina,€400k
Andrei Motoc,Centre-Back,"Dec 13, 2002",20,Moldova,€75k
Domagoj Bradarić,Left-Back,"Dec 10, 1999",23,Croatia,€7.00m
Sanasi Sy,Left-Back,"Apr 4, 1999",24,France,€300k
Pasquale Mazzocchi,Right-Back,"Jul 27, 1995",27,Italy,€4.80m
Junior Sambia,Right-Back,"Sep 7, 1996",26,France,€3.50m
Wajdi Kechrida,Right-Back,"Nov 5, 1995",27,Tunisia,€800k
Frédéric Veseli,Right-Back,"Nov 20, 1992",30,Albania,€300k
Emil Bohinen,Defensive Midfield,"Mar 12, 1999",24,Norway,€3.40m
Ivan Radovanovic,Defensive Midfield,"Aug 29, 1988",34,Serbia,€400k
Giulio Maggiore,Central Midfield,"Mar 12, 1998",25,Italy,€5.50m
Lassana Coulibaly,Central Midfield,"Apr 10, 1996",27,Mali,€5.00m
Tonny Vilhena,Central Midfield,"Jan 3, 1995",28,Netherlands,€3.80m
Hans Nicolussi Caviglia,Central Midfield,"Jun 18, 2000",23,Italy,€2.00m
Domen Crnigoj,Central Midfield,"Nov 18, 1995",27,Slovenia,€1.50m
Leonardo Capezzi,Central Midfield,"Mar 28, 1995",28,Italy,€350k
Michele Cavion,Central Midfield,"Dec 8, 1994",28,Italy,€350k
Antonio Pio Iervolino,Central Midfield,"May 23, 2003",20,Italy,€100k
Antonio Candreva,Right Midfield,"Feb 28, 1987",36,Italy,€1.50m
Pawel Jaroszynski,Left Midfield,"Oct 2, 1994",28,Poland,€450k
Grigoris Kastanos,Attacking Midfield,"Jan 30, 1998",25,Cyprus,€1.80m
Reda Boultam,Attacking Midfield,"Mar 3, 1998",25,Netherlands,€400k
Andres Sfait,Left Winger,"Dec 9, 2004",18,Romania,€50k
Franck Ribéry,Left Winger,"Apr 7, 1983",40,France,-
Boulaye Dia,Centre-Forward,"Nov 16, 1996",26,Senegal,€25.00m
Krzysztof Piatek,Centre-Forward,"Jul 1, 1995",27,Poland,€7.00m
Federico Bonazzoli,Centre-Forward,"May 21, 1997",26,Italy,€4.00m
Erik Botheim,Centre-Forward,"Jan 10, 2000",23,Norway,€3.50m
Diego Valencia,Centre-Forward,"Jan 14, 2000",23,Chile,€2.00m
Edoardo Vergani,Centre-Forward,"Feb 6, 2001",22,Italy,€450k
Julian Kristoffersen,Centre-Forward,"May 10, 1997",26,Norway,€175k
