Name,Position,Date of Birth,Age,Nationality,Market Value
Marco Silvestri,Goalkeeper,"Mar 2, 1991",32,Italy,€5.00m
Daniele Padelli,Goalkeeper,"Oct 25, 1985",37,Italy,€200k
Edoardo Piana,Goalkeeper,"Sep 29, 2003",19,Italy,€50k
Nehuén Pérez,Centre-Back,"Jun 24, 2000",23,Argentina,€10.00m
Jaka Bijol,Centre-Back,"Feb 5, 1999",24,Slovenia,€10.00m
Rodrigo Becão,Centre-Back,"Jan 19, 1996",27,Brazil,€10.00m
Enzo Ebosse,Centre-Back,"Mar 11, 1999",24,Cameroon,€4.50m
Filip Benkovic,Centre-Back,"Jul 13, 1997",25,Croatia,€2.20m
Bram Nuytinck,Centre-Back,"May 4, 1990",33,Netherlands,€1.00m
James Abankwah,Centre-Back,"Jan 16, 2004",19,Ireland,€300k
Axel Guessand,Centre-Back,"Nov 6, 2004",18,France,€250k
Niccolò Cocetta,Centre-Back,"Dec 19, 2003",19,Italy,€75k
Destiny Udogie,Left-Back,"Nov 28, 2002",20,Italy,€25.00m
Adam Masina,Left-Back,"Jan 2, 1994",29,Morocco,€2.50m
Leonardo Buta,Left-Back,"Jun 5, 2002",21,Portugal,€1.50m
Marvin Zeegelaar,Left-Back,"Aug 12, 1990",32,Netherlands,€400k
Brandon Soppy,Right-Back,"Feb 21, 2002",21,France,€9.00m
Kingsley Ehizibue,Right-Back,"May 25, 1995",28,Netherlands,€2.50m
Walace,Defensive Midfield,"Apr 4, 1995",28,Brazil,€7.00m
Mato Jajalo,Defensive Midfield,"May 25, 1988",35,Bosnia-Herzegovina,€250k
Riccardo Castagnaviz,Defensive Midfield,"Jan 29, 2003",20,Italy,€50k
Lazar Samardžić,Central Midfield,"Feb 24, 2002",21,Serbia,€14.00m
Jean-Victor Makengo,Central Midfield,"Jun 12, 1998",25,France,€10.00m
Sandi Lovric,Central Midfield,"Mar 28, 1998",25,Slovenia,€10.00m
Roberto Pereyra,Central Midfield,"Jan 7, 1991",32,Argentina,€6.00m
Tolgay Arslan,Central Midfield,"Aug 16, 1990",32,Germany,€1.40m
Martin Palumbo,Central Midfield,"Mar 5, 2002",21,Norway,€700k
Matteo Bassi,Central Midfield,"Jan 8, 2004",19,Italy,€10k
Festy Ebosele,Right Midfield,"Aug 2, 2002",20,Ireland,€3.50m
Simone Pafundi,Attacking Midfield,"Mar 14, 2006",17,Italy,€8.00m
Alberto Centis,Attacking Midfield,"Feb 13, 2004",19,Italy,€75k
Florian Thauvin,Right Winger,"Jan 26, 1993",30,France,€3.50m
Diego Russo,Right Winger,"Apr 20, 2005",18,Italy,-
Beto,Centre-Forward,"Jan 31, 1998",25,Portugal,€25.00m
Gerard Deulofeu,Centre-Forward,"Mar 13, 1994",29,Spain,€10.00m
Isaac Success,Centre-Forward,"Jan 7, 1996",27,Nigeria,€4.00m
Vivaldo Semedo,Centre-Forward,"Jan 28, 2005",18,Portugal,€500k
Ilija Nestorovski,Centre-Forward,"Mar 12, 1990",33,North Macedonia,€400k
