Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
32,Philipp Hofmann,109,Bochum,30, FW  ,31(3),2643,2,0.8,21.6,58.9,0.0,0.3,0.0,7.0,8,5,0,1.5,6.3,3,0.3,1.2,0.5,1.1,1.5,0.5,0.2,1.4,0.0,1.4,0.2,0.2,0
65,Kevin Stöger,109,Bochum,29, M(CL)  ,29(3),2610,3,2.1,44.3,74.2,1.3,3.0,0.2,6.84,5,3,0,1.5,0.3,2,0.7,1.7,0.0,1.1,1.3,2.6,0.8,1.3,0.1,0.6,2.0,0.1,0
96,Ivan Ordets,109,Bochum,30, D(C)  ,28(2),2450,0,0.3,33.1,72.9,0.0,2.1,0.0,6.72,0,4,0,0.6,4.6,0,0.1,0.8,0.1,0.1,0.3,1.0,1.9,1.1,0.5,4.5,0.4,0.6,0
103,Anthony Losilla,109,Bochum,37," D(C),DMC  ",31,2725,2,0.5,30.6,68.3,0.1,1.2,0.0,6.7,2,6,1,0.9,3.0,1,0.3,0.5,0.1,0.3,0.8,2.5,1.2,1.5,0.0,2.1,1.3,0.4,0
142,Manuel Riemann,109,Bochum,34, GK  ,34,3060,0,0.1,49.0,58.9,0.0,18.4,0.0,6.63,0,3,0,0.0,0.3,3,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1.1,0.1,0.0,1
155,Christopher Antwi-Adjei,109,Bochum,29, AM(CLR)  ,22(7),1990,6,1.1,16.0,71.2,0.6,0.4,0.0,6.6,3,2,0,1.0,0.6,1,1.1,1.4,0.5,1.1,3.1,0.8,0.2,0.8,0.0,0.3,0.7,0.0,0
157,Philipp Förster,109,Bochum,28," M(CLR),FW  ",15(10),1313,7,1.1,18.2,78.9,1.0,0.8,0.1,6.6,3,4,0,0.7,0.3,1,0.2,0.5,0.0,0.6,0.9,1.2,0.2,1.1,0.0,0.2,1.1,0.0,0
176,Danilo Soares,109,Bochum,31," D(L),M(L)  ",23,1777,0,0.5,34.4,74.1,0.3,2.3,0.0,6.55,0,6,0,0.1,1.0,0,0.3,1.0,0.0,0.6,0.7,3.1,1.3,1.2,0.2,2.3,1.3,0.3,0
177,Erhan Masovic,109,Bochum,24," D(C),DMC  ",23(6),2174,0,0.3,28.1,81.0,0.0,1.6,0.0,6.54,4,3,0,0.6,1.6,1,0.1,0.2,0.0,0.1,0.3,1.7,0.9,0.8,0.3,2.7,0.7,0.5,1
183,Konstantinos Stafylidis,109,Bochum,29," D(LR),DMC,M(L)  ",11(8),1043,2,0.4,18.3,72.3,0.5,1.5,0.0,6.52,0,4,0,0.7,0.8,0,0.4,0.8,0.0,0.2,0.6,1.4,1.1,0.8,0.1,1.4,0.7,0.4,0
220,Takuma Asano,109,Bochum,28," AM(CLR),FW  ",21(4),1730,2,0.9,12.4,72.9,0.4,0.1,0.0,6.42,3,1,0,2.1,0.8,0,0.5,1.0,0.3,1.2,2.5,0.6,0.3,0.4,0.0,0.3,0.4,0.0,0
249,Cristian Gamboa,109,Bochum,33," D(R),M(R)  ",17(2),1485,0,0.5,27.9,68.4,0.6,3.3,0.0,6.34,0,2,0,0.4,0.7,0,0.3,0.3,0.1,0.2,0.5,2.2,0.8,0.7,0.2,1.6,0.5,0.4,1
251,Gerrit Holtmann,109,Bochum,28," D(L),M(LR)  ",8(15),934,1,0.4,9.2,68.2,0.2,0.1,0.0,6.33,1,0,0,1.3,0.6,0,0.7,0.3,0.1,0.7,1.3,0.6,0.1,0.3,0.0,0.1,0.4,0.0,0
270,Jordi Osei-Tutu,109,Bochum,24," D(R),M(LR)  ",8(12),750,0,0.3,8.3,71.1,0.2,0.3,0.0,6.27,0,3,0,0.6,0.4,0,0.5,1.2,0.2,0.6,1.3,1.2,0.5,0.4,0.1,0.4,0.6,0.3,0
274,Patrick Osterhage,109,Bochum,23, DMC  ,11(12),1024,0,0.2,13.9,71.5,0.2,0.2,0.0,6.23,0,3,0,0.3,0.5,0,0.2,0.4,0.0,0.5,0.7,0.9,0.5,0.8,0.0,1.0,0.2,0.3,0
275,Simon Zoller,109,Bochum,32," AM(LR),FW  ",19(8),1463,2,0.3,11.4,65.3,0.0,0.5,0.0,6.23,3,5,0,1.1,0.6,1,0.1,0.3,0.3,0.2,0.7,0.4,0.2,0.8,0.0,0.7,0.3,0.0,0
279,Saidy Janko,109,Bochum,27," D(R),M(R)  ",12(8),1132,0,0.1,16.5,73.0,0.1,1.0,0.0,6.21,0,1,0,0.1,0.5,0,0.7,0.4,0.0,0.5,0.9,1.2,0.6,1.0,0.0,1.6,0.4,0.5,0
