Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Jude Bellingham,44,Borussia Dortmund,19, M(CLR)  ,30(1),2693,4,1.1,51.2,83.1,0.2,3.7,0.2,7.58,8,8,0,2.2,1.1,6,2.8,2.4,0.1,1.9,2.0,2.5,1.1,1.3,0.0,0.9,0.5,0.1,0
7,Julian Brandt,44,Borussia Dortmund,27," M(CLR),FW  ",29(3),2412,8,2.3,37.0,83.8,1.5,1.8,0.1,7.28,9,2,0,1.3,0.3,3,1.3,0.7,0.2,1.1,1.6,0.9,0.5,0.3,0.0,0.3,1.0,0.0,0
8,Raphaël Guerreiro,44,Borussia Dortmund,29," D(L),M(CL)  ",26(1),2296,12,2.1,56.7,85.1,1.1,1.5,0.1,7.27,4,4,0,1.2,0.2,3,1.0,0.4,0.1,0.7,1.0,1.3,1.3,0.3,0.3,0.8,0.5,0.1,0
11,Sébastien Haller,44,Borussia Dortmund,29, FW  ,15(4),1232,3,0.8,16.1,70.5,0.0,0.2,0.0,7.21,9,1,0,1.8,2.2,1,0.5,0.7,0.2,0.8,0.9,0.3,0.1,0.7,0.0,0.5,0.2,0.0,0
12,Donyell Malen,44,Borussia Dortmund,24," AM(LR),FW  ",22(4),1724,5,1.1,21.0,80.4,0.7,0.5,0.0,7.2,9,0,0,2.5,0.2,3,2.0,1.5,0.1,1.5,1.5,0.5,0.2,0.5,0.0,0.3,0.3,0.0,0
24,Nico Schlotterbeck,44,Borussia Dortmund,23, D(C)  ,27(1),2255,5,0.5,67.4,86.8,0.0,5.3,0.1,7.09,4,3,0,0.6,2.1,0,0.4,0.6,0.0,0.3,0.5,2.1,1.1,0.6,1.0,2.4,0.6,0.8,0
39,Mats Hummels,44,Borussia Dortmund,34, D(C)  ,24(6),2022,0,0.4,55.4,87.7,0.2,5.0,0.1,6.98,1,4,0,0.6,2.4,0,0.2,0.6,0.1,0.3,0.1,2.1,1.1,0.6,0.5,3.2,0.8,0.5,0
52,Emre Can,44,Borussia Dortmund,29," D(CLR),DMC  ",20(7),1896,1,0.7,47.3,89.7,0.0,2.6,0.1,6.88,2,8,0,0.6,1.1,1,0.5,1.0,0.0,0.4,0.6,2.1,0.9,1.1,0.1,1.4,0.8,0.2,0
60,Karim Adeyemi,44,Borussia Dortmund,21," AM(LR),FW  ",20(4),1399,5,1.2,17.4,77.2,0.0,0.4,0.1,6.86,6,9,0,1.6,0.4,1,1.4,1.3,0.0,1.1,1.8,0.7,0.3,0.9,0.0,0.1,0.9,0.0,0
71,Marius Wolf,44,Borussia Dortmund,28," D(R),M(CLR)  ",17(8),1570,1,0.9,34.0,80.0,0.6,2.1,0.1,6.81,1,2,0,0.9,0.2,3,1.4,0.9,0.1,0.5,1.1,1.0,0.7,0.5,0.2,0.8,0.5,0.4,0
80,Niklas Süle,44,Borussia Dortmund,27, D(CR)  ,23(6),2116,3,0.6,61.4,91.3,0.1,4.4,0.0,6.8,2,2,0,1.1,1.1,0,0.3,0.2,0.0,0.3,0.3,0.9,0.6,0.3,0.7,1.8,0.3,0.7,0
82,Gregor Kobel,44,Borussia Dortmund,25, GK  ,27,2430,0,0.0,34.3,81.1,0.0,5.7,0.0,6.79,0,0,0,0.0,0.2,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1
110,Marco Reus,44,Borussia Dortmund,34," M(CLR),FW  ",14(11),1352,4,0.8,21.8,81.1,0.2,0.1,0.0,6.69,6,4,0,1.5,0.5,1,0.4,0.7,0.1,0.6,1.2,1.2,0.3,0.7,0.0,0.3,0.7,0.2,0
154,Youssoufa Moukoko,44,Borussia Dortmund,18, FW  ,11(15),1135,3,0.5,7.5,71.3,0.1,0.1,0.0,6.6,7,0,0,1.3,0.2,1,0.7,0.3,0.0,0.8,1.2,0.5,0.1,0.3,0.0,0.0,0.1,0.0,0
164,Giovanni Reyna,44,Borussia Dortmund,20, AM(CLR)  ,4(18),612,2,0.5,13.0,81.1,0.3,0.4,0.0,6.58,7,2,0,1.1,0.3,0,0.4,0.8,0.0,0.7,0.6,0.6,0.1,0.4,0.0,0.2,0.2,0.1,0
197,Salih Özcan,44,Borussia Dortmund,25, M(C)  ,17(9),1574,1,0.3,38.0,88.5,0.0,1.7,0.0,6.49,0,6,0,0.1,0.8,0,0.2,0.9,0.0,0.8,0.7,1.2,1.1,1.0,0.0,0.7,0.9,0.1,0
212,Anthony Modeste,44,Borussia Dortmund,35, FW  ,7(12),807,1,0.4,6.4,59.5,0.1,0.0,0.0,6.44,2,4,0,1.2,1.7,0,0.0,0.4,0.3,0.5,0.9,0.2,0.1,0.7,0.0,1.1,0.2,0.0,0
