,Rank,Team,League,Market Value,Current Market Value
0,1,Bayern Munich,Bundesliga,€979.70m,€929.45m
1,2,Bayer 04 Leverkusen,Bundesliga,€421.85m,€594.55m
2,3,RB Leipzig,Bundesliga,€487.30m,€496.90m
3,4,Borussia Dortmund,Bundesliga,€547.70m,€463.70m
4,5,VfB Stuttgart,Bundesliga,€115.95m,€277.90m
5,6,Eintracht Frankfurt,Bundesliga,€294.45m,€240.85m
6,7,VfL Wolfsburg,Bundesliga,€200.70m,€226.20m
7,8,SC Freiburg,Bundesliga,€161.90m,€188.65m
8,9,Borussia Mönchengladbach,Bundesliga,€223.00m,€185.23m
9,10,1.FC Union Berlin,Bundesliga,€126.10m,€144.65m
10,11,TSG 1899 Hoffenheim,Bundesliga,€154.65m,€144.35m
11,12,FC Augsburg,Bundesliga,€117.15m,€122.55m
12,13,1.FSV Mainz 05,Bundesliga,€113.70m,€102.85m
13,14,SV Werder Bremen,Bundesliga,€80.55m,€97.60m
14,15,1.FC Köln,Bundesliga,€101.93m,€93.55m
15,16,VfL Bochum,Bundesliga,€47.75m,€63.10m
16,17,1.FC Heidenheim 1846,2. Bundesliga,€20.40m,€61.05m
17,18,SV Darmstadt 98,2. Bundesliga,€25.68m,€40.85m
