,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
4,Gabriel Jesus,13,Arsenal,26," AM(LR),FW  ",24(2),2075,6,1.2,25.9,81.5,0.1,0.6,0.1,7.42,11,6,0,3.0,1.7,4,1.7,2.2,0.6,2.5,3.4,1.3,0.4,1.7,0.0,0.5,0.7,0.1,0
6,Bukayo Saka,13,Arsenal,21," D(L),M(CLR)  ",37(1),3195,11,2.0,32.5,80.9,1.0,0.9,0.0,7.4,14,6,0,2.3,0.4,4,1.7,1.7,0.2,1.6,2.1,1.7,0.4,1.1,0.1,0.4,0.6,0.0,0
9,Martin Ødegaard,13,Arsenal,24, AM(CR)  ,37,3149,7,2.1,45.6,84.0,0.5,1.5,0.3,7.29,15,4,0,2.5,0.4,7,1.3,0.7,0.0,1.2,1.1,1.0,0.2,0.8,0.0,0.3,0.9,0.1,0
11,Gabriel Martinelli,13,Arsenal,22," AM(L),FW  ",34(2),2806,5,1.6,27.1,82.4,0.5,1.0,0.1,7.25,15,3,0,2.2,0.4,4,1.7,1.0,0.2,1.6,2.3,0.9,0.3,1.1,0.0,0.3,0.4,0.0,0
24,Thomas Partey,13,Arsenal,30," D(R),M(CR)  ",28(5),2487,0,0.8,59.0,88.0,0.1,3.2,0.2,7.06,3,5,0,0.8,1.1,1,1.1,0.7,0.0,0.6,1.0,2.1,0.8,1.1,0.1,1.2,0.8,0.2,0
42,Granit Xhaka,13,Arsenal,30," D(L),M(C)  ",36(1),3004,7,1.3,42.5,86.5,0.1,1.9,0.1,6.98,7,5,0,1.1,1.0,1,0.4,1.1,0.1,0.7,0.9,0.9,0.4,0.7,0.1,1.1,0.7,0.3,0
65,Gabriel Magalhães,13,Arsenal,25, D(C)  ,38,3411,0,0.1,63.1,89.7,0.0,2.2,0.0,6.86,3,5,0,0.8,2.6,2,0.1,1.1,0.0,0.1,0.5,1.3,0.8,0.7,0.7,3.2,0.2,0.7,0
66,Oleksandr Zinchenko,13,Arsenal,26," D(L),M(CLR)  ",26(1),2135,2,0.7,63.6,87.8,0.3,2.3,0.1,6.86,1,3,0,1.0,1.9,1,0.6,0.4,0.0,0.6,0.6,1.5,0.8,0.2,0.4,1.1,0.7,0.1,0
70,Leandro Trossard,13,Arsenal,28," M(CLR),FW  ",10(10),930,10,1.2,19.5,84.3,0.8,0.8,0.2,6.84,1,0,0,0.9,0.1,2,0.8,0.9,0.2,1.2,0.9,0.6,0.3,0.5,0.0,0.1,0.6,0.0,0
95,Ben White,13,Arsenal,25," D(CR),DMC  ",36(2),3068,5,0.7,51.3,86.6,0.4,1.5,0.1,6.78,2,5,0,0.3,0.9,0,0.2,0.8,0.0,0.2,0.7,1.6,0.6,0.7,0.4,2.0,0.7,0.3,0
98,William Saliba,13,Arsenal,22, D(C)  ,27,2416,1,0.2,69.0,91.0,0.0,2.4,0.0,6.77,2,4,0,0.2,2.0,1,0.3,0.5,0.0,0.2,0.6,1.3,0.7,0.7,0.5,3.0,0.1,0.4,1
161,Aaron Ramsdale,13,Arsenal,25, GK  ,38,3420,0,0.0,24.6,63.4,0.0,3.6,0.0,6.63,0,1,0,0.0,0.2,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0
247,Eddie Nketiah,13,Arsenal,24, FW  ,9(21),1073,1,0.3,8.3,81.6,0.0,0.1,0.0,6.44,4,3,0,1.4,0.3,1,0.5,0.8,0.3,0.7,1.0,0.4,0.0,1.0,0.0,0.2,0.2,0.0,0
279,Takehiro Tomiyasu,13,Arsenal,24, D(CLR)  ,6(15),656,1,0.2,19.6,82.5,0.2,0.7,0.0,6.34,0,2,0,0.1,0.8,0,0.0,0.1,0.0,0.2,0.3,1.3,0.7,0.3,0.2,0.7,0.2,0.0,0
287,Fábio Vieira,13,Arsenal,23," AM(CR),FW  ",3(19),502,2,0.5,12.1,84.6,0.2,0.2,0.0,6.31,1,0,0,0.7,0.1,0,0.3,0.2,0.0,0.4,0.6,0.3,0.2,0.1,0.0,0.1,0.1,0.0,0
298,Kieran Tierney,13,Arsenal,26," D(CL),M(L)  ",6(21),779,1,0.1,14.9,78.1,0.1,0.6,0.0,6.25,0,0,0,0.3,0.2,0,0.1,0.3,0.0,0.0,0.3,0.7,0.4,0.2,0.1,0.7,0.1,0.1,0
