,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
12,Ivan Toney,189,Brentford,27, FW  ,33,2955,4,0.8,22.3,62.0,0.2,0.4,0.2,7.25,20,9,0,2.8,3.3,5,0.5,2.2,0.8,1.4,3.0,0.7,0.4,1.6,0.0,1.1,0.5,0.3,0
21,Ethan Pinnock,189,Brentford,30, D(C)  ,30,2700,0,0.3,36.4,80.2,0.1,1.6,0.0,7.11,3,0,0,0.5,3.5,2,0.1,0.3,0.0,0.2,0.2,1.7,1.2,0.2,0.7,7.1,0.2,1.0,1
33,Bryan Mbeumo,189,Brentford,23," AM(LR),FW  ",36(2),2931,8,1.3,21.3,73.7,1.1,0.8,0.1,7.01,9,5,0,1.9,0.9,4,1.2,0.6,0.2,1.4,1.9,0.7,0.3,0.7,0.0,0.4,0.9,0.0,0
34,Ben Mee,189,Brentford,33, D(CL)  ,37,3272,2,0.2,44.8,77.1,0.0,2.9,0.0,7.01,3,2,0,0.8,3.6,2,0.3,0.4,0.0,0.1,0.5,1.2,1.3,0.4,0.3,3.1,0.5,1.1,0
44,David Raya,189,Brentford,27, GK  ,38,3420,0,0.1,38.8,60.7,0.0,10.8,0.0,6.97,0,1,0,0.0,0.3,3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,1
61,Christian Nørgaard,189,Brentford,29," D(C),DMC  ",21(1),1771,3,0.5,36.0,76.3,0.1,1.4,0.0,6.9,1,6,0,0.9,0.8,0,0.4,0.9,0.0,0.5,0.6,2.4,1.5,1.6,0.0,1.8,1.4,0.4,0
81,Mathias Jensen,189,Brentford,27, M(C)  ,37,2830,6,1.3,32.9,75.7,1.4,3.0,0.0,6.81,5,5,0,0.6,0.3,3,0.6,0.7,0.0,0.9,1.5,1.9,0.9,0.9,0.0,0.6,1.7,0.1,0
154,Rico Henry,189,Brentford,25," D(L),M(L)  ",37,3244,2,0.6,26.3,75.0,0.6,1.1,0.1,6.64,0,4,0,0.6,1.1,0,0.7,1.0,0.1,1.2,1.4,1.5,0.8,0.9,0.2,1.9,0.5,0.2,0
158,Vitaly Janelt,189,Brentford,25, DMC  ,24(11),2212,1,0.5,27.9,80.9,0.2,1.9,0.0,6.63,3,3,0,0.4,0.9,2,0.3,0.6,0.1,0.3,0.5,1.5,0.8,0.6,0.1,0.7,0.8,0.3,0
207,Yoane Wissa,189,Brentford,26," AM(L),FW  ",16(22),1601,3,0.3,8.6,72.2,0.0,0.2,0.0,6.51,7,3,0,0.8,0.6,0,0.5,0.7,0.5,0.7,1.1,0.4,0.2,0.6,0.0,0.4,0.2,0.0,0
241,Aaron Hickey,189,Brentford,21," D(LR),M(LR)  ",23(3),1931,1,0.2,28.0,84.7,0.2,1.0,0.0,6.45,0,7,0,0.4,0.5,0,0.7,1.3,0.0,0.5,0.6,1.5,0.7,0.8,0.2,0.8,0.5,0.3,0
244,Josh Dasilva,189,Brentford,24, M(C)  ,14(22),1384,2,0.3,15.9,82.7,0.2,0.6,0.0,6.44,4,1,0,0.5,0.2,1,0.9,0.6,0.0,0.8,0.8,0.5,0.1,0.4,0.0,0.2,0.3,0.2,0
251,Mads Roerslev,189,Brentford,24," D(R),M(R)  ",12(8),1103,0,0.4,13.2,64.6,0.3,0.6,0.1,6.43,0,0,0,0.2,0.4,0,0.2,0.2,0.0,0.5,0.7,1.1,0.5,0.2,0.1,1.6,0.9,0.3,0
265,Frank Onyeka,189,Brentford,25, DMC  ,8(13),845,2,0.3,12.0,75.9,0.0,0.3,0.0,6.39,0,0,0,0.4,0.3,0,0.5,1.2,0.1,0.5,0.5,0.9,0.5,0.7,0.0,0.8,0.7,0.1,0
276,Mikkel Damsgaard,189,Brentford,22, AM(CL)  ,9(17),982,0,0.4,14.3,72.8,0.2,0.4,0.0,6.35,0,4,0,0.5,0.4,0,0.3,0.4,0.0,0.2,0.6,1.2,0.4,0.5,0.0,0.4,1.0,0.1,0
300,Shandon Baptiste,189,Brentford,25, AM(C)  ,4(19),606,1,0.4,12.1,86.0,0.2,0.6,0.0,6.22,0,1,1,0.2,0.3,0,0.3,0.5,0.0,0.3,0.7,0.7,0.3,0.5,0.0,0.4,0.4,0.1,0
