,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
30,Eberechi Eze,162,Crystal Palace,24, AM(CLR)  ,30(8),2644,4,1.5,28.5,82.4,0.6,0.9,0.1,7.02,10,3,0,1.9,0.5,4,1.9,1.5,0.1,1.4,1.9,1.1,0.3,0.7,0.0,0.2,0.5,0.0,0
38,Michael Olise,162,Crystal Palace,21, AM(CLR)  ,31(6),2757,11,1.9,31.3,78.4,1.6,1.3,0.1,6.99,2,2,0,1.4,0.5,5,1.5,1.9,0.2,1.3,2.3,1.6,0.7,0.8,0.0,0.4,0.9,0.0,0
77,Joachim Andersen,162,Crystal Palace,27, D(C)  ,32,2784,0,0.4,60.6,79.7,0.0,6.3,0.1,6.82,1,8,0,0.7,2.7,0,0.2,0.5,0.1,0.1,0.3,1.3,0.8,0.8,0.7,5.8,0.5,0.4,2
78,Wilfried Zaha,162,Crystal Palace,30," AM(LR),FW  ",27,2295,2,1.0,22.4,81.3,0.2,0.3,0.1,6.82,7,5,0,2.4,0.2,2,2.0,2.9,0.5,3.0,3.5,1.2,0.6,1.3,0.0,0.2,0.5,0.0,0
87,Jordan Ayew,162,Crystal Palace,31," AM(CLR),FW  ",31(7),2721,3,0.8,21.6,80.5,0.3,0.2,0.0,6.8,4,5,0,0.8,1.3,1,1.7,2.4,0.1,2.2,2.8,1.7,0.4,1.3,0.1,0.8,0.8,0.1,0
104,Vicente Guaita,162,Crystal Palace,36, GK  ,27,2430,0,0.0,26.0,67.5,0.0,5.6,0.0,6.76,0,1,0,0.0,0.4,2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
118,Cheick Doucouré,162,Crystal Palace,23, DMC  ,34,2786,3,0.8,36.4,83.6,0.1,1.4,0.1,6.72,0,9,1,1.1,0.9,0,0.4,0.4,0.0,0.6,0.8,2.3,1.6,1.1,0.0,1.4,0.7,0.4,0
136,Marc Guéhi,162,Crystal Palace,22, D(C)  ,37,3330,0,0.3,59.5,85.5,0.0,4.1,0.1,6.68,1,8,0,0.4,1.5,0,0.4,1.1,0.0,0.2,0.5,1.4,1.2,0.6,0.6,3.6,0.4,0.6,1
146,Jeffrey Schlupp,162,Crystal Palace,30," D(L),M(CLR)  ",30(4),2546,1,0.5,25.1,75.5,0.0,0.8,0.0,6.66,3,7,0,0.8,0.8,1,0.9,1.0,0.0,1.0,1.0,1.9,0.7,1.5,0.0,1.0,0.6,0.2,0
151,Joel Ward,162,Crystal Palace,33," D(CLR),DMC,M(R)  ",24(4),2256,0,0.3,35.8,75.4,0.3,1.3,0.0,6.65,1,6,0,0.3,2.1,0,0.3,0.4,0.0,0.4,0.9,1.8,0.9,1.0,0.3,2.8,0.4,0.6,0
198,Tyrick Mitchell,162,Crystal Palace,23, D(L)  ,34(2),2896,2,0.4,33.3,72.4,0.3,0.9,0.0,6.53,0,5,1,0.2,0.7,0,0.5,0.3,0.1,0.5,1.0,2.0,1.2,0.9,0.2,1.8,0.6,0.3,0
253,Odsonne Édouard,162,Crystal Palace,25," AM(L),FW  ",20(15),1806,2,0.5,11.6,72.7,0.0,0.0,0.0,6.43,5,3,0,1.1,1.2,0,0.5,0.5,0.4,1.5,1.7,0.7,0.1,0.8,0.0,0.6,0.2,0.1,0
290,Nathaniel Clyne,162,Crystal Palace,32," D(LR),M(R)  ",19(3),1642,0,0.3,30.0,80.8,0.2,0.8,0.0,6.29,0,3,0,0.0,0.3,0,0.2,0.4,0.0,0.1,0.5,1.2,0.9,0.5,0.1,1.2,0.4,0.2,0
296,Will Hughes,162,Crystal Palace,28, M(CLR)  ,7(20),830,1,0.2,13.2,81.8,0.1,0.3,0.0,6.27,1,4,0,0.2,0.2,0,0.1,0.3,0.0,0.4,0.5,1.1,0.6,0.7,0.0,0.3,0.3,0.3,0
304,Jean-Philippe Mateta,162,Crystal Palace,25, FW  ,6(23),754,0,0.2,5.0,70.5,0.0,0.0,0.0,6.17,2,3,0,0.9,0.9,0,0.1,0.3,0.3,0.6,0.9,0.2,0.1,0.6,0.0,0.6,0.1,0.0,0
