,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
17,Mohamed Salah,26,Liverpool,31," AM(CLR),FW  ",37(1),3297,12,1.7,29.5,78.1,0.3,0.6,0.2,7.16,19,2,0,3.3,0.2,3,1.3,0.9,0.6,2.1,2.9,0.6,0.2,0.5,0.0,0.1,0.4,0.0,0
20,Trent Alexander-Arnold,26,Liverpool,24," D(R),DMC,M(R)  ",34(3),2932,9,1.9,62.4,78.7,2.1,5.2,0.3,7.11,2,5,0,1.1,0.5,2,0.8,0.2,0.1,0.6,0.9,1.5,1.2,0.6,0.3,1.0,1.0,0.2,0
25,Cody Gakpo,26,Liverpool,24," AM(CL),FW  ",17(4),1465,2,1.1,17.7,78.4,0.0,0.3,0.0,7.06,7,0,0,1.9,1.2,0,1.1,1.6,0.4,1.7,2.0,1.2,0.2,1.2,0.0,0.1,1.2,0.0,0
46,Virgil van Dijk,26,Liverpool,31, D(C)  ,32,2836,1,0.2,80.7,90.5,0.0,4.7,0.0,6.97,3,3,0,0.9,3.1,2,0.1,0.1,0.1,0.0,0.2,0.8,1.0,0.4,0.7,4.2,0.3,0.5,0
57,Alisson,26,Liverpool,30, GK  ,37,3330,1,0.0,33.5,83.4,0.0,4.5,0.0,6.92,0,1,0,0.0,0.3,2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0
68,Roberto Firmino,26,Liverpool,31," M(CLR),FW  ",13(12),1213,4,0.8,21.8,79.9,0.1,0.3,0.2,6.85,11,0,0,1.6,0.6,2,0.5,0.2,0.2,0.9,1.5,0.7,0.3,0.4,0.0,0.1,0.7,0.0,0
92,Darwin Núñez,26,Liverpool,24," AM(CL),FW  ",19(10),1701,3,1.0,12.8,67.1,0.0,0.6,0.0,6.79,9,1,1,2.9,1.2,2,0.6,0.6,0.6,0.9,1.4,0.4,0.1,0.9,0.0,0.4,0.4,0.0,0
96,Andrew Robertson,26,Liverpool,29," D(L),M(L)  ",29(5),2588,8,1.5,53.9,84.2,1.6,1.6,0.0,6.78,0,3,0,0.4,0.6,0,0.5,0.3,0.2,0.2,0.9,1.1,0.5,0.6,0.4,1.3,0.6,0.1,0
114,Diogo Jota,26,Liverpool,26," AM(CLR),FW  ",12(10),1133,4,0.8,17.0,75.9,0.1,0.1,0.0,6.74,7,2,0,1.6,0.8,1,0.6,0.7,0.1,0.9,1.5,1.0,0.1,0.9,0.0,0.4,1.1,0.0,0
122,Fabinho,26,Liverpool,29," D(CR),DMC  ",31(5),2678,2,0.5,50.4,88.7,0.0,2.0,0.1,6.71,0,11,0,0.5,0.8,0,0.2,0.7,0.0,0.3,0.5,1.8,1.0,1.5,0.1,1.1,1.1,0.3,0
134,Joe Gomez,26,Liverpool,26, D(CLR)  ,15(6),1461,0,0.0,62.9,86.6,0.0,3.5,0.1,6.69,0,3,0,0.3,2.2,0,0.3,0.2,0.0,0.2,0.6,1.3,1.1,0.6,0.3,2.2,0.4,0.5,0
184,Jordan Henderson,26,Liverpool,33," D(C),M(CLR)  ",23(12),2075,2,0.9,44.1,84.9,0.4,2.3,0.1,6.57,0,2,0,0.7,0.3,0,0.3,0.3,0.1,0.3,0.5,0.9,0.6,0.5,0.0,0.3,0.6,0.1,0
200,Harvey Elliott,26,Liverpool,20, AM(CR)  ,18(14),1615,2,0.8,29.9,82.9,0.2,1.0,0.2,6.53,1,2,0,1.1,0.1,0,0.6,0.8,0.1,0.7,0.8,0.8,0.5,0.4,0.0,0.2,0.8,0.0,0
226,Konstantinos Tsimikas,26,Liverpool,27, D(L)  ,9(11),769,4,0.9,22.2,85.4,1.0,0.9,0.0,6.48,0,3,0,0.4,0.4,0,0.2,0.5,0.0,0.4,0.7,0.7,0.6,0.7,0.1,0.7,0.3,0.1,0
278,James Milner,26,Liverpool,37," D(LR),M(CLR)  ",7(24),893,1,0.4,19.6,81.4,0.4,1.0,0.0,6.34,0,2,0,0.2,0.4,0,0.4,0.5,0.0,0.5,0.6,0.8,0.4,0.5,0.1,0.4,0.6,0.1,0
