,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Kevin De Bruyne,167,Man City,31," M(CLR),FW  ",28(4),2425,16,3.1,42.4,80.8,2.0,2.5,0.5,7.58,7,1,0,2.0,0.4,9,1.0,0.9,0.2,0.9,1.3,0.9,0.3,0.6,0.0,0.3,0.8,0.1,0
1,Erling Haaland,167,Man City,22, FW  ,33(2),2779,8,0.9,13.7,74.8,0.0,0.1,0.1,7.54,36,5,0,3.5,1.4,6,0.3,0.7,0.2,0.7,1.5,0.1,0.1,0.9,0.0,0.4,0.1,0.1,0
8,Jack Grealish,167,Man City,27," AM(CL),FW  ",23(5),2064,7,1.8,35.3,87.6,0.4,0.8,0.1,7.33,5,4,0,1.5,0.5,3,1.6,2.8,0.1,1.0,1.3,0.9,0.3,1.0,0.0,0.3,0.3,0.1,0
10,Rodri,167,Man City,27," D(C),DMC  ",34(2),2921,6,0.9,82.7,91.3,0.1,4.8,0.1,7.26,2,5,0,1.4,2.0,3,0.7,0.6,0.1,0.5,0.6,1.9,0.9,1.3,0.0,1.2,0.7,0.4,0
18,Phil Foden,167,Man City,23," AM(CLR),FW  ",22(10),1844,5,1.3,31.3,86.1,0.8,0.8,0.1,7.13,11,1,0,1.4,0.6,3,1.3,0.9,0.2,0.9,1.1,0.5,0.2,0.3,0.0,0.3,0.3,0.1,0
19,Ilkay Gündogan,167,Man City,32, M(C)  ,27(4),2359,4,1.2,49.7,88.2,0.3,1.9,0.3,7.11,8,0,0,1.7,0.6,2,0.5,0.8,0.2,0.9,0.9,1.0,0.6,0.7,0.0,0.4,0.7,0.1,0
31,Riyad Mahrez,167,Man City,32," AM(CLR),FW  ",22(8),1924,10,1.7,34.4,86.8,0.9,1.2,0.2,7.01,5,2,0,1.4,0.3,2,0.8,1.4,0.2,0.9,1.2,1.0,0.3,0.5,0.0,0.1,0.8,0.0,0
84,Bernardo Silva,167,Man City,28," M(CLR),FW  ",24(10),2203,5,0.9,41.7,89.1,0.4,1.7,0.1,6.8,4,5,0,0.7,0.1,0,0.8,0.4,0.1,0.9,0.9,1.3,0.5,0.9,0.0,0.2,0.8,0.2,0
88,John Stones,167,Man City,29," D(CR),DMC  ",21(2),1849,2,0.3,65.7,93.2,0.0,2.8,0.0,6.8,2,2,0,0.5,1.4,0,0.3,0.3,0.0,0.2,0.3,1.0,0.4,0.4,0.3,1.7,0.1,0.4,1
91,Rúben Dias,167,Man City,26, D(C)  ,22(4),1999,0,0.1,79.7,92.7,0.0,2.6,0.0,6.79,0,3,0,0.4,1.7,0,0.3,0.3,0.0,0.2,0.0,0.8,0.7,0.7,0.5,2.1,0.3,0.5,0
106,Nathan Aké,167,Man City,28," D(CL),DMC  ",22(4),1876,0,0.3,65.6,91.1,0.0,1.3,0.0,6.75,1,2,0,0.3,1.4,0,0.1,0.5,0.0,0.0,0.6,1.0,0.8,0.5,0.5,1.8,0.2,0.4,0
126,Julián Álvarez,167,Man City,23," AM(CR),FW  ",13(18),1454,0,0.6,15.1,82.7,0.1,0.6,0.1,6.7,9,0,0,1.5,0.3,2,0.7,0.5,0.1,0.8,0.9,0.8,0.1,0.7,0.0,0.2,0.6,0.0,0
164,Manuel Akanji,167,Man City,27, D(CLR)  ,24(5),2287,1,0.2,69.7,93.3,0.0,2.3,0.0,6.62,0,2,0,0.5,0.8,0,0.2,0.4,0.0,0.1,0.4,1.2,0.6,0.8,0.6,1.0,0.4,0.3,0
196,Kyle Walker,167,Man City,33," D(CR),M(R)  ",22(5),1957,0,0.2,64.0,89.5,0.1,2.6,0.0,6.54,0,3,0,0.2,0.9,0,0.5,0.4,0.0,0.2,0.5,0.5,0.7,0.6,0.4,0.8,0.7,0.1,0
246,Ederson,167,Man City,29, GK  ,35,3150,1,0.0,31.7,84.4,0.0,5.2,0.0,6.44,0,3,0,0.0,0.3,0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0
