,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
69,Sèrge Aurier,174,Nottingham Forest,30," D(CLR),M(R)  ",22(2),1949,0,0.4,30.6,72.8,0.3,0.9,0.0,6.85,1,2,0,0.4,1.9,1,0.7,0.8,0.0,0.8,1.3,2.7,1.2,0.8,0.1,2.7,0.4,0.5,0
73,Morgan Gibbs-White,174,Nottingham Forest,23," AM(CLR),FW  ",34(1),2978,8,1.9,25.6,69.0,1.0,1.1,0.3,6.83,5,5,0,1.7,1.6,5,1.3,0.8,0.2,1.3,2.6,0.7,0.4,0.9,0.0,0.3,0.6,0.1,0
170,Neco Williams,174,Nottingham Forest,22," D(LR),M(LR)  ",20(11),1877,0,0.5,19.5,66.8,0.6,1.3,0.0,6.6,1,7,0,0.8,0.5,1,0.6,0.9,0.1,0.5,1.0,2.3,1.1,1.1,0.1,1.2,1.1,0.3,0
181,Joe Worrall,174,Nottingham Forest,26, D(C)  ,21(9),2217,0,0.2,36.5,78.5,0.0,2.8,0.0,6.58,1,6,0,0.2,1.8,0,0.1,0.1,0.0,0.1,0.2,1.8,0.9,0.9,0.3,3.6,0.3,0.8,0
194,Renan Lodi,174,Nottingham Forest,25," D(L),M(L)  ",26(2),2222,1,0.5,23.9,71.3,0.4,1.4,0.0,6.54,0,7,0,0.5,0.6,0,0.6,1.5,0.1,0.5,0.6,1.9,1.2,1.0,0.2,2.1,1.2,0.2,0
217,Taiwo Awoniyi,174,Nottingham Forest,25, FW  ,17(10),1412,1,0.4,8.1,64.8,0.0,0.0,0.0,6.49,10,2,0,1.3,0.7,1,0.3,0.7,0.6,1.1,2.5,0.6,0.1,0.9,0.0,0.7,0.2,0.1,0
219,Brennan Johnson,174,Nottingham Forest,22," AM(CLR),FW  ",33(5),2941,3,0.7,11.6,62.8,0.3,0.1,0.0,6.49,8,6,0,1.4,0.5,2,0.9,0.6,0.5,0.7,2.0,0.9,0.1,1.0,0.0,0.1,0.5,0.0,0
229,Orel Mangala,174,Nottingham Forest,25, M(C)  ,20(7),1558,1,0.1,18.7,81.0,0.0,0.5,0.0,6.48,1,3,0,0.3,0.4,0,0.6,0.9,0.0,0.3,0.4,1.0,0.9,0.8,0.0,0.5,0.6,0.3,0
239,Ryan Yates,174,Nottingham Forest,25, DMC  ,21(5),1840,2,0.3,22.2,78.2,0.0,1.0,0.0,6.46,0,5,0,1.0,1.2,0,0.2,2.0,0.0,0.6,0.7,1.5,0.4,1.9,0.1,1.7,0.3,0.3,0
254,Emmanuel Dennis,174,Nottingham Forest,25," M(LR),FW  ",6(13),715,2,0.4,8.8,70.8,0.1,0.2,0.0,6.42,2,3,0,1.1,0.7,0,0.9,1.5,0.2,1.3,1.7,0.9,0.1,0.8,0.0,0.2,0.5,0.1,0
266,Scott McKenna,174,Nottingham Forest,26, D(C)  ,19(1),1574,0,0.4,35.0,79.3,0.1,1.9,0.0,6.39,0,4,0,0.1,1.9,0,0.3,0.2,0.0,0.1,0.1,0.6,0.6,0.4,0.4,4.2,0.2,0.7,0
267,Cheikhou Kouyaté,174,Nottingham Forest,33," D(CR),DMC  ",10(11),880,0,0.3,11.7,75.5,0.0,0.6,0.0,6.38,1,3,0,0.3,0.9,0,0.3,0.6,0.0,0.4,0.7,1.4,0.5,1.0,0.0,1.1,0.2,0.1,0
270,Remo Freuler,174,Nottingham Forest,31, DMC  ,24(4),2167,0,0.4,29.6,79.6,0.1,0.8,0.0,6.37,0,4,0,0.3,0.9,0,0.2,0.4,0.0,0.3,0.7,1.5,1.0,0.9,0.0,1.5,0.9,0.3,0
292,Harry Toffolo,174,Nottingham Forest,27," D(L),M(L)  ",9(10),935,0,0.3,15.3,65.3,0.3,0.3,0.0,6.28,0,2,0,0.3,0.7,0,0.2,0.3,0.0,0.3,0.5,0.9,0.5,0.5,0.1,1.6,0.2,0.4,0
307,Sam Surridge,174,Nottingham Forest,24, FW  ,1(19),308,0,0.1,3.9,51.9,0.0,0.1,0.0,6.09,1,2,0,0.5,0.7,0,0.1,0.5,0.2,0.2,0.7,0.3,0.0,0.6,0.0,0.4,0.2,0.1,0
