,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
49,James Ward-Prowse,18,Southampton,28, M(CR)  ,38,3373,4,1.9,50.5,85.3,1.8,1.7,0.0,6.95,9,6,0,1.2,1.2,2,0.2,0.5,0.0,0.6,0.7,1.7,1.4,0.9,0.0,1.2,1.1,0.3,1
97,Mohammed Salisu,18,Southampton,24, D(CL)  ,21(1),1973,1,0.3,49.5,76.8,0.2,3.3,0.0,6.78,0,5,0,0.9,2.5,0,0.3,0.1,0.0,0.4,0.2,2.3,1.4,1.2,0.5,5.4,0.5,1.1,1
120,Armel Bella-Kotchap,18,Southampton,21, D(C)  ,24,1885,2,0.3,38.6,80.3,0.0,2.0,0.0,6.71,0,4,0,0.6,1.7,0,0.2,1.4,0.0,0.3,0.4,1.5,1.8,0.4,0.3,4.5,0.2,0.5,0
143,Jan Bednarek,18,Southampton,27, D(C)  ,20,1674,0,0.2,44.4,84.2,0.0,2.5,0.0,6.67,0,5,0,0.4,2.1,0,0.1,0.4,0.0,0.1,0.1,1.4,2.5,0.8,0.4,4.4,0.2,1.4,1
174,Ché Adams,18,Southampton,26," AM(CL),FW  ",23(5),1998,3,0.9,17.2,67.6,0.1,0.8,0.1,6.59,5,1,0,1.7,2.2,1,0.6,1.0,0.5,1.0,2.4,0.6,0.1,1.4,0.1,0.8,0.2,0.1,0
182,Kyle Walker-Peters,18,Southampton,26," D(LR),M(R)  ",30(1),2653,0,0.5,32.7,78.9,0.4,0.8,0.0,6.58,1,4,0,0.4,0.5,1,1.6,1.3,0.0,1.4,1.3,2.0,0.9,0.8,0.1,1.3,0.6,0.3,0
187,Roméo Lavia,18,Southampton,19, DMC  ,26(3),2230,0,0.6,34.2,86.4,0.1,1.6,0.1,6.56,1,9,0,0.4,0.3,0,1.0,1.7,0.0,1.1,0.8,2.1,1.1,1.0,0.0,0.8,1.1,0.4,0
192,Joe Aribo,18,Southampton,26," M(CLR),FW  ",13(8),1229,0,0.4,17.9,74.1,0.0,0.2,0.0,6.55,2,2,0,0.7,1.4,0,0.8,0.6,0.0,1.0,1.7,1.5,0.5,0.5,0.0,0.5,0.4,0.0,0
215,Ainsley Maitland-Niles,18,Southampton,25," D(LR),M(CLR)  ",13(9),1405,0,0.5,28.4,81.1,0.3,1.2,0.0,6.5,0,3,0,0.0,0.7,0,0.8,0.4,0.0,0.6,1.2,2.0,1.0,0.6,0.2,1.8,0.7,0.3,0
222,Mohamed Elyounoussi,18,Southampton,28," AM(CLR),FW  ",27(6),2180,1,0.5,17.6,69.0,0.3,0.6,0.1,6.48,1,4,0,1.1,1.1,0,0.7,0.5,0.1,1.2,1.2,1.4,0.8,1.2,0.0,1.0,0.7,0.1,0
230,Lyanco,18,Southampton,26, D(CR)  ,11(10),1175,1,0.2,23.9,75.5,0.0,1.5,0.0,6.47,1,4,0,0.6,1.2,0,0.4,0.5,0.0,0.2,0.5,1.1,1.0,0.8,0.3,2.9,0.3,1.2,0
234,Romain Perraud,18,Southampton,25," D(L),M(L)  ",22(7),1839,2,0.5,22.8,74.7,0.4,0.4,0.0,6.46,2,4,0,1.0,0.5,1,0.3,0.5,0.1,0.5,0.9,1.9,0.7,1.1,0.0,1.2,0.8,0.2,1
248,Gavin Bazunu,18,Southampton,21, GK  ,32,2880,0,0.0,32.1,55.9,0.0,7.3,0.0,6.44,0,0,0,0.0,0.4,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0
269,Theo Walcott,18,Southampton,34," M(CLR),FW  ",13(7),1134,2,0.8,12.0,72.9,0.2,0.1,0.1,6.38,2,1,0,1.0,0.5,0,0.6,0.5,0.8,0.6,1.2,0.7,0.5,0.4,0.0,0.4,1.0,0.1,1
281,Stuart Armstrong,18,Southampton,31, AM(CLR)  ,14(18),1405,1,0.6,19.5,81.7,0.3,0.5,0.0,6.33,2,6,0,0.7,0.2,0,0.7,0.6,0.0,0.9,0.9,1.0,0.3,0.5,0.0,0.3,0.8,0.0,0
293,Sékou Mara,18,Southampton,20, FW  ,4(18),541,2,0.3,4.7,66.0,0.0,0.0,0.0,6.27,1,1,0,0.8,1.1,0,0.6,0.3,0.1,0.8,1.3,0.6,0.0,0.9,0.0,0.2,0.3,0.0,0
294,Adam Armstrong,18,Southampton,26," AM(CLR),FW  ",14(16),1336,1,0.4,9.5,75.4,0.1,0.3,0.0,6.27,2,2,0,0.8,0.2,0,0.4,0.3,0.1,0.7,0.8,0.5,0.2,0.6,0.0,0.2,0.2,0.1,0
