Name,Position,Date of Birth,Age,Nationality,Market Value
David Raya,Goalkeeper,,27,Spain,€30.00m
Thomas Strakosha,Goalkeeper,,28,Albania,€3.50m
Matthew Cox,Goalkeeper,,20,England,€500k
Ellery Balcombe,Goalkeeper,,23,England,€300k
Kristoffer Ajer,Centre-Back,,25,Norway,€16.00m
Ethan Pinnock,Centre-Back,,30,Jamaica,€14.00m
Mads Bech Sörensen,Centre-Back,,24,Denmark,€2.50m
Pontus Jansson,Centre-Back,,32,Sweden,€2.50m
Ben Mee,Centre-Back,,33,England,€2.00m
Zanka,Centre-Back,,33,Denmark,€1.50m
Charlie Goode,Centre-Back,,27,England,€600k
Tristan Crama,Centre-Back,,21,France,€100k
Rico Henry,Left-Back,,25,England,€28.00m
Aaron Hickey,Right-Back,,21,Scotland,€25.00m
Mads Roerslev,Right-Back,,24,Denmark,€6.00m
Fin Stevens,Right-Back,,20,Wales,€300k
Vitaly Janelt,Defensive Midfield,,25,Germany,€20.00m
Christian Nørgaard,Defensive Midfield,,29,Denmark,€16.00m
Mathias Jensen,Central Midfield,,27,Denmark,€22.00m
Josh Dasilva,Central Midfield,,24,England,€16.00m
Frank Onyeka,Central Midfield,,25,Nigeria,€8.00m
Shandon Baptiste,Central Midfield,,25,Grenada,€3.00m
Ryan Trevitt,Central Midfield,,20,England,€100k
Saman Ghoddos,Attacking Midfield,,29,Iran,€2.00m
Yegor Yarmolyuk,Attacking Midfield,,19,Ukraine,€400k
Yoane Wissa,Left Winger,,26,DR Congo,€18.00m
Mikkel Damsgaard,Left Winger,,22,Denmark,€13.00m
Keane Lewis-Potter,Left Winger,,22,England,€12.00m
Tariqe Fosu,Left Winger,,27,Ghana,€1.80m
Alex Gilbert,Left Winger,,21,Ireland,€100k
Bryan Mbeumo,Right Winger,,23,Cameroon,€35.00m
Kevin Schade,Right Winger,,21,Germany,€25.00m
Sergi Canós,Right Winger,,26,Spain,€9.00m
Michael Olakigbe,Right Winger,,19,England,-
Ivan Toney,Centre-Forward,,27,England,€35.00m
Halil Dervişoğlu,Centre-Forward,,23,Türkiye,€2.00m
