Name,Position,Date of Birth,Age,Nationality,Market Value
Robert Sánchez,Goalkeeper,,25,Spain,€22.00m
Jason Steele,Goalkeeper,,32,England,€4.00m
Tom McGill,Goalkeeper,,23,Canada,€600k
Levi Colwill,Centre-Back,,20,England,€30.00m
Adam Webster,Centre-Back,,28,England,€25.00m
Lewis Dunk,Centre-Back,,31,England,€16.00m
Jan Paul van Hecke,Centre-Back,,23,Netherlands,€5.00m
Ed Turns,Centre-Back,,20,Wales,€350k
Antef Tsoungui,Centre-Back,,20,Belgium,€250k
Pervis Estupiñán,Left-Back,,25,Ecuador,€32.00m
Haydon Roberts,Left-Back,,21,England,€700k
James Furlong,Left-Back,,21,Ireland,€275k
Imari Samuels,Left-Back,,20,England,€150k
Tariq Lamptey,Right-Back,,22,Ghana,€12.00m
Joël Veltman,Right-Back,,31,Netherlands,€10.00m
Odel Offiah,Right-Back,,20,England,€200k
Moisés Caicedo,Defensive Midfield,,21,Ecuador,€75.00m
Billy Gilmour,Defensive Midfield,,22,Scotland,€12.00m
Jack Hinshelwood,Defensive Midfield,,18,England,-
Alexis Mac Allister,Central Midfield,,24,Argentina,€65.00m
Jakub Moder,Central Midfield,,24,Poland,€10.00m
Pascal Groß,Central Midfield,,32,Germany,€8.00m
Yasin Ayari,Central Midfield,,19,Sweden,€6.00m
Steven Alzate,Central Midfield,,24,Colombia,€4.00m
Taylor Richards,Central Midfield,,22,England,€400k
Jack Spong,Central Midfield,,21,England,€150k
Jack Hinchy,Central Midfield,,20,England,€100k
Enock Mwepu,Central Midfield,,25,Zambia,-
Julio Enciso,Attacking Midfield,,19,Paraguay,€22.00m
Facundo Buonanotte,Attacking Midfield,,18,Argentina,€12.00m
Adam Lallana,Attacking Midfield,,35,England,€1.20m
Andrew Moran,Attacking Midfield,,19,Ireland,€300k
Cameron Peupion,Attacking Midfield,,20,Australia,€125k
Leandro Trossard,Left Winger,,28,Belgium,€35.00m
Kaoru Mitoma,Left Winger,,26,Japan,€32.00m
Jeremy Sarmiento,Left Winger,,21,Ecuador,€5.00m
Solly March,Right Winger,,28,England,€22.00m
Evan Ferguson,Centre-Forward,,18,Ireland,€30.00m
Neal Maupay,Centre-Forward,,26,France,€10.00m
Deniz Undav,Centre-Forward,,26,Germany,€10.00m
Danny Welbeck,Centre-Forward,,32,England,€7.00m
Aaron Connolly,Centre-Forward,,23,Ireland,€4.00m
