Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Antoine Griezmann,63,Atletico,32," AM(CLR),FW  ",31(7),2863,16,2.2,38.3,82.4,0.8,1.8,0.2,7.69,15,2,0,2.9,0.7,13,1.2,1.1,0.3,0.9,1.1,1.3,0.6,0.6,0.0,0.8,1.2,0.1,0
29,José Giménez,63,Atletico,28, D(CR)  ,26(2),2421,1,0.3,47.4,88.8,0.0,4.2,0.0,6.96,2,9,0,0.8,1.8,2,0.2,0.3,0.0,0.0,0.3,1.5,0.9,0.7,0.3,4.8,0.4,0.6,0
41,Reinildo,63,Atletico,29," D(CL),M(L)  ",22,1860,0,0.4,43.3,87.1,0.2,1.2,0.0,6.91,0,4,0,0.3,1.4,1,0.3,1.4,0.0,0.4,0.9,3.0,1.4,1.5,0.0,2.4,0.5,0.5,0
49,Yannick Carrasco,63,Atletico,29," D(L),M(CLR),FW  ",26(9),2330,3,1.3,26.1,84.8,0.7,0.7,0.1,6.85,7,2,0,1.9,0.1,0,1.7,0.6,0.2,1.0,1.5,1.0,0.3,0.7,0.1,0.5,0.9,0.0,0
52,Álvaro Morata,63,Atletico,30," AM(L),FW  ",23(13),1906,2,0.5,11.5,64.5,0.0,0.3,0.0,6.85,13,4,0,2.0,1.6,2,0.6,1.6,0.7,0.7,1.5,0.4,0.0,1.1,0.0,0.6,0.1,0.1,0
66,Marcos Llorente,63,Atletico,28," D(R),M(CR),FW  ",21(1),1712,2,1.3,32.5,85.9,0.2,0.8,0.0,6.81,1,5,0,1.1,0.5,1,0.5,0.6,0.1,0.5,1.0,1.5,0.8,1.4,0.0,0.8,0.6,0.1,0
67,Rodrigo De Paul,63,Atletico,29," AM(CLR),FW  ",24(6),1935,7,1.6,44.9,84.2,0.4,3.3,0.3,6.81,2,5,0,0.7,0.2,2,0.5,1.6,0.0,0.5,1.1,1.2,0.3,1.1,0.0,0.1,0.6,0.1,0
72,Nahuel Molina,63,Atletico,25," D(R),M(R)  ",33,2872,2,1.2,45.7,79.4,0.7,1.7,0.1,6.79,4,7,1,0.6,0.7,0,0.6,0.5,0.1,0.3,1.0,2.1,0.5,0.7,0.1,1.4,1.6,0.2,0
97,Mario Hermoso,63,Atletico,28, D(CL)  ,24(2),2111,2,0.5,54.0,87.5,0.1,4.9,0.1,6.72,3,3,2,0.6,1.4,1,0.5,0.5,0.1,0.3,0.8,0.8,0.7,1.0,0.3,2.9,0.8,0.3,0
99,Koke,63,Atletico,31, M(CLR)  ,30(3),2560,3,0.8,60.5,89.1,0.1,2.7,0.0,6.72,0,4,0,0.5,0.3,0,0.4,0.8,0.0,0.5,0.6,1.7,0.6,0.6,0.0,0.6,1.3,0.4,0
103,Stefan Savic,63,Atletico,32, D(C)  ,22,1946,0,0.0,51.3,88.0,0.0,2.6,0.0,6.72,0,5,2,0.1,2.5,0,0.2,0.4,0.0,0.1,0.1,1.8,1.5,1.4,0.6,2.7,0.6,0.4,0
125,Jan Oblak,63,Atletico,30, GK  ,28,2493,0,0.0,25.0,60.9,0.0,5.3,0.0,6.67,0,1,0,0.0,0.1,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0
147,Thomas Lemar,63,Atletico,27, AM(CLR)  ,17(10),1259,3,1.0,28.1,88.4,0.4,1.0,0.1,6.63,1,1,0,0.5,0.2,0,0.8,0.6,0.1,0.7,0.7,1.1,0.3,0.3,0.0,0.4,0.7,0.1,0
189,Saúl Ñíguez,63,Atletico,28," D(CL),M(CLR)  ",11(20),1091,1,0.2,15.5,80.7,0.0,0.5,0.0,6.56,3,8,0,0.7,1.3,1,0.4,0.2,0.1,0.2,0.7,1.4,0.5,1.1,0.0,0.8,0.5,0.2,0
193,Geoffrey Kondogbia,63,Atletico,30," D(C),DMC  ",11(10),1001,2,0.2,30.1,89.4,0.0,1.0,0.0,6.55,0,5,0,0.5,0.6,0,0.2,0.9,0.1,0.5,0.3,1.9,1.2,0.8,0.0,0.5,0.4,0.0,0
198,Axel Witsel,63,Atletico,34," D(C),M(C)  ",25(8),2255,0,0.1,40.1,92.7,0.0,1.0,0.0,6.55,0,2,1,0.3,1.2,0,0.2,0.5,0.0,0.1,0.2,1.1,0.7,0.6,0.4,2.2,0.4,0.3,0
225,Ángel Correa,63,Atletico,28," AM(CLR),FW  ",13(22),1449,1,0.7,14.1,81.1,0.1,0.3,0.1,6.5,9,2,1,1.2,0.1,2,0.7,0.6,0.4,0.9,1.6,0.3,0.3,0.5,0.0,0.1,0.3,0.0,0
312,Pablo Barrios,63,Atletico,20, M(C)  ,6(15),716,1,0.2,20.9,83.4,0.0,0.7,0.0,6.31,0,4,0,0.6,0.3,0,0.7,0.6,0.0,0.5,0.7,0.9,0.4,0.3,0.0,0.2,0.3,0.1,0
